scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,profit_ip_u7,profit_ip_u8,profit_ip_u9,profit_ip_u10,profit_ip_u11,profit_ip_u12,profit_ip_u13,profit_ip_u14,profit_ip_u15,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp_smooth,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,profit_chp_smooth_u7,profit_chp_smooth_u8,profit_chp_smooth_u9,profit_chp_smooth_u10,profit_chp_smooth_u11,profit_chp_smooth_u12,profit_chp_smooth_u13,profit_chp_smooth_u14,profit_chp_smooth_u15,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth
15player_baseline,0,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,1,3.689666748,1464.364744,66.20162168,430.8266302,78.40796815,90.89307567,209.7919958,359.9641996,72.4891994,441.1800911,805.9622426,38.69214857,98.00543924,100.8499176,334.8370754,300.6626753,0,,TRUE,33.62203813,1464.364744,67.42510139,430.8266302,78.40796815,89.83753033,209.7919958,359.9641996,73.59029657,441.1800911,805.9915575,38.69214857,98.00543924,99.55157116,334.8370754,300.6626753,1.97E-10,,TRUE
15player_baseline,1,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,2,4.721893549,1361.405515,65.56487623,431.5407766,80.2991868,90.89307567,209.7919958,358.6849867,73.38220828,441.8942374,754.1642551,39.13328191,99.3814002,100.8499176,335.0513193,302.5538939,0,,TRUE,47.06011963,1361.405515,67.25931395,431.5407766,80.2991868,89.71788304,209.7919958,358.6849867,73.85810471,441.8942374,754.5708653,39.13328191,99.3814002,99.44816585,335.0513193,302.5538939,0,,TRUE
15player_baseline,2,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,3,3.855474949,1157.980339,66.45788511,430.5963863,77.89625727,90.89307567,209.7919958,360.0937996,72.4891994,440.9498472,652.4516671,38.82174857,97.49372837,100.8499176,334.7680023,300.1509644,-3.84E-10,,TRUE,40.3255713,1157.980339,67.42510139,430.5963863,77.89625727,89.52675449,209.7919958,360.0937996,73.8150066,440.9498472,652.7001574,38.82174857,97.49372837,99.67472497,334.7680023,300.1509644,0,,TRUE
15player_baseline,3,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,4,2.823487997,1468.75617,66.53717448,430.5963863,78.33140033,90.89307567,209.7919958,360.0327284,73.38220828,440.9498472,806.8672843,38.82174857,97.91055006,100.8499176,334.7680023,300.5861074,-1.11E-14,,TRUE,44.58474636,1468.75617,67.42510139,430.5963863,78.33140033,89.52675449,209.7919958,360.0327284,73.83267732,440.9498472,808.0704022,38.82174857,97.91055006,99.67472497,334.7680023,300.5861074,3.76E-10,,TRUE
15player_baseline,4,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,5,7.182956457,1407.491786,66.20162168,430.8266302,78.40796815,90.89307567,209.7919958,359.9641996,72.8247522,441.1800911,777.1902105,38.69214857,98.00543924,100.8499176,334.8370754,300.6626753,-1.11E-14,,TRUE,37.75474358,1407.491786,67.42510139,430.8266302,78.40796815,89.59472922,209.7919958,359.9641996,73.64339786,441.1800911,777.5019769,38.69214857,98.00543924,99.79437227,334.8370754,300.6626753,-8.74E-10,,TRUE
15player_baseline,5,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,6,4.60648036,1698.630899,66.45788511,431.8295571,80.93771547,90.89307567,209.7919958,358.3633568,72.4891994,442.1830179,922.7769469,38.81094857,100.0192937,100.8499176,335.1379535,303.1924226,0,,TRUE,67.89016199,1698.630899,67.25931395,431.8295571,80.93771547,89.52756088,209.7919958,358.3633568,73.85366903,442.1830179,923.1466434,38.81094857,100.0192937,99.6798374,335.1379535,303.1924226,5.55E-15,,TRUE
15player_baseline,6,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,7,3.003656387,1528.947755,66.45788511,431.5407766,80.2991868,90.89307567,209.7919958,358.6849867,73.46149766,441.8942374,836.9630768,39.13328191,99.3814002,100.8499176,335.0513193,302.5538939,0,,TRUE,45.52996469,1528.947755,67.25931395,431.5407766,80.2991868,89.52675449,209.7919958,358.6849867,73.87025338,441.8942374,838.2944061,39.13328191,99.3814002,99.67472497,335.0513193,302.5538939,0,,TRUE
15player_baseline,7,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,8,7.130058527,1658.602814,65.90042903,432.0207766,81.44095574,90.89307567,209.7919958,358.2351246,73.44431758,442.3742374,902.4273517,38.69214857,100.5197043,100.8499176,335.1953193,303.6956629,-5.55E-15,,TRUE,39.43197656,1658.602814,67.42510139,432.0207766,81.44095574,89.59472922,209.7919958,358.2351246,73.59029657,442.3742374,903.1105922,38.69214857,100.5197043,99.79437227,335.1953193,303.6956629,1.36E-12,,TRUE
15player_baseline,8,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,9,3.523207426,1741.557204,66.83836714,432.0207766,81.44095574,90.89307567,209.7919958,358.2351246,73.14312493,442.3742374,943.2678013,38.69214857,100.5197043,100.8499176,335.1953193,303.6956629,3.77E-10,,TRUE,41.02266121,1741.557204,67.42510139,432.0207766,81.44095574,89.83753032,209.7919958,358.2351246,73.80918531,442.3742374,944.3688985,38.69214858,100.5197043,99.55157115,335.1953193,303.6956629,3.08E-08,,TRUE
15player_baseline,9,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,10,5.142248631,1193.866096,16.15627169,430.6119961,77.93060759,90.89307567,209.7919958,425.631548,23.15988424,440.9654569,620.0439371,57.39109948,132.6516312,100.8499176,334.7726852,300.1853147,16.390578,"['u2', 'u3', 'u5', 'u6', 'u9', 'u10', 'u14', 'u15']",TRUE,42.4981215,1193.866096,24.82322846,430.6119961,77.93060759,87.71337757,209.7919958,413.1038405,33.04145852,440.9654569,630.0685589,54.01187861,126.1493684,97.86565409,334.7726852,300.1853147,2.180678301,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u9', 'u10', 'u12', 'u13', 'u14', 'u15']",TRUE
