scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,profit_ip_u7,profit_ip_u8,profit_ip_u9,profit_ip_u10,profit_ip_u11,profit_ip_u12,profit_ip_u13,profit_ip_u14,profit_ip_u15,profit_ip_u16,profit_ip_u17,profit_ip_u18,profit_ip_u19,profit_ip_u20,profit_ip_u21,profit_ip_u22,profit_ip_u23,profit_ip_u24,profit_ip_u25,profit_ip_u26,profit_ip_u27,profit_ip_u28,profit_ip_u29,profit_ip_u30,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp_smooth,solve_time_chp_smooth_total,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,profit_chp_smooth_u7,profit_chp_smooth_u8,profit_chp_smooth_u9,profit_chp_smooth_u10,profit_chp_smooth_u11,profit_chp_smooth_u12,profit_chp_smooth_u13,profit_chp_smooth_u14,profit_chp_smooth_u15,profit_chp_smooth_u16,profit_chp_smooth_u17,profit_chp_smooth_u18,profit_chp_smooth_u19,profit_chp_smooth_u20,profit_chp_smooth_u21,profit_chp_smooth_u22,profit_chp_smooth_u23,profit_chp_smooth_u24,profit_chp_smooth_u25,profit_chp_smooth_u26,profit_chp_smooth_u27,profit_chp_smooth_u28,profit_chp_smooth_u29,profit_chp_smooth_u30,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth,solve_time_chp,profit_chp_u1,profit_chp_u2,profit_chp_u3,profit_chp_u4,profit_chp_u5,profit_chp_u6,profit_chp_u7,profit_chp_u8,profit_chp_u9,profit_chp_u10,profit_chp_u11,profit_chp_u12,profit_chp_u13,profit_chp_u14,profit_chp_u15,profit_chp_u16,profit_chp_u17,profit_chp_u18,profit_chp_u19,profit_chp_u20,profit_chp_u21,profit_chp_u22,profit_chp_u23,profit_chp_u24,profit_chp_u25,profit_chp_u26,profit_chp_u27,profit_chp_u28,profit_chp_u29,profit_chp_u30,violation_chp,blocking_coalition_chp,isimp_chp,chp_price_electricity_0,chp_price_electricity_1,chp_price_electricity_2,chp_price_electricity_3,chp_price_electricity_4,chp_price_electricity_5,chp_price_electricity_6,chp_price_electricity_7,chp_price_electricity_8,chp_price_electricity_9,chp_price_electricity_10,chp_price_electricity_11,chp_price_electricity_12,chp_price_electricity_13,chp_price_electricity_14,chp_price_electricity_15,chp_price_electricity_16,chp_price_electricity_17,chp_price_electricity_18,chp_price_electricity_19,chp_price_electricity_20,chp_price_electricity_21,chp_price_electricity_22,chp_price_electricity_23,chp_price_heat_0,chp_price_heat_1,chp_price_heat_2,chp_price_heat_3,chp_price_heat_4,chp_price_heat_5,chp_price_heat_6,chp_price_heat_7,chp_price_heat_8,chp_price_heat_9,chp_price_heat_10,chp_price_heat_11,chp_price_heat_12,chp_price_heat_13,chp_price_heat_14,chp_price_heat_15,chp_price_heat_16,chp_price_heat_17,chp_price_heat_18,chp_price_heat_19,chp_price_heat_20,chp_price_heat_21,chp_price_heat_22,chp_price_heat_23,chp_price_hydrogen_0,chp_price_hydrogen_1,chp_price_hydrogen_2,chp_price_hydrogen_3,chp_price_hydrogen_4,chp_price_hydrogen_5,chp_price_hydrogen_6,chp_price_hydrogen_7,chp_price_hydrogen_8,chp_price_hydrogen_9,chp_price_hydrogen_10,chp_price_hydrogen_11,chp_price_hydrogen_12,chp_price_hydrogen_13,chp_price_hydrogen_14,chp_price_hydrogen_15,chp_price_hydrogen_16,chp_price_hydrogen_17,chp_price_hydrogen_18,chp_price_hydrogen_19,chp_price_hydrogen_20,chp_price_hydrogen_21,chp_price_hydrogen_22,chp_price_hydrogen_23
30player_baseline,0,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,1,3.707413197,1465.751472,63.53562458,474.8841851,128.9834253,151.5072961,282.1403344,360.1096663,71.45711757,478.6446402,801.6324961,38.83761524,97.82190299,174.0993036,363.9674946,299.2731633,1141.549177,417.6830662,68.75676032,23.84803003,478.6446402,204.0029111,58.24511524,-291.6090712,-223.910877,-376.773837,78.97716345,-76.65043126,-79.48161997,-197.0332545,-199.9719392,2.779792282,"['u5', 'u6', 'u7', 'u9', 'u10', 'u12', 'u13', 'u18', 'u19', 'u21', 'u22', 'u24', 'u29']",TRUE,37.35593724,41.06335044,1465.751472,67.42510139,474.8841851,128.9834253,144.7537223,282.1403344,360.1096663,73.89626149,478.6446402,806.3267051,38.83761524,97.82190299,167.4121483,363.9674946,299.2731633,1141.549177,417.6830662,73.86050492,29.06695404,478.6446402,209.4724522,58.24511524,-291.6090712,-223.910877,-376.773837,74.96487029,-79.99400889,-82.8251976,-199.7081166,-199.9719392,0.356299739,"['u5', 'u7', 'u10', 'u12', 'u15', 'u18', 'u20', 'u21', 'u22', 'u26', 'u27', 'u30']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,1,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,2,2.903907776,1367.215076,61.95556025,474.6516286,128.8898767,151.5072961,282.1403344,360.3427009,69.09231312,478.4120838,752.3642985,39.13328191,97.71080473,174.0993036,363.8977277,299.1796147,1062.483528,417.6070178,71.45711757,23.84803003,478.4120838,205.2181732,58.68861524,-291.6733951,-223.8519845,-376.8299661,78.95376393,-76.65043126,-79.56581373,-196.9650071,-199.9719392,2.444239479,"['u2', 'u3', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u13', 'u14', 'u15', 'u16', 'u19', 'u20', 'u23', 'u24', 'u25', 'u29', 'u30']",TRUE,37.89758706,40.80149484,1367.215076,67.42510139,474.6516286,128.8898767,144.7537223,282.1403344,360.3427009,73.89626149,478.4120838,757.4125416,39.13328191,97.71080473,167.4121483,363.8977277,299.1796147,1062.483528,417.6070178,73.50647085,29.06695404,478.4120838,209.4432028,58.68861524,-291.6733951,-223.8519845,-376.8299661,74.94147078,-79.99400889,-82.90939136,-199.6398692,-199.9719392,0.356298694,"['u1', 'u2', 'u4', 'u5', 'u9', 'u10', 'u12', 'u14', 'u15', 'u17', 'u18', 'u20', 'u23', 'u24', 'u26', 'u27', 'u30']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,2,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,3,3.208759546,1159.363759,63.20007178,474.6516286,128.4730626,151.5072961,282.1403344,360.4011996,68.75676032,478.4120838,650.8034444,39.13328191,97.31154027,174.0993036,363.8977277,298.7628006,896.202474,417.6830662,67.76286592,25.17747723,478.4120838,204.3384639,58.68861524,-291.8642525,-224.1854357,-377.0800546,78.97716345,-76.65043126,-79.94094642,-197.256777,-199.9719392,2.751063331,"['u4', 'u5', 'u8', 'u17', 'u18', 'u21', 'u27', 'u29']",TRUE,46.45900607,49.66776562,1159.363759,67.42510139,474.6516286,128.4730626,144.7537223,282.1403344,360.4011996,73.38532374,478.4120838,653.5930856,39.13328191,97.31154027,167.4121483,363.8977277,298.7628006,896.202474,417.6830662,73.91120601,29.06695404,478.4120838,209.4724522,58.68861524,-291.8642525,-224.1854357,-377.0800546,74.96487029,-79.99400889,-83.28452405,-199.9316391,-199.9719392,0.371244259,"['u2', 'u4', 'u5', 'u8', 'u10', 'u12', 'u17', 'u26', 'u28']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,3,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,4,2.471036673,1470.911199,63.20007178,474.6516286,128.4730626,151.5072961,282.1403344,360.4011996,67.84780159,478.4120838,804.2123598,39.13328191,97.31154027,174.0993036,363.8977277,298.7628006,1145.440426,417.6830662,71.12156476,24.84192443,478.4120838,204.589081,58.68861524,-291.8642525,-224.1854357,-377.0800546,78.97716345,-76.65043126,-79.94094642,-197.256777,-199.9719392,2.415510528,"['u4', 'u5', 'u8', 'u10', 'u12', 'u17', 'u21', 'u28', 'u29']",TRUE,34.54869318,37.01972985,1470.911199,67.09352651,474.6516286,128.4730626,144.7537223,282.1403344,360.4011996,73.91120601,478.4120838,809.2330002,39.13328191,97.31154027,167.4121483,363.8977277,298.7628006,1145.440426,417.6830662,73.85070397,29.06695404,478.4120838,209.4724522,58.68861524,-291.8642525,-224.1854357,-377.0800546,74.96487029,-79.99400889,-83.28452405,-199.9316391,-199.9719392,0.371244259,"['u2', 'u4', 'u5', 'u7', 'u10', 'u12', 'u18', 'u26', 'u27']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,4,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,5,3.529846191,1408.853267,62.54173018,474.8841851,128.9834253,151.5072961,282.1403344,360.1096663,68.75676032,478.6446402,773.1833938,38.83761524,97.82190299,174.0993036,363.9674946,299.2731633,1096.030614,417.6830662,71.12156476,23.93296571,478.6446402,205.2474226,58.24511524,-291.6090712,-223.910877,-376.773837,78.97716345,-76.65043126,-79.48161997,-197.0332545,-199.9719392,2.108686675,"['u2', 'u5', 'u6', 'u7', 'u8', 'u10', 'u11', 'u17', 'u19', 'u20', 'u23', 'u27', 'u28', 'u29']",TRUE,41.10696554,44.63681173,1408.853267,67.42510139,474.8841851,128.9834253,144.7537223,282.1403344,360.1096663,73.80500342,478.6446402,778.0062646,38.83761524,97.82190299,167.4121483,363.9674946,299.2731633,1096.030614,417.6830662,73.82310121,29.06695404,478.6446402,209.4724522,58.24511524,-291.6090712,-223.910877,-376.773837,74.96487029,-79.99400889,-82.8251976,-199.7081166,-199.9719392,0.300033133,"['u4', 'u5', 'u8', 'u10', 'u11', 'u17', 'u18', 'u26', 'u28']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,5,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,6,3.453956366,1704.90516,61.95556025,474.8662628,129.3612642,151.5072961,282.1403344,360.0677009,69.09231312,478.6267179,921.2093402,38.85828191,98.18219227,174.0993036,363.9621179,299.6510022,1332.855595,417.6070178,71.12156476,23.84803003,478.6267179,205.553726,58.27611524,-291.4377013,-223.5992583,-376.5471336,78.95376393,-76.65043126,-79.14156494,-196.7594196,-199.9719392,2.444239479,"['u1', 'u2', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u13', 'u15', 'u19', 'u20', 'u23', 'u24', 'u29']",TRUE,42.99677157,46.45072794,1704.90516,67.42510139,474.8662628,129.3612642,144.7537223,282.1403344,360.0677009,73.82310121,478.6267179,926.2575833,38.85828191,98.18219227,167.4121483,363.9621179,299.6510022,1332.855595,417.6070178,73.57963113,29.06695404,478.6267179,209.4432028,58.27611524,-291.4377013,-223.5992583,-376.5471336,74.94147078,-79.99400889,-82.48514257,-199.4342817,-199.9719392,0.300033133,"['u4', 'u5', 'u7', 'u8', 'u9', 'u10', 'u11', 'u15', 'u16', 'u18', 'u25', 'u26', 'u28']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,6,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,7,1.677793503,1535.918012,66.20162168,474.6516286,128.4730626,145.9953334,282.1403344,360.4011996,73.46149766,478.4120838,840.4482054,39.13328191,97.31154027,168.587341,363.8977277,298.7628006,1197.445876,417.6830662,73.63282541,27.84347433,478.4120838,208.5845253,58.68861524,-291.8642525,-224.1854357,-377.0800546,75.66998587,-79.40641257,-82.69692773,-199.461562,-199.9719392,0.940389353,"['u2', 'u4', 'u5', 'u7', 'u10', 'u19', 'u20', 'u23', 'u24', 'u25', 'u26', 'u27', 'u30']",TRUE,34.78282762,36.46062112,1535.918012,67.42510139,474.6516286,128.4730626,144.5116057,282.1403344,360.4011996,73.91120601,478.4120838,841.5007385,39.13328191,97.31154027,167.4121483,363.8977277,298.7628006,1197.445876,417.6830662,73.80500342,29.06695404,478.4120838,209.4724522,58.68861524,-291.8642525,-224.1854357,-377.0800546,74.96487029,-79.99400889,-83.28452405,-199.9316391,-199.9719392,0.563154855,"['u4', 'u5', 'u10', 'u12', 'u18', 'u21', 'u26', 'u27']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,7,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,8,4.108209372,1661.18439,63.53562458,476.0783314,131.507954,151.5072961,282.1403344,358.4519521,71.12156476,479.8387866,899.3489552,38.83761524,99.84911744,174.0993036,364.3257385,301.797692,1297.895512,415.5280378,67.51224879,23.84803003,479.8387866,204.7541183,58.24511524,-290.8441211,-221.8912541,-375.2591197,78.31407778,-76.65043126,-77.20954413,-195.2660844,-199.9719392,3.086616134,"['u1', 'u5', 'u7', 'u9', 'u10', 'u12', 'u15', 'u18', 'u19', 'u23', 'u28', 'u29']",TRUE,40.76718092,44.87539029,1661.18439,67.42510139,476.0783314,131.507954,144.7537223,282.1403344,358.4519521,73.8231012,479.8387866,904.3971984,38.83761524,99.84911744,167.4121483,364.3257385,301.797692,1297.895512,415.5280378,73.57963113,29.06695404,479.8387866,208.6435951,58.24511524,-290.8441211,-221.8912541,-375.2591197,74.30178463,-79.99400889,-80.55312176,-197.9409465,-199.9719392,0.300033133,"['u5', 'u6', 'u8', 'u9', 'u10', 'u17', 'u18', 'u22', 'u24', 'u26', 'u28']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,8,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,9,1.748078346,1749.739541,61.95556025,474.8841851,128.9834253,151.5072961,282.1403344,360.1096663,68.75676032,478.6446402,946.3268882,38.83761524,97.82190299,174.0993036,363.9674946,299.2731633,1368.739633,417.6830662,68.75676032,24.18358283,478.6446402,205.2474226,58.24511524,-291.6090712,-223.910877,-376.773837,78.97716345,-76.65043126,-79.48161997,-197.0332545,-199.9719392,2.444239479,"['u1', 'u2', 'u6', 'u8', 'u9', 'u12', 'u13', 'u17', 'u18', 'u19', 'u22', 'u25', 'u27', 'u28', 'u29']",TRUE,36.48193026,38.2300086,1749.739541,67.42510139,474.8841851,128.9834253,144.7537223,282.1403344,360.1096663,73.56983018,478.6446402,948.7302755,38.83761524,97.82190299,167.4121483,363.9674946,299.2731633,1368.739633,417.6830662,73.77740066,29.06695404,478.6446402,209.4724522,58.24511524,-291.6090712,-223.910877,-376.773837,74.96487029,-79.99400889,-82.8251976,-199.7081166,-199.9719392,0.320543166,"['u4', 'u5', 'u7', 'u8', 'u9', 'u14', 'u16', 'u18', 'u19', 'u22', 'u23', 'u26', 'u28', 'u30']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30player_baseline,9,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,10,3.287186861,1193.462861,61.95556025,474.8841851,128.9834253,151.5072961,282.1403344,360.1096663,71.45711757,478.6446402,668.4976532,38.83761524,97.82190299,174.0993036,363.9674946,299.2731633,928.5334287,417.6830662,69.09231312,24.84192443,478.6446402,204.2535282,58.24511524,-291.6090712,-223.910877,-376.773837,78.97716345,-76.65043126,-79.48161997,-197.0332545,-199.9719392,2.444239479,"['u1', 'u2', 'u4', 'u5', 'u10', 'u14', 'u17', 'u18', 'u20', 'u21', 'u23', 'u24', 'u27', 'u28', 'u29']",TRUE,38.65143228,41.93861914,1193.462861,67.42510139,474.8841851,128.9834253,144.7537223,282.1403344,360.1096663,73.84289717,478.6446402,673.5458963,38.83761524,97.82190299,167.4121483,363.9674946,299.2731633,928.5334287,417.6830662,73.89141005,28.73537916,478.6446402,209.4724522,58.24511524,-291.6090712,-223.910877,-376.773837,74.96487029,-79.99400889,-82.8251976,-199.7081166,-199.9719392,0.351448297,"['u4', 'u5', 'u8', 'u10', 'u12', 'u17', 'u19', 'u22', 'u26', 'u27']",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
