scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp,profit_chp_u1,profit_chp_u2,profit_chp_u3,profit_chp_u4,profit_chp_u5,profit_chp_u6,violation_chp,blocking_coalition_chp,isimp_chp,chp_price_electricity_0,chp_price_electricity_1,chp_price_electricity_2,chp_price_electricity_3,chp_price_electricity_4,chp_price_electricity_5,chp_price_electricity_6,chp_price_electricity_7,chp_price_electricity_8,chp_price_electricity_9,chp_price_electricity_10,chp_price_electricity_11,chp_price_electricity_12,chp_price_electricity_13,chp_price_electricity_14,chp_price_electricity_15,chp_price_electricity_16,chp_price_electricity_17,chp_price_electricity_18,chp_price_electricity_19,chp_price_electricity_20,chp_price_electricity_21,chp_price_electricity_22,chp_price_electricity_23,chp_price_heat_0,chp_price_heat_1,chp_price_heat_2,chp_price_heat_3,chp_price_heat_4,chp_price_heat_5,chp_price_heat_6,chp_price_heat_7,chp_price_heat_8,chp_price_heat_9,chp_price_heat_10,chp_price_heat_11,chp_price_heat_12,chp_price_heat_13,chp_price_heat_14,chp_price_heat_15,chp_price_heat_16,chp_price_heat_17,chp_price_heat_18,chp_price_heat_19,chp_price_heat_20,chp_price_heat_21,chp_price_heat_22,chp_price_heat_23,chp_price_hydrogen_0,chp_price_hydrogen_1,chp_price_hydrogen_2,chp_price_hydrogen_3,chp_price_hydrogen_4,chp_price_hydrogen_5,chp_price_hydrogen_6,chp_price_hydrogen_7,chp_price_hydrogen_8,chp_price_hydrogen_9,chp_price_hydrogen_10,chp_price_hydrogen_11,chp_price_hydrogen_12,chp_price_hydrogen_13,chp_price_hydrogen_14,chp_price_hydrogen_15,chp_price_hydrogen_16,chp_price_hydrogen_17,chp_price_hydrogen_18,chp_price_hydrogen_19,chp_price_hydrogen_20,chp_price_hydrogen_21,chp_price_hydrogen_22,chp_price_hydrogen_23,violation_bf,blocking_coalition_bf,isimp_bf
low_h2_margin,0,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,1,0.6702528,1273.664446,0.410807808,265.2339609,799.9062233,205.4466276,253.0851506,4.322390657,['u2'],FALSE,14.23232985,1247.736009,7.506306369,269.3200293,814.580751,203.3053546,255.2987662,0,,TRUE,66.61305143,66.61305143,53.16,53.16,53.16,53.16,53.16,95.32651802,95.32651802,117.6870593,117.6870593,117.6870593,5.81E-10,13.7,66.61305143,66.61305143,66.61305143,66.61305143,66.61305143,64.66666667,64.68,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,38.570201,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,0,0,0,0,0,0,0,0,0,6,6,6,2,2,3.588632906,3.588632906,3.588632906,3.588632906,3.588632906,3.319405056,3.32007916,0,0,0,,,
low_h2_margin,1,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,2,0.140022278,1667.610189,12.65691193,148.1075881,455.3556439,91.90030535,217.9616073,0,,TRUE,11.68540263,1612.475046,25.34719786,161.6648871,485.5525467,90.59096053,217.9616073,0,,TRUE,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,79.19301121,97.76914964,97.76914964,1.70E-13,13.7,112.0058697,112.0058697,112.0058697,117.6870593,193.56,194,194.04,195.26,195.26,194.16,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,32.49766757,32.49766757,22.99885714,22.99885714,36.83813099,36.83813099,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,61.88512195,0,0,0,0,0,0,0,0,0,4.053825226,6,6,2,2,6,6,6,6,9.835969732,9.510794206,10.20765844,0,0,0,,,
low_h2_margin,2,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,3,0.225227118,1321.004626,2.476612294,222.7364635,461.8172454,191.3653942,188.9027905,2.256586171,['u2'],FALSE,11.05771923,1306.626691,8.586709139,222.7364635,469.066094,188.9622385,192.3249356,2.49E-12,,TRUE,163.98,157.22,157.22,157.22,157.22,157.22,157.22,159.48,154.64,152,142.4,117.6870593,0.05,13.7,80.35390947,66.61305143,65.08666667,65.08666667,80.35390947,65.08666667,80.35390947,65.08666667,65.08666667,65.08666667,52.68390244,50.62292683,50.62292683,50.62292683,50.62292683,50.62292683,68.99657143,68.99657143,68.99657143,68.99657143,46.10463415,38.570201,22.99885714,22.99885714,27.18814313,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,0,0,0,0,0,0,0,0,0,7.989801293,6,6,2,2,4.318577734,3.588632906,3.507547965,3.507547965,4.318577734,3.340639337,4.112517699,0,0,0,,,
low_h2_margin,3,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,4,1.860351324,1548.512519,-7.854416502,228.7276831,662.896815,80.58340088,232.3342103,12.58761497,"['u2', 'u5']",FALSE,10.55662107,1504.935784,4.815968585,234.3926736,684.8177507,80.58340088,235.6546336,0,,TRUE,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,95.32651802,95.32651802,117.6870593,117.6870593,117.6870593,1.42E-14,13.7,112.0058697,112.0058697,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,38.570201,22.99885714,22.99885714,36.83813099,36.83813099,38.570201,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,0,0,0,0,0,0,0,0,0,6,6,6,2,2,6,6,6,6,6,6,6,0,0,0,,,
low_h2_margin,4,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,5,0.186771154,1496.857135,2.810916179,232.8773728,683.1420162,98.57767427,234.2277255,1.922282287,['u2'],FALSE,13.22233319,1470.326438,11.30645781,236.9634413,697.8165439,95.63861737,236.4413411,0,,TRUE,66.61305143,53.95657166,66.61305143,66.61305143,66.61305143,53.16,53.16,95.32651802,95.32651802,117.6870593,117.6870593,117.6870593,0.05,13.7,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,64.68,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,38.570201,22.99885714,22.99885714,36.83813099,36.83813099,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,0,0,0,0,0,0,0,0,0,6,6,6,2,2,6,6,6,6,6,5.712771494,3.32007916,0,0,0,,,
low_h2_margin,5,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,6,0.13321352,1626.417436,17.52217309,262.1793455,756.1742894,97.40800169,240.3306398,0,,TRUE,11.76415348,1626.417436,22.6186081,262.1793455,756.1742894,92.31156668,240.3306398,0,,TRUE,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,83.95149373,103.6438194,103.6438194,1.21E-13,13.7,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,34.28872543,34.28872543,22.99885714,22.99885714,36.83813099,36.83813099,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,0,0,0,0,0,0,0,0,0,4.294403682,6,6,2,2,6,6,6,6,6,5.712771494,5.712771494,0,0,0,,,
low_h2_margin,6,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,7,0.263103962,1555.780888,20.19376681,233.7990125,702.5311683,127.4633083,242.215354,9.70E-10,,TRUE,13.24554753,1529.719206,27.87861203,238.4970708,715.9545864,126.2149469,243.719076,0,,TRUE,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,75.50455651,93.21550187,93.21550187,2.39E-13,13.7,75.50455651,75.50455651,112.0058697,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,31.10936033,31.10936033,22.99885714,22.99885714,25.70968186,25.70968186,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,0,0,0,0,0,0,0,0,0,3.867345033,5.72287573,6,2,2,4.060969359,4.060969359,6,6,6,6,6,0,0,0,,,
low_h2_margin,7,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,8,0.135789156,1241.647146,23.66571202,303.1919664,913.3028725,248.6411365,265.7600013,0,,TRUE,12.84259987,1241.647146,26.68591065,303.1919664,913.3028725,245.6209378,265.7600013,0,,TRUE,65.62962963,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,53.16,66.61305143,93.21550187,9.91E-13,13.7,65.62962963,65.62962963,65.62962963,65.62962963,65.62962963,64.66666667,64.68,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,31.10936033,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,0,0,0,0,0,0,0,0,0,2.737653187,4.1039133,6,2,2,3.536391361,3.536391361,3.536391361,3.536391361,3.536391361,3.319405056,3.32007916,0,0,0,,,
low_h2_margin,8,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,9,0.128036261,1327.616128,23.12781462,305.332382,903.3161222,225.1618872,260.8150645,0,,TRUE,11.89362907,1327.616128,26.14801325,305.332382,903.3161222,222.1416885,260.8150645,0,,TRUE,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,53.16,97.76914964,97.76914964,4.81E-13,13.7,65.62962963,65.62962963,65.62962963,65.62962963,65.62962963,64.66666667,64.68,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,32.49766757,32.49766757,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,0,0,0,0,0,0,0,0,0,2.737653187,6,6,2,2,3.536391361,3.536391361,3.536391361,3.536391361,3.536391361,3.319405056,3.32007916,0,0,0,,,
low_h2_margin,9,TRUE,FALSE,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,10,0.159484148,1175.63935,-8.824024707,197.3680783,583.6376359,80.58340088,227.2231932,13.55722317,"['u2', 'u5']",FALSE,11.51004887,1145.884582,0.653865264,205.4680604,597.59616,80.58340088,225.4415651,4.079333202,"['u2', 'u5']",FALSE,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,159.48,154.64,152,142.4,142.4,2.13E-14,13.7,122.0087843,122.0087843,122.0087843,122.0087843,122.0087843,112.0058697,105.183537,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,46.10463415,46.10463415,22.99885714,22.99885714,39.88780011,39.88780011,39.88780011,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,0,0,0,0,0,0,0,0,0,8.205948815,6,6,2,2,6,6,6,6,6,6,6,0,0,0,0,[],TRUE
