,scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,violation_ip,blocking_coalition_ip,solve_time_chp,profit_chp_u1,profit_chp_u2,profit_chp_u3,profit_chp_u4,profit_chp_u5,profit_chp_u6,violation_chp,blocking_coalition_chp,chp_price_electricity_0,chp_price_electricity_1,chp_price_electricity_2,chp_price_electricity_3,chp_price_electricity_4,chp_price_electricity_5,chp_price_electricity_6,chp_price_electricity_7,chp_price_electricity_8,chp_price_electricity_9,chp_price_electricity_10,chp_price_electricity_11,chp_price_electricity_12,chp_price_electricity_13,chp_price_electricity_14,chp_price_electricity_15,chp_price_electricity_16,chp_price_electricity_17,chp_price_electricity_18,chp_price_electricity_19,chp_price_electricity_20,chp_price_electricity_21,chp_price_electricity_22,chp_price_electricity_23,chp_price_heat_0,chp_price_heat_1,chp_price_heat_2,chp_price_heat_3,chp_price_heat_4,chp_price_heat_5,chp_price_heat_6,chp_price_heat_7,chp_price_heat_8,chp_price_heat_9,chp_price_heat_10,chp_price_heat_11,chp_price_heat_12,chp_price_heat_13,chp_price_heat_14,chp_price_heat_15,chp_price_heat_16,chp_price_heat_17,chp_price_heat_18,chp_price_heat_19,chp_price_heat_20,chp_price_heat_21,chp_price_heat_22,chp_price_heat_23,chp_price_hydrogen_0,chp_price_hydrogen_1,chp_price_hydrogen_2,chp_price_hydrogen_3,chp_price_hydrogen_4,chp_price_hydrogen_5,chp_price_hydrogen_6,chp_price_hydrogen_7,chp_price_hydrogen_8,chp_price_hydrogen_9,chp_price_hydrogen_10,chp_price_hydrogen_11,chp_price_hydrogen_12,chp_price_hydrogen_13,chp_price_hydrogen_14,chp_price_hydrogen_15,chp_price_hydrogen_16,chp_price_hydrogen_17,chp_price_hydrogen_18,chp_price_hydrogen_19,chp_price_hydrogen_20,chp_price_hydrogen_21,chp_price_hydrogen_22,chp_price_hydrogen_23,isimp_ip,isimp_chp
0,low_h2_margin,0,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,1,0.76392746,2073.575133,205.8574354,518.3191115,0,0,0,1.11e-07,,105.6815608,2062.321224,210.811661,524.6187955,0,0,0,3.06e-13,,66.61305143,66.61305143,53.16,53.16,53.16,53.16,53.16,95.32651802,95.32651802,117.6870593,117.6870593,117.6870593,0.05,13.7,66.61305143,66.61305143,66.61305143,66.61305143,66.61305143,64.66666667,64.68,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,38.570201,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2,6.0,6.0,6,2,2,3.588632906,3.588632906,3.588632906,3.588632906,3.588632906,3.319405056,3.32007916,2.0,2.0,2.0,False,False
1,low_h2_margin,1,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,2,0.267680645,2122.970296,104.5572173,366.0691953,0,0,0,9.53e-11,,54.59613943,2096.784879,115.9381584,380.8736716,0,0,0,1.1e-08,,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,79.19301121,97.76914964,97.76914964,0.05,13.7,112.0058697,112.0058697,112.0058697,117.6870593,193.56,194.0,194.04,195.26,195.26,194.16,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,32.49766757,32.49766757,22.99885714,22.99885714,36.83813099,36.83813099,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,61.88512195,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2,4.053825226,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,False,False
2,low_h2_margin,2,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,3,0.218418837,1782.826335,193.8420065,411.639254,0,0,0,5.62e-10,,72.66134357,1777.827554,197.5489476,412.931094,0,0,0,0.0,,163.98,157.22,157.22,157.22,157.22,157.22,157.22,159.48,154.64,152.0,142.4,117.6870593,0.05,13.7,80.35390947,66.61305143,65.08666667,65.08666667,80.35390947,65.08666667,80.35390947,65.08666667,65.08666667,65.08666667,52.68390244,50.62292683,50.62292683,50.62292683,50.62292683,50.62292683,68.99657143,68.99657143,68.99657143,68.99657143,46.10463415,38.570201,22.99885714,22.99885714,27.18814313,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2,6.0,6.0,6,2,2,4.318577734,3.588632906,3.507547965,3.507547965,4.318577734,3.340639337,4.112517699,2.0,2.0,2.0,False,False
3,low_h2_margin,3,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,4,1.865777493,2211.413797,72.72898438,461.0618934,0,0,0,inf,[],45.05857801,2189.757998,85.39936946,470.0473072,0,0,0,0.0,,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,95.32651802,95.32651802,117.6870593,117.6870593,117.6870593,0.05,13.7,112.0058697,112.0058697,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,38.570201,22.99885714,22.99885714,36.83813099,36.83813099,38.570201,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2,6.0,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,True,False
4,low_h2_margin,4,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,5,0.299598932,2180.003615,101.3885904,467.1050983,0,0,0,6.37e-12,,46.2772119,2168.147446,106.9450752,473.4047823,0,0,0,-7.11e-15,,66.61305143,53.95657166,66.61305143,66.61305143,66.61305143,53.16,53.16,95.32651802,95.32651802,117.6870593,117.6870593,117.6870593,0.05,13.7,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,64.68,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,38.570201,22.99885714,22.99885714,36.83813099,36.83813099,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2,6.0,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,5.712771494,3.32007916,2.0,2.0,2.0,False,False
5,low_h2_margin,5,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,6,0.139621258,2382.59619,114.9301748,502.5099853,0,0,0,-7.32e-13,,50.67717481,2382.59619,114.9301748,502.5099853,0,0,0,2.07e-12,,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,83.95149373,103.6438194,103.6438194,0.05,13.7,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,112.0058697,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,34.28872543,34.28872543,22.99885714,22.99885714,36.83813099,36.83813099,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.0,2.0,2.0,3.242621055,2,2.0,2,4.294403682,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,5.712771494,5.712771494,2.0,2.0,2.0,False,False
6,low_h2_margin,6,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,7,0.310312986,2258.31652,147.6570751,476.0143665,0,0,0,1.41e-09,,73.70291114,2245.678256,154.0935589,482.2161468,0,0,0,8.8e-10,,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,75.50455651,93.21550187,93.21550187,0.05,13.7,75.50455651,75.50455651,112.0058697,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,117.6870593,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,31.10936032,31.10936032,22.99885714,22.99885714,25.70968186,25.70968186,36.83813099,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,38.570201,2,2.0,2.0,2.0,2.0,3.262780572,2,2.0,2,3.867345033,5.72287573,6,2,2,4.060969359,4.060969359,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,False,False
7,low_h2_margin,7,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,8,0.139768839,2154.954482,272.3068485,568.9519678,0,0,0,-7.53e-13,,49.81526589,2154.954482,272.3068485,568.9519678,0,0,0,-6.96e-13,,65.62962963,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,53.16,66.61305143,93.21550187,0.05,13.7,65.62962963,65.62962963,65.62962963,65.62962963,65.62962963,64.66666667,64.68,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,31.10936033,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2,2.737653187,4.1039133,6,2,2,3.536391361,3.536391361,3.536391361,3.536391361,3.536391361,3.319405056,3.32007916,3.2240802,2.0,3.613053741,False,False
8,low_h2_margin,8,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,9,0.143383503,2230.936714,248.2897018,566.1474464,0,0,0,-3.84e-13,,49.99219608,2230.936714,248.2897018,566.1474464,0,0,0,-3.84e-13,,54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,53.16,51.54666667,53.16,97.76914964,97.76914964,0.05,13.7,65.62962963,65.62962963,65.62962963,65.62962963,65.62962963,64.66666667,64.68,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,32.49766757,32.49766757,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.0,2.0,2.0,2.0,2,2.0,2,2.737653187,6.0,6,2,2,3.536391361,3.536391361,3.536391361,3.536391361,3.536391361,3.319405056,3.32007916,2.0,2.0,2.0,False,False
9,low_h2_margin,9,True,False,3,1,0.8,1,700,3.28,50,10,2,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,10,0.152081251,1767.889035,71.75937617,424.5912716,0,0,0,inf,[],47.14333558,1752.479361,80.85069647,430.9096254,0,0,0,inf,[],54.66,52.40666667,52.40666667,52.40666667,52.40666667,52.40666667,53.16,159.48,154.64,152.0,142.4,142.4,0.05,13.7,122.0087843,122.0087843,122.0087843,122.0087843,122.0087843,112.0058697,105.183537,65.08666667,65.08666667,64.72,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,22.99885714,68.99657143,68.99657143,68.99657143,68.99657143,46.10463415,46.10463415,22.99885714,22.99885714,39.88780011,39.88780011,39.88780011,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,22.99885714,2,2.0,2.0,2.0,2.0,2.0,2,6.0,2,6.0,6.0,6,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,True,True
