sensitivity_analysis,violation_ip,solve_time,profit_ip
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 1}",10.71881810168452,0.31642842292785645,"{'u1': np.float64(1108.3215452246786), 'u2': np.float64(77.0471210780518), 'u3': np.float64(501.1295145180022), 'u4': np.float64(184.4693541514066), 'u5': np.float64(130.88142709450887), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 2}",-0.0,0.15148711204528809,"{'u1': np.float64(1240.7500611574517), 'u2': np.float64(81.00431139846833), 'u3': np.float64(446.2753061544354), 'u4': np.float64(68.35803515041107), 'u5': np.float64(81.27020243411249), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 3}",-0.0,0.14774870872497559,"{'u1': np.float64(986.5049718567001), 'u2': np.float64(74.49484893269155), 'u3': np.float64(458.27318071852574), 'u4': np.float64(92.28669819432116), 'u5': np.float64(117.45485729358103), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 4}",-0.0,0.18474054336547852,"{'u1': np.float64(1262.3954210491427), 'u2': np.float64(84.03821231136268), 'u3': np.float64(468.7479457862977), 'u4': np.float64(117.01913356755927), 'u5': np.float64(82.68689272338355), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 5}",-0.0,0.14957523345947266,"{'u1': np.float64(1133.4450196187463), 'u2': np.float64(76.1287090996755), 'u3': np.float64(483.24115029036), 'u4': np.float64(151.05986332395037), 'u5': np.float64(117.61234485882619), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 6}",-0.0,0.13465309143066406,"{'u1': np.float64(1339.96973956518), 'u2': np.float64(92.91758167885442), 'u3': np.float64(492.3335363835739), 'u4': np.float64(166.91454321199706), 'u5': np.float64(117.61987836668538), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 7}",-0.0,0.15317463874816895,"{'u1': np.float64(1418.867002308996), 'u2': np.float64(78.88233888128102), 'u3': np.float64(445.0683630345509), 'u4': np.float64(66.25911228039661), 'u5': np.float64(81.3822405906376), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 8}",-0.0,0.408266544342041,"{'u1': np.float64(1306.6758720108103), 'u2': np.float64(80.37528492798361), 'u3': np.float64(492.6419427662097), 'u4': np.float64(169.39284700873964), 'u5': np.float64(130.19333093061425), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 9}",1.2216796778448075e-07,0.1419076919555664,"{'u1': np.float64(1350.9578174577211), 'u2': np.float64(85.40591784797274), 'u3': np.float64(496.34294843085786), 'u4': np.float64(176.28482707953594), 'u5': np.float64(131.3311290205894), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 10}",-0.0,0.17499423027038574,"{'u1': np.float64(984.5425839371708), 'u2': np.float64(77.06215441158406), 'u3': np.float64(460.5196897716338), 'u4': np.float64(98.01473465467348), 'u5': np.float64(88.37478374069656), 'u6': np.float64(134.72189892093957)}"
