sensitivity_analysis,violation_ip,solve_time,profit_ip,violation_lp,solve_time_lp,profit_lp,violation_chp,solve_time_chp,profit_chp,violation_rowgen,solve_time_rowgen,profit_rowgen
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 1}",-0.0,0.14212632179260254,"{'u1': np.float64(1003.8953603379294), 'u2': np.float64(275.704033732727), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08142256736755371,"{'u1': np.float64(1003.8953603379294), 'u2': np.float64(275.704033732727), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,19.630027532577515,"{'u1': np.float64(1003.8953603379281), 'u2': np.float64(275.7040337327203), 'u3': np.float64(558.1763515911697), 'u4': np.float64(3.979039320256561e-13), 'u5': np.float64(163.05095082600138), 'u6': np.float64(134.72189892094298)}",-0.0,0.6350138187408447,"{'u1': 1003.8953603379307, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 2}",-0.0,0.13515114784240723,"{'u1': np.float64(940.9248835473951), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911732), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08305597305297852,"{'u1': np.float64(940.9248835473951), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911732), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,20.349573373794556,"{'u1': np.float64(940.9248835473953), 'u2': np.float64(275.70403373272325), 'u3': np.float64(558.1763515911683), 'u4': np.float64(-1.1368683772161603e-13), 'u5': np.float64(163.05095082599735), 'u6': np.float64(134.72189892094434)}",-0.0,0.6707673072814941,"{'u1': 940.9248835473961, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 3}",-0.0,0.14418435096740723,"{'u1': np.float64(790.5379112588025), 'u2': np.float64(277.6262615020999), 'u3': np.float64(559.5435149248882), 'u4': np.float64(2.5495506564612356), 'u5': np.float64(164.0768531431633), 'u6': np.float64(134.72189892093957)}",-0.0,0.08063387870788574,"{'u1': np.float64(790.5379112588025), 'u2': np.float64(277.6262615020999), 'u3': np.float64(559.5435149248882), 'u4': np.float64(2.5495506564612356), 'u5': np.float64(164.0768531431633), 'u6': np.float64(134.72189892093957)}",-0.0,20.32880425453186,"{'u1': np.float64(790.5379112588009), 'u2': np.float64(277.62626150210264), 'u3': np.float64(559.5435149248889), 'u4': np.float64(2.549550656461747), 'u5': np.float64(164.07685314316126), 'u6': np.float64(134.72189892093945)}",-0.0,0.7947733402252197,"{'u1': 797.4027553355222, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 4}",-0.0,0.19547486305236816,"{'u1': np.float64(1003.9066990939307), 'u2': np.float64(275.7040337327266), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08204293251037598,"{'u1': np.float64(1003.9066990939307), 'u2': np.float64(275.7040337327266), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,14.773491859436035,"{'u1': np.float64(1003.9066990939316), 'u2': np.float64(275.70403373272813), 'u3': np.float64(558.1763515911733), 'u4': np.float64(-2.8421709430404007e-13), 'u5': np.float64(163.05095082599178), 'u6': np.float64(134.72189892093934)}",-0.0,0.6224751472473145,"{'u1': 1003.9066990939316, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 5}",-0.0,0.13952064514160156,"{'u1': np.float64(964.9008547286912), 'u2': np.float64(275.704033732727), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08025288581848145,"{'u1': np.float64(964.9008547286912), 'u2': np.float64(275.704033732727), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,23.02151584625244,"{'u1': np.float64(964.900854728691), 'u2': np.float64(275.70403373264463), 'u3': np.float64(558.1763515911724), 'u4': np.float64(1.1368683772161603e-13), 'u5': np.float64(163.0509508260763), 'u6': np.float64(134.72189892094025)}",-0.0,0.6258544921875,"{'u1': 964.9008547286924, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 6}",-0.0,0.12989187240600586,"{'u1': np.float64(1165.6317362349596), 'u2': np.float64(275.70403373272677), 'u3': np.float64(558.1763515911731), 'u4': np.float64(5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08272981643676758,"{'u1': np.float64(1165.6317362349596), 'u2': np.float64(275.70403373272677), 'u3': np.float64(558.1763515911731), 'u4': np.float64(5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,11.978181838989258,"{'u1': np.float64(1165.631736234959), 'u2': np.float64(275.70403373272643), 'u3': np.float64(558.1763515911491), 'u4': np.float64(4.547473508864641e-13), 'u5': np.float64(163.0509508259945), 'u6': np.float64(134.72189892096367)}",-0.0,0.6142017841339111,"{'u1': 1165.6317362349603, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 7}",-0.0,0.14348697662353516,"{'u1': np.float64(1055.1525700931422), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08354759216308594,"{'u1': np.float64(1055.1525700931422), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,10.338587999343872,"{'u1': np.float64(1055.1525700931422), 'u2': np.float64(275.7040337327161), 'u3': np.float64(558.1763515911746), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082600468), 'u6': np.float64(134.7218989209382)}",-0.0,0.6173791885375977,"{'u1': 1055.1525700931436, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 8}",-0.0,0.12979817390441895,"{'u1': np.float64(1143.1558200938612), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08326363563537598,"{'u1': np.float64(1143.1558200938612), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,20.686583995819092,"{'u1': np.float64(1143.155820093861), 'u2': np.float64(275.7040337327182), 'u3': np.float64(558.1763515911734), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082600297), 'u6': np.float64(134.7218989209391)}",-0.0,0.6929576396942139,"{'u1': 1143.1558200938623, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 9}",-0.0,0.13404297828674316,"{'u1': np.float64(1196.9054124586057), 'u2': np.float64(275.70403373272677), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08246779441833496,"{'u1': np.float64(1196.9054124586057), 'u2': np.float64(275.70403373272677), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,17.798545837402344,"{'u1': np.float64(1196.9054124586069), 'u2': np.float64(275.70403373272995), 'u3': np.float64(558.1763515911712), 'u4': np.float64(-2.2737367544323206e-13), 'u5': np.float64(163.05095082598996), 'u6': np.float64(134.72189892094138)}",-0.0,0.7209048271179199,"{'u1': 1196.9054124586066, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 10}",-0.0,0.14291858673095703,"{'u1': np.float64(806.9081893430587), 'u2': np.float64(275.70403373272694), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.08411478996276855,"{'u1': np.float64(806.9081893430587), 'u2': np.float64(275.70403373272694), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,14.513399362564087,"{'u1': np.float64(806.9081893430582), 'u2': np.float64(275.70403373243687), 'u3': np.float64(558.1763515911741), 'u4': np.float64(3.410605131648481e-13), 'u5': np.float64(163.050950826284), 'u6': np.float64(134.72189892093866)}",-0.0,0.7036793231964111,"{'u1': 806.9081893430596, 'u2': 438.7549845587205, 'u3': 692.8982505121123, 'u4': 3.907985046680551e-14, 'u5': -0.0, 'u6': -0.0}"
