sensitivity_analysis,violation_ip,solve_time,profit_ip,violation_lp,solve_time_lp,profit_lp,violation_chp,solve_time_chp,profit_chp,violation_rowgen,solve_time_rowgen,profit_rowgen
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 1}",-0.0,0.15048456192016602,"{'u1': np.float64(1167.8492901475197), 'u2': np.float64(75.78623990531963), 'u3': np.float64(474.30260573865496), 'u4': np.float64(130.52316055066), 'u5': np.float64(93.13490528889093), 'u6': np.float64(134.72189892093957)}",-0.0,0.06753420829772949,"{'u1': np.float64(1182.4294492588597), 'u2': np.float64(80.37190093492009), 'u3': np.float64(467.54667316756206), 'u4': np.float64(120.37200809534943), 'u5': np.float64(90.87617017435394), 'u6': np.float64(134.72189892093957)}",-0.0,14.399801015853882,"{'u1': np.float64(1190.2378298341391), 'u2': np.float64(78.8994689745169), 'u3': np.float64(465.1527703555985), 'u4': np.float64(115.42778006147807), 'u5': np.float64(91.87835240531297), 'u6': np.float64(134.72189892093957)}",-0.0,1.1737606525421143,"{'u1': 1373.7575325097748, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 2}",-0.0,0.13231945037841797,"{'u1': np.float64(1158.2771141948708), 'u2': np.float64(81.00431139846799), 'u3': np.float64(446.9410622519963), 'u4': np.float64(69.70794801622003), 'u5': np.float64(81.27020243411255), 'u6': np.float64(134.72189892093957)}",-0.0,0.06481599807739258,"{'u1': np.float64(1153.3587153304793), 'u2': np.float64(87.68634369131124), 'u3': np.float64(447.68707382148773), 'u4': np.float64(70.8776716889721), 'u5': np.float64(77.59083376341749), 'u6': np.float64(134.72189892093957)}",-0.0,15.758073091506958,"{'u1': np.float64(1150.2055688108946), 'u2': np.float64(87.52122682888697), 'u3': np.float64(448.6283130941906), 'u4': np.float64(72.78723656349678), 'u5': np.float64(78.05829299819908), 'u6': np.float64(134.72189892093957)}",-0.0,0.8724198341369629,"{'u1': 1269.3619691743972, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 3}",-0.0,0.1341865062713623,"{'u1': np.float64(950.6529959640312), 'u2': np.float64(76.30272006160573), 'u3': np.float64(452.4429247845186), 'u4': np.float64(78.36655923999888), 'u5': np.float64(107.8297124229727), 'u6': np.float64(134.72189892093957)}",-0.0,0.0658268928527832,"{'u1': np.float64(946.3085433530317), 'u2': np.float64(81.6761535410003), 'u3': np.float64(453.3572813482227), 'u4': np.float64(80.48609464680123), 'u5': np.float64(103.76683958407119), 'u6': np.float64(134.72189892093957)}",-0.0,12.666541337966919,"{'u1': np.float64(946.5639515027145), 'u2': np.float64(80.37000329336496), 'u3': np.float64(453.3035267929322), 'u4': np.float64(80.36148824297754), 'u5': np.float64(104.99594264113847), 'u6': np.float64(134.72189892093922)}",3.9115377603593515e-11,1.2136547565460205,"{'u1': 1097.7562433518563, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 4}",-0.0,0.13207411766052246,"{'u1': np.float64(1211.6229832487616), 'u2': np.float64(79.34238484345427), 'u3': np.float64(461.9595389548689), 'u4': np.float64(102.37248889618161), 'u5': np.float64(79.65197307587562), 'u6': np.float64(134.72189892093957)}",-0.0,0.06507086753845215,"{'u1': np.float64(1202.8663011570256), 'u2': np.float64(87.60741454374993), 'u3': np.float64(463.61804727111746), 'u4': np.float64(107.14373675660545), 'u5': np.float64(73.71386929064346), 'u6': np.float64(134.72189892093957)}",-0.0,14.620983123779297,"{'u1': np.float64(1201.2222699425602), 'u2': np.float64(87.02564652937694), 'u3': np.float64(464.0242170138912), 'u4': np.float64(107.493724776931), 'u5': np.float64(75.18351075638253), 'u6': np.float64(134.72189892093957)}",-0.0,0.9645404815673828,"{'u1': 1367.1106998978705, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 5}",-0.0,0.13022303581237793,"{'u1': np.float64(1166.834236590683), 'u2': np.float64(74.37526414345976), 'u3': np.float64(461.3925649245065), 'u4': np.float64(105.83034966928233), 'u5': np.float64(86.27454578154601), 'u6': np.float64(134.72189892093957)}",9.176432248098054e-08,0.12977147102355957,"{'u1': np.float64(1186.0866168609944), 'u2': np.float64(78.50923020432734), 'u3': np.float64(454.9351425609084), 'u4': np.float64(93.03539176256925), 'u5': np.float64(82.14057972067843), 'u6': np.float64(134.72189892093957)}",8.173032529229518e-08,12.194015741348267,"{'u1': np.float64(1190.9066054019777), 'u2': np.float64(77.19703974870313), 'u3': np.float64(453.3457476513936), 'u4': np.float64(89.80479813110094), 'u5': np.float64(83.45277017630303), 'u6': np.float64(134.72189892093922)}",8.313350008393172e-13,1.0547356605529785,"{'u1': 1326.868291988207, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 6}",-0.0,0.14395999908447266,"{'u1': np.float64(1377.4761004847098), 'u2': np.float64(90.78673901971976), 'u3': np.float64(470.45685345674474), 'u4': np.float64(119.12229783497173), 'u5': np.float64(81.27020243411266), 'u6': np.float64(134.72189892093957)}",-0.0,0.06700396537780762,"{'u1': np.float64(1375.1244519112595), 'u2': np.float64(96.59427146931998), 'u3': np.float64(470.6038453266634), 'u4': np.float64(119.19879075959852), 'u5': np.float64(77.59083376341755), 'u6': np.float64(134.72189892093957)}",-0.0,16.118447303771973,"{'u1': np.float64(1373.459918911704), 'u2': np.float64(95.7918416119953), 'u3': np.float64(471.2437428059568), 'u4': np.float64(120.5583969024051), 'u5': np.float64(78.05829299819783), 'u6': np.float64(134.72189892093934)}",8.313350008393172e-13,1.9830958843231201,"{'u1': 1571.2735241089879, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 7}",-0.0,0.1618940830230713,"{'u1': np.float64(1331.880169412467), 'u2': np.float64(81.00431139846788), 'u3': np.float64(447.088054121915), 'u4': np.float64(69.56501465095494), 'u5': np.float64(81.27020243411266), 'u6': np.float64(134.72189892093957)}",-0.0,0.06838035583496094,"{'u1': np.float64(1330.2846017078462), 'u2': np.float64(86.15451581802026), 'u3': np.float64(447.05453439576695), 'u4': np.float64(69.72326633286684), 'u5': np.float64(77.59083376341755), 'u6': np.float64(134.72189892093957)}",-0.0,16.478987455368042,"{'u1': np.float64(1325.5232364606552), 'u2': np.float64(86.72037665207753), 'u3': np.float64(448.3196132472092), 'u4': np.float64(72.18623265977192), 'u5': np.float64(78.05829299820391), 'u6': np.float64(134.72189892093934)}",-0.0,0.9406130313873291,"{'u1': 1442.9690828966466, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 8}",-0.0,0.13251805305480957,"{'u1': np.float64(1340.7754345908097), 'u2': np.float64(76.93915951760465), 'u3': np.float64(473.3135610521807), 'u4': np.float64(130.01311417898864), 'u5': np.float64(94.75313464712798), 'u6': np.float64(134.72189892093957)}",-0.0,0.06429195404052734,"{'u1': np.float64(1321.4368266449583), 'u2': np.float64(85.89904858114237), 'u3': np.float64(476.98466591333136), 'u4': np.float64(136.72072820015183), 'u5': np.float64(94.75313464712798), 'u6': np.float64(134.72189892093957)}",-0.0,17.479827642440796,"{'u1': np.float64(1329.0538321452468), 'u2': np.float64(83.79207251495596), 'u3': np.float64(474.9576341408615), 'u4': np.float64(133.23773053852358), 'u5': np.float64(94.75313464712468), 'u6': np.float64(134.72189892093945)}",-0.0,22.880199432373047,"{'u1': 1547.9557348654414, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 9}",-0.0,0.13804960250854492,"{'u1': np.float64(1378.8609373020126), 'u2': np.float64(85.65552789862728), 'u3': np.float64(479.27640786232257), 'u4': np.float64(141.49175957991542), 'u5': np.float64(94.75313464712798), 'u6': np.float64(134.72189892093957)}",-0.0,0.06544899940490723,"{'u1': np.float64(1377.1209846352292), 'u2': np.float64(87.26669010499394), 'u3': np.float64(479.3898800060931), 'u4': np.float64(141.5070778965619), 'u5': np.float64(94.75313464712798), 'u6': np.float64(134.72189892093957)}",-0.0,17.940642833709717,"{'u1': np.float64(1372.261034522368), 'u2': np.float64(88.3985950395142), 'u3': np.float64(480.65495885753205), 'u4': np.float64(143.97004422346447), 'u5': np.float64(94.75313464712531), 'u6': np.float64(134.72189892094184)}",-0.0,2.1112656593322754,"{'u1': 1612.1990981687352, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 0.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 10}",-0.0,0.13163995742797852,"{'u1': np.float64(967.8742736115814), 'u2': np.float64(76.81087363313108), 'u3': np.float64(456.2347697370417), 'u4': np.float64(90.73825222234984), 'u5': np.float64(79.65197307587562), 'u6': np.float64(134.72189892093957)}",-0.0,0.06725549697875977,"{'u1': np.float64(967.5731475466876), 'u2': np.float64(84.16003572794187), 'u3': np.float64(455.87283599847194), 'u4': np.float64(89.99025371623475), 'u5': np.float64(73.71386929064352), 'u6': np.float64(134.72189892093957)}",2.127862330780772e-10,13.716915845870972,"{'u1': np.float64(971.5792548445571), 'u2': np.float64(82.10413539148695), 'u3': np.float64(454.64942206821115), 'u4': np.float64(87.79381921934043), 'u5': np.float64(75.18351075638327), 'u6': np.float64(134.72189892094025)}",-0.0,8.304498195648193,"{'u1': 1103.4714731587082, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
