time,electricity,heat,hydro
0,71.2,45.99771428571428,0.0
1,71.2,45.99771428571428,0.0
2,61.80716056624354,45.99771428571428,0.0
3,61.80716056624354,45.99771428571428,0.0
4,61.80716056624354,45.99771428571428,0.0
5,61.80716056624354,45.99771428571428,0.0
6,53.16,68.99657142857143,0.0
7,61.80716056624354,68.99657142857143,0.0
8,61.80716056624354,68.99657142857143,0.0
9,76.0,68.99657142857143,4.08728841524582
10,71.2,45.99771428571428,4.383064177880136
11,71.2,45.99771428571428,4.5947376403756355
12,0.0,45.99771428571428,3.3333333333333335
13,6.85,45.99771428571428,3.3333333333333335
14,71.2,45.99771428571428,3.832301778493455
15,71.2,45.99771428571428,3.832301778493455
16,71.2,45.99771428571428,3.832301778493455
17,71.2,68.99657142857143,3.832301778493455
18,71.2,68.99657142857143,3.832301778493455
19,64.66666666666666,68.99657142857143,3.3333333333333335
20,64.68,68.99657142857143,3.3333333333333335
21,65.08666666666667,68.99657142857143,0.0
22,65.08666666666667,68.99657142857143,0.0
23,64.72,45.99771428571428,0.0
