time,electricity,heat,hydro
0,81.99,45.99771428571428,0.0
1,78.61,45.99771428571428,0.0
2,78.61,45.99771428571428,0.0
3,78.61,45.99771428571428,0.0
4,78.61,45.99771428571428,0.0
5,78.61,45.99771428571428,0.0
6,79.74,68.99657142857143,0.0
7,79.74,68.99657142857143,0.0
8,77.32,68.99657142857143,0.0
9,76.0,68.99657142857143,4.05
10,71.2,45.99771428571428,4.383064177880153
11,71.2,45.99771428571428,4.594737640375633
12,49.37117621980483,45.99771428571428,3.3333333333333335
13,49.37117621980483,45.99771428571428,3.3333333333333335
14,71.2,45.99771428571428,4.05
15,71.32999999999998,45.99771428571428,4.05
16,84.92,45.99771428571428,4.561138581877308
17,96.78,68.99657142857143,5.0
18,96.78,68.99657142857143,5.0
19,96.99999999999999,68.99657142857143,5.0
20,96.99999999999999,68.99657142857143,5.0
21,96.99999999999999,68.99657142857143,0.0
22,96.99999999999999,68.99657142857143,0.0
23,96.99999999999999,45.99771428571428,0.0
