날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2025-01-01,758.099,718.352,694.451,677.702,677.338,693.492,719.664,734.7,702.644,629.497,595.539,575.052,576.683,581.695,613.779,636.054,685.914,776.031,827.077,831.765,818.992,798.005,781.839,751.519
2025-01-02,706.731,667.105,648.97,637.551,637.647,656.136,696.258,765.744,819.128,798.896,768.176,729.367,682.556,689.301,713.422,749.599,796.645,870.502,894.829,886.248,862.587,831.717,814.514,790.494
2025-01-03,743.925,706.306,686.002,671.553,673.835,692.608,737.541,804.411,835.574,809.642,764.096,736.609,711.952,703.858,710.713,745.669,809.679,901.592,934.572,925.753,904.985,882.094,862.426,836.876
2025-01-04,783.611,743.024,716.093,696.184,691.899,710.027,744.518,773.847,764.671,720.015,696.113,663.492,644.861,646.541,633.784,655.471,726.904,830.574,883.232,886.659,874.573,856.787,845.161,823.923
2025-01-05,764.155,718.478,688.974,674.308,671.346,682.402,694.074,714.99,741.426,769.81,738.427,719.559,704.877,711.258,736.529,775.211,796.686,830.433,850.187,839.047,816.782,787.991,768.347,751.788
2025-01-06,702.636,669.551,660.605,659.002,663.414,677.322,704.306,771.806,829.868,839.829,832.256,821.856,804.079,770.407,776.121,810.984,859.216,930.501,945.478,931.865,906.598,872.584,852.819,825.216
2025-01-07,774.659,735.708,709.595,697.551,703.462,724.741,765.108,834.544,901.384,884.231,831.897,789.476,769.637,811.305,842.474,876.145,924.31,959.735,958.434,942.399,908.199,873.15,850.379,822.499
2025-01-08,779.589,739.119,706.773,698.775,694.555,709.62,748.297,813.646,883.838,872.56,839.539,848.44,841.729,864.256,860.48,861.812,879.88,940.196,948.194,933.489,906.839,871.951,853.885,831.505
2025-01-09,794.107,759.853,739.9,727.985,735.781,759.256,804.095,869.82,943.933,928.149,874.63,856.354,828.44,873.771,929.531,976.892,"1,019.69","1,046.88","1,048.70","1,031.80",999.44,956.814,933.509,913.078
2025-01-10,860.908,815.519,786.775,771.181,768.584,785.373,825.799,887.33,966.656,996.333,987.38,933.602,875.341,879.607,868.25,896.606,939.157,"1,002.65","1,009.95",990.047,955.685,918.509,897.855,878.567
2025-01-11,828.44,783.627,758.342,741.105,745.607,763.832,794.749,827.093,849.771,816.186,797.991,779.467,751.978,780.138,794.157,827.299,888.827,940.574,965.467,956.45,935.872,903.964,885.415,867.556
2025-01-12,827.963,796.617,766.341,750.004,754.523,766.739,781.439,810.694,817.461,749.378,709.901,674.538,663.583,698.535,700.108,715.346,790.164,894.567,940.843,940.118,914.58,880.272,862.954,846.127
2025-01-13,795.693,779.501,754.15,735.466,742.74,767.265,818.165,875.676,909.752,838.327,798.836,781.392,751.484,734.818,739.068,760.078,812.719,909.09,971.917,981.201,967.088,939.398,917.33,889.951
2025-01-14,831.685,779.424,744.237,731.627,728.51,750.569,788.656,840.267,875.836,820.724,774.189,745.912,705.511,690.477,702.154,723.677,768.685,845.967,904.765,915.207,890.125,843.463,821.08,796.615
2025-01-15,759.334,725.865,702.561,686.666,694.462,720.158,767.014,834.421,902.886,931.965,916.706,894.765,877.894,884.706,872.225,876.347,921.958,995.107,"1,010.86",996.893,968.331,929.784,898.465,872.791
2025-01-16,819.574,777.33,753.053,743.915,745.041,762.103,800.539,852.641,927.226,939.665,913.569,859.841,800.628,822.646,793.278,756.325,861.933,949.155,981.39,973.837,949.549,915.749,899.803,877.435
2025-01-17,829.652,791.806,762.463,741.977,738.793,760.154,797.394,849.967,913.314,916.655,871.295,809.307,761.099,744.689,718.312,738.797,805.248,890.703,954.762,965.737,957.168,935.908,921.762,903.797
2025-01-18,851.977,814.163,788.167,771.44,773.398,791.781,821.765,850.129,821.405,748.284,719.75,678.039,660.2,671.735,663.179,680.235,728.744,806.857,882.678,903.684,906.292,890.414,876.838,866.331
2025-01-19,823.999,789.097,759.782,745.808,743.394,748.742,776.707,803.628,766.466,658.253,625.367,608.011,596.06,607.38,627.265,649.107,683.134,768.203,863.353,885.955,880.024,866.315,858.44,838.929
2025-01-20,790.461,751.569,728.398,718.433,722.968,744.479,783.634,843.048,866.549,801.127,755.198,711.988,684.413,696.028,707.222,745.152,802.67,889.571,935.745,938.773,921.305,896.066,882.001,855.139
2025-01-21,801.56,767.976,745.126,737.582,736.491,756.601,802.84,863.501,868.761,785.066,733.31,691.551,656.135,662.954,672.108,692.835,749.493,842.978,919.958,931.995,921.506,898.167,886.29,867.586
2025-01-22,818.57,780.722,756.759,746.405,746.059,762.805,806.277,861.397,876.196,799.29,790.217,752.75,729.512,703.83,700.108,729.082,768.637,837.021,889.028,899.915,889.954,866.088,851.584,834.69
2025-01-23,776.573,744.507,723.707,718.71,721.054,739.973,780.52,836.121,850.089,761.748,709.937,678.264,653.269,656.061,673.338,693.791,742.285,817.597,883.411,895.094,880.287,859.277,849.417,824.705
2025-01-24,766.953,723.077,700.317,690.249,701.811,728.434,773.02,821.515,843.528,782.942,742.986,709.759,683.289,685.78,697.589,719.548,749.513,793.295,850.799,867.225,856.741,837.045,827.15,807.514
2025-01-25,762.14,724.507,699.941,678.492,679.22,693.782,729.716,765.51,745.006,654.862,624.25,615.581,625.677,671.008,689.296,698.318,747.175,807.638,852.817,854.789,846.1,829.905,808.641,803.889
2025-01-26,760.102,721.348,701.797,687.859,692.872,711.52,737.551,752.437,745.528,717.705,707.102,707.554,687.024,672.545,701.436,722.866,753.395,813.13,853.453,856.855,835.41,812.97,799.463,779.732
2025-01-27,738.618,701.918,674.846,668.182,677.89,695.416,721.809,745.536,789.028,782.052,782.911,762.18,727.842,710.871,726.138,748.994,808.66,879.919,932.532,938.334,913.964,887.984,878.044,857.08
2025-01-28,816.995,779.916,752.809,741.481,741.512,754.424,774.868,798.749,827.53,814.729,792.997,761.777,746.2,714.511,748.81,769.093,810.273,878.606,924.713,922.196,908.2,884.861,867.487,850.491
2025-01-29,804.536,767.698,738.329,721.142,721.58,737.882,771.078,805.303,780.049,688.468,636.242,606.68,606.974,599.104,613.931,621.821,674.2,761.628,841.866,861.528,864.288,864.089,867.917,863.38
