기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2025/08/18,115.59,76.45,76.45,76.45,76.45,76.45,76.45,115.59,118.73,118.73,118.73,118.73,118.22,118.22,121.37,135.15,123.69,124.48,124.51,124.13,119.4,118.73,118.73,118.73,135.15,76.45,112.38
2025/08/17,117.46,118.98,113.96,77.12,114.22,77.12,76.63,116.06,115.92,121.01,121.01,121.01,120.5,120.5,120.5,120.5,120.5,119.75,121.01,121.01,121.01,121.01,118.43,116.06,121.01,76.63,114.58
2025/08/16,115.86,114.02,117.67,110.85,77.24,77.18,77.18,115.86,115.86,118.84,117.7,118.84,118.44,118.44,118.44,118.44,118.44,118.44,118.84,118.84,118.84,117.7,118.84,117.7,118.84,77.18,113.06
2025/08/15,114.99,114.99,116.83,111.29,111.29,111.29,114.99,117.35,114.99,118.14,118.09,117.92,117.92,117.82,117.82,117.82,117.8,117.92,125.51,125.88,119.32,119.32,120.1,116.83,125.88,111.29,117.66
2025/08/14,115.01,113.17,113.17,113.17,107.66,84.24,119.66,120.16,116.65,118.02,118.95,120.34,120.34,153.99,118.02,118.02,118.95,120.2,120.2,120.34,117.43,116.68,120.16,116.65,153.99,84.24,118.22
2025/08/13,109.8,97.86,96.02,90.51,84.24,84.24,109.29,116.93,115.1,131.69,131.69,120.83,120.68,120.68,117.91,117.91,119.4,117.91,117.91,117.91,120,116.65,116.43,116.43,131.69,84.24,114.13
2025/08/12,118.26,84.35,84.34,84.33,84.34,84.35,95.63,118.33,119.27,125.52,125.59,125.59,125.5,125.51,119.52,128.39,119.56,119.56,120.26,120.28,119.27,119.27,119.4,116.85,128.39,84.33,114.24
2025/08/11,117.09,75.19,75.19,75.19,75.19,75.12,75.19,118.5,118.5,120.92,120.92,120.92,120.48,120.48,149.52,120.48,122.04,122.04,122.04,122.04,120.92,120.92,120.92,118.5,149.52,75.12,113.16
2025/08/10,119.26,79.57,77.29,76.5,76.5,76.5,76.5,76.5,76.5,119.47,120.89,123.06,122.93,122.93,122.88,122.88,122.93,159.63,123.14,123.32,123.32,121.86,120.89,120.89,159.63,76.5,110.45
2025/08/09,117.4,115.99,113.28,78.56,78.56,78.56,78.56,116.56,118.82,121.37,121.24,121.24,121.24,121.24,154.75,121.37,121.5,118.82,121.5,121.55,121.55,118.82,119.5,118.82,154.75,78.56,115.23
2025/08/08,115.07,113.24,109.56,84.37,84.37,84.37,109.9,117.54,118.39,118.22,118.16,117.99,117.88,117.88,119.92,120.17,120.17,120.17,120.77,120.79,119.67,118.56,118.56,118.56,120.79,84.37,114.53
2025/08/07,114.5,85.47,81.87,81.87,81.87,81.87,114.5,120.01,123.19,121.26,124.25,124.25,120.98,124.25,124.25,124.25,120.98,121.09,121.26,121.32,121.49,121.49,121.66,118.18,124.25,81.87,114.7
2025/08/06,114.95,84.4,84.38,84.37,84.38,84.36,116.04,118.27,127.74,118.97,118.97,118.97,118.1,120.38,125.52,135.43,123.62,119.69,119.64,119.64,119.21,119.6,118.27,118.43,135.43,84.36,114.66
2025/08/05,115.29,76.29,75.82,75.82,75.82,75.82,115.29,118.44,118.38,118.38,118.21,119.75,118.61,118.13,120.77,124.83,125.05,125.18,125.12,125.04,119.21,118.44,118.61,118.61,125.18,75.82,112.94
2025/08/04,116.43,114.79,112.95,107.44,88.57,107.44,118.82,118.82,119.09,120.23,150.33,128.82,122.33,128.76,130.31,130.31,130.36,130.66,131.69,131.69,128.76,119.08,119.08,118.77,150.33,88.57,123.42
2025/08/03,115.93,116.11,115.93,108.55,76.5,108.95,115.93,114.09,115.93,116.9,116.73,118.18,125.37,125.89,122.95,122.4,120.45,120.51,139.25,132.62,132,122.38,156.78,117.41,156.78,76.5,121.1
2025/08/02,115.5,115.5,113.48,111.64,111.64,111.64,113.48,115.32,116.29,116.93,122.45,122.55,123.5,123.5,123.41,122.41,118.12,118.29,122.11,147.41,140.05,120.06,116.93,116.87,147.41,111.64,120.51
2025/08/01,116.19,113.1,113.1,109.42,111.26,113.1,113.1,119.33,119.15,119.04,118.97,120.34,120.34,120.34,126.65,129.98,124.89,125.41,124.76,124.76,121.6,117,116.94,116.92,129.98,109.42,119.59
2025/07/31,117.02,115.16,92.82,92.82,92.82,92.78,121.05,120.54,119.86,122.42,126.92,126.92,121.92,128.14,128.14,131.7,130.93,130.25,130.25,128.07,128.06,119.77,119.86,119.97,131.7,92.78,120.54
2025/07/30,132.02,113,114.86,109.28,109.28,111.14,121.18,120.66,119.39,125.4,128.22,130.06,127.34,128.47,133.95,133.95,133.94,133.89,128.82,128.97,125.99,122.59,121.08,119.1,133.95,109.28,124.73
