day,v_balance,v_reserve_only,v_peak_only,v_both,d_reserve,d_peak,d_joint,interaction
1,2103.191,2289.568,1974.173,2165.693,191.51999999999998,-123.87479294870127,62.50215607689688,-5.143050974401831
2,2018.63,2195.663,1910.285,2098.839,188.55361335594785,-96.82476217550402,80.20845526817902,-11.520395912264803
3,1823.207,2011.321,1688.578,1880.063,191.48469509163942,-131.25747134246126,56.85576393210113,-3.3714598170770387
4,2106.375,2293.701,1973.747,2163.494,189.74648503314688,-130.2074486358324,57.11873585829471,-2.420300539019763
5,2063.008,2246.146,1934.766,2125.801,191.0351086993369,-120.34543327345182,62.79253186669848,-7.897143559186588
6,2316.538,2493.979,2203.076,2392.13,189.0548011983792,-101.84863990106578,75.59204378172262,-11.614117515590806
7,2191.705,2368.739,2096.811,2285.653,188.84291028436382,-83.08522917600112,93.94798826768283,-11.809692840679872
8,2286.665,2464.267,2193.22,2383.042,189.82205654870177,-81.2250700843274,96.3768824889521,-12.220103975422262
9,2349.66,2527.182,2248.405,2437.923,189.5178151126902,-89.25951116063152,88.26303361672308,-11.99527033533559
10,1781.205,1972.725,1629.224,1820.744,191.51999999999998,-151.98088503991107,39.53911496008891,0.0
11,1696.534,1886.452,1554.343,1742.746,188.40245106342536,-143.70599620229132,46.21211038981846,1.5156555286844196
12,1755.57,1945.875,1617.43,1808.695,191.26524289403324,-137.17977694143224,53.12493421381146,-0.9605317387895411
13,2057.707,2236.6,1934.451,2123.089,188.6378684234769,-113.51158306501975,65.38187335741986,-9.74441200103729
14,1830.054,2021.482,1684.695,1876.123,191.4280681512589,-145.35951954373036,46.0685486075281,-4.547473508864641e-13
15,2260.681,2439.113,2168.158,2359.678,191.51999999999998,-79.43544232838076,98.99702244897435,-13.087535222644874
16,2018.353,2195.165,1903.367,2091.879,188.51147600092713,-103.28667126383743,73.52513996597236,-11.699664771117341
17,1692.037,1883.312,1543.675,1734.949,191.2743659648802,-148.36273113606194,42.91163482881893,6.821210263296962e-13
18,1906.66,2093.648,1773.305,1963.363,190.05836315876763,-130.2849804667485,56.70258077029598,-3.0708019217231595
19,1951.653,2128.856,1846.457,2035.216,188.75944031241875,-93.63975322348756,83.56317640897487,-11.556510679956318
20,2095.102,2280.622,1963.641,2154.763,191.12212890756246,-125.85824565601251,59.66131200828613,-5.60257124326381
21,1935.308,2124.818,1796.99,1984.627,187.6362788426643,-140.19161148934904,49.318129851942786,1.8734624986275321
22,2177.621,2355.956,2070.268,2261.641,191.37329189129014,-94.31549275084399,84.01975947742676,-13.03803966301939
23,2032.196,2223.442,1886.017,2076.902,190.88439422545866,-146.5409713836957,44.705838366304306,0.3624155245413476
24,1640.436,1826.285,1506.467,1695.92,189.4531081250807,-130.36564508401875,55.4836839499485,-3.603779091113438
25,1750.49,1942.01,1606.741,1798.107,191.3663770092205,-143.90311511636492,47.61688488363484,0.15362299077924035
26,1776.351,1967.464,1633.476,1824.589,191.1128499712172,-142.87553796478323,48.2373120064326,-1.3642420526593924e-12
27,2022.381,2210.468,1888.273,2077.053,188.78039834878336,-133.41517590866715,54.672569425555594,-0.6926530145606193
28,1150.863,1342.128,998.781,1190.047,191.26524289403278,-152.08106764595937,39.18417524807319,-2.2737367544323206e-13
29,2153.157,2338.834,2024.604,2216.107,191.50270064246456,-122.7274147253429,62.9494098486839,-5.825876068437765
30,2312.812,2490.408,2208.825,2398.02,189.19531158018572,-92.38852511192408,85.20747908405065,-11.599307384210988
31,2052.878,2234.521,1927.29,2115.935,188.6450293986113,-118.58554231835387,63.05679385430767,-7.00269322594977
