run,n_players,n_days,owen_eps_bound_mean,owen_eps_bound_med,owen_time_mean_s,rowgen_converged,rowgen_weak_eps_mean,rowgen_time_mean_s,r_sym_mean,reserve_rev_mean,pool_standalone_mean,pool_gain_mean,pool_gain_ratio_mean,mech_alone_mean,mech_gain_time_mean,mech_gain_dir_mean,mech_share_dir_mean,peak_mean,coincidence_mean,peak_netting_mean,schema_checks_ok
baseline_6p,6,31,0.26758,0.16256,23.4,34/34,-1.68e-14,2.5,0.1425,191.5,0.1425,0.0,1.0,0.0,0.0,0.1425,1.0,0.4531,0.442,0.5693,3/3
low_h2_margin_6p,6,31,0.42567,0.37252,18.9,31/31,-1.83e-14,3.2,,,,,,,,,,,,,
full_storage_6p,6,31,0.25921,0.14834,36.4,31/31,-1.84e-14,2.9,,,,,,,,,,,,,
community_size_350_6p,6,31,0.1876,0.17344,22.9,31/31,-1.38e-14,2.5,,,,,,,,,,,,,
community_size_1000_6p,6,31,0.30934,0.20859,19.1,31/31,-5.36e-15,3.4,,,,,,,,,,,,,
export_cap_020_6p,6,31,0.1338,0.09106,37.5,31/31,4.75e-15,2.7,,,,,,,,,,,,,
baseline_15p,15,31,0.06554,0.03257,54.8,22/31,7.33e-15,677.9,,,,,,,,,,,,,
baseline_30p,30,31,0.01974,0.01974,131.0,0/31,-2.20e-15,4570.4,,,,,,,,,,,,,
channel_balance_6p,6,3,0.22264,0.14503,15.3,,,,,,,,,,,,,,,,6/6
channel_reserve_6p,6,3,0.2719,0.33827,19.3,,,,0.1425,191.5,0.1425,0.0,1.0,0.0,0.0,0.1425,1.0,,,,5/6
channel_peak_6p,6,3,0.48598,0.51926,12.8,,,,,,,,,,,,,0.4531,0.443,0.5684,6/6
