run,day,n_players,mode,converged,c_N,v_N,time_s,n_coalitions,range_core,var_core,range_owen,var_owen,range_ratio,var_ratio,max_abs_diff,owen_in_core,owen_worst_excess
baseline_15p,1,15,variance,True,-6490.368722491731,2113.07375449985,198.91,57,525.4925625000478,250003.60532941966,546.9179554957219,283891.77720369573,1.0407720194815737,1.1355507326769267,25.841825304764825,True,-0.3637880667592981
baseline_15p,2,15,variance,True,-6310.296466455184,2072.8520452253297,404.03,61,420.1123470375212,167435.7998498607,445.53645562971093,191454.8371385625,1.0605174039074816,1.143452220554025,29.565184068135494,False,4.198606420097349
baseline_15p,3,15,variance,True,-5970.403695243936,1963.290655821062,171.51,54,386.7933783269594,157015.23416026562,403.3492794003823,180217.1732281151,1.0428029588950927,1.1477687129655663,18.474792350771793,True,-0.1059838636092536
baseline_15p,4,15,variance,True,-6519.808778995121,2135.9342135785264,185.7,56,507.33044319688474,229457.7447925765,524.0213230483809,264630.75516856567,1.032899424971071,1.1532875275479788,34.95401302721612,True,-1.6866218456043498
baseline_15p,5,15,variance,True,-6404.785177513868,2090.5379505131186,189.72,60,497.12090002851573,229800.84196579215,540.7996511888623,275928.1179723564,1.0878634375618508,1.2007271845132346,37.79160327365821,False,0.3249605652599712
baseline_15p,6,15,variance,True,-6889.551069514995,2230.060522549945,288.21,65,591.4763480195522,304519.91356200137,631.2191598358529,359758.8283126629,1.0671925630659147,1.18139672412397,39.160198932620915,True,-2.00009964261244
baseline_15p,7,15,variance,True,-6614.081891858795,2157.913305399342,302.43,58,509.48153378574284,230824.29750918155,570.8552894889125,302633.61756507575,1.120463160356622,1.3110994848929967,60.4936060108455,True,-1.147275508095845
baseline_15p,8,15,variance,True,-6769.954123846341,2169.738619010779,274.52,61,563.4995084323991,285602.88238722796,573.9832303461727,305831.20862049906,1.0186046691379347,1.0708267579941473,22.506153318568977,False,5.702095827921767
baseline_15p,9,15,variance,True,-6958.599065936596,2234.1233021156213,196.87,61,642.090558494142,359580.10406569496,648.1040841916179,378431.61422828137,1.0093655413834133,1.052426455049755,20.569411865945796,False,8.76729122765937
baseline_15p,10,15,variance,True,-6039.42827771631,2005.5787559190048,107.69,53,368.9405832946807,142786.13316571378,404.689525115442,168150.19486581304,1.0968962034523804,1.177636729406086,28.69528154812315,True,-5.131642256365922
baseline_15p,11,15,variance,True,-5860.217778926481,1963.930675469443,205.37,48,308.9621870106314,108560.25967751615,322.068699509498,126647.50500742072,1.042421089213793,1.1666101885131233,26.27414004530766,True,-0.006588638058019569
baseline_15p,12,15,variance,True,-5866.91359914853,1927.690690020253,190.02,58,377.09304573403875,151707.55272913427,384.2294950577868,171186.52692969327,1.0189249030298515,1.128398183545533,20.782439012224074,False,6.751909074846935
baseline_15p,13,15,variance,True,-6385.197021339603,2090.834065364612,448.75,60,450.27618854130014,186407.47465767464,489.0637559313556,235604.00308017974,1.0861417245173688,1.2639192903227263,46.11274285634585,False,2.3604682898649116
baseline_15p,14,15,variance,True,-6033.605806615243,1977.965787672923,148.85,56,415.25660162675655,176513.47971424108,429.6526115987104,195585.73948565245,1.034667744993235,1.1080498769968592,18.749111147271577,False,6.647886668106366
baseline_15p,15,15,variance,True,-6796.803681252186,2208.2139155428376,133.73,56,597.8760845693816,313077.9537002465,624.2387061614764,352937.27791099105,1.044093788449629,1.1273143756679445,23.37436461328548,True,-2.413099199867247
baseline_15p,16,15,variance,True,-6327.5643489319045,2091.0114153315862,252.17,59,432.125398276281,177781.5011342526,492.11486344718423,237748.98055958736,1.138824205682418,1.3373100071871369,59.38832167654118,True,-0.6011434943548011
baseline_15p,17,15,variance,True,-5833.501453764949,1939.5576379989034,212.85,56,357.33989083274156,141132.19117137752,385.67203538989776,169509.99226888973,1.0792862629781725,1.2010724899966507,24.379436459785666,False,0.5655884060988683
baseline_15p,18,15,variance,True,-6141.80483691753,2028.0891234375395,262.22,53,378.7339912561846,147583.2426342432,414.64399237910885,187859.729354717,1.0948158917656639,1.2729069100364694,37.037425607845904,True,-3.538913479470466
baseline_15p,19,15,variance,True,-6145.360566511391,2015.626477357243,213.07,58,438.91481112725296,190296.92930229768,462.7356599683616,216646.0816613244,1.0542721462962943,1.1384633606839214,22.764799483817114,False,0.2280324640487379
baseline_15p,20,15,variance,True,-6449.020039989808,2112.910770945068,250.53,57,511.65370029009864,241487.31724275177,544.7376080642628,282570.9069349686,1.0646607417388092,1.1701273183258651,32.32603170460493,False,2.0399888054616895
baseline_15p,21,15,variance,True,-6219.370311802139,2037.4525474461316,188.36,54,445.89356515868644,196137.53348148603,451.77603245200277,212421.80602974546,1.0131925368584829,1.083024764608843,19.510880500223152,False,4.274234740873908
baseline_15p,22,15,variance,True,-6615.268287307925,2142.903883561008,193.57,62,546.1659594484483,268415.7996125448,584.1490673892715,316898.56540023244,1.0695449932089887,1.1806256034766656,35.565466853166754,True,-0.02507399529349641
baseline_15p,23,15,variance,True,-6488.532697377443,2155.6161352265653,102.03,55,496.74709353514754,224521.76529781544,531.0336621000487,265649.48676276364,1.0690221825373905,1.1831792183283194,33.49456303312695,False,1.162446880065545
baseline_15p,24,15,variance,True,-5717.297162663366,1925.6174481260268,212.4,48,252.94158710517104,89463.14993320817,276.41989595399497,108074.35599830226,1.092821070340884,1.2080320900727162,28.466483238424303,True,-0.7774393107138167
baseline_15p,25,15,variance,True,-5887.251694007289,1932.5839523949953,252.77,57,372.68745330293547,151343.46312917004,380.802829599317,167289.18108343674,1.0217752871057482,1.1053611277591633,18.490180395073935,False,7.420539990444922
baseline_15p,26,15,variance,True,-5974.341567699776,1994.9173941802778,184.39,51,370.00114650964633,144350.09730404033,397.6633391145168,179194.00399050664,1.0747624510513492,1.241384712149349,37.31325473936289,False,3.4576602507722782
baseline_15p,27,15,variance,True,-6314.784834370633,2052.6278316399266,245.21,60,450.69243336036016,198705.47266819232,468.2082912098688,223871.69842317112,1.0388643264296906,1.1266508939942612,20.241019989835053,False,0.732249099526598
baseline_15p,28,15,variance,True,-5045.788436121124,1793.9959695578282,95.04,60,249.15678279446493,81049.67513577793,264.4473812732249,96533.39230781684,1.0613693847996646,1.19103984249289,16.61865256575544,False,0.9847707113267461
baseline_15p,29,15,variance,True,-6608.910294971673,2149.1559310830044,173.21,64,546.9887519713791,268112.39754024637,577.7413761221314,312339.1618365672,1.0562216755644758,1.1649560583623588,30.664889981770784,False,0.19225934111818788
baseline_15p,30,15,variance,True,-6872.936440755621,2207.935245558271,218.03,63,615.4070736228732,332985.69283478387,623.7703057251126,354297.85285201727,1.0135897562129168,1.0640032303964717,19.970536580188963,False,5.609001278309734
baseline_15p,31,15,variance,True,-6396.165949835812,2099.586810345748,287.75,58,484.4623308133,216022.0340762634,496.11380107999463,234902.32111567026,1.0240503121205202,1.0873998206717257,31.31039702032973,False,8.559894556290601
