run,day,n_players,mode,converged,c_N,time_s,n_coalitions,range_core,var_core,range_owen,var_owen,range_ratio,var_ratio,max_abs_diff,owen_in_core,owen_worst_excess
baseline_15p,1,15,variance,True,-6490.368722491742,217.22,73,1776.6163376303466,3031591.322054604,1797.9326188670454,3102787.23319137,1.0119982467712363,1.02348466649143,20.85120062279202,True,-0.4650806132794969
baseline_15p,2,15,variance,True,-6310.296466455182,556.0,72,1596.313036934603,2497720.648416834,1622.4614760199322,2575534.0014963634,1.0163805209130798,1.0311537453673416,26.13761990451576,False,4.198606484270385
baseline_15p,3,15,variance,True,-5970.403695304421,246.0,70,1429.710415243061,1995493.441984214,1449.2920491895072,2038993.0853126787,1.013696223890988,1.021798940759841,18.094739982896044,False,0.5201769417381001
baseline_15p,4,15,variance,True,-6519.808778995119,201.51,64,1744.182815147131,2947874.9997590138,1770.3835526210564,3025823.9669289263,1.01502178398181,1.026442426214234,22.895906418827735,True,-1.6866218031846074
baseline_15p,5,15,variance,True,-6404.785177453455,249.3,71,1704.8750589797446,2800106.983144709,1753.9292812208478,2949184.7235630807,1.0287729132892933,1.0532400159407294,37.87319447870436,False,0.3279801900116581
baseline_15p,6,15,variance,True,-6889.551069515004,325.93,73,1983.538566541387,3833371.3702213233,2026.9469915965167,3969169.7280168366,1.0218843363004628,1.0354253070418462,39.16019895517002,True,-2.000099685033092
baseline_15p,7,15,variance,True,-6614.08189186006,368.4,74,1793.8965249297307,3148812.9669536524,1861.9313985945882,3338485.240881231,1.0379257514128484,1.0602361194260066,60.493606023178245,True,-1.147275508099483
baseline_15p,8,15,variance,True,-6769.954123846326,345.01,76,1943.54641229875,3641447.879391575,1947.309699484405,3662915.8574344176,1.001936299108599,1.0058954511375375,9.465383013584415,False,5.702095827922676
baseline_15p,9,15,variance,True,-6958.599065936601,254.15,74,2077.162460200854,4157069.8716699136,2077.3794062569877,4171357.221133302,1.0001044434704989,1.0034368797986186,8.234954871273544,False,8.767291227667556
baseline_15p,10,15,variance,True,-6039.428277716277,195.24,71,1439.6519704324533,2033622.994823629,1478.298518863661,2143558.857180622,1.0268443687953268,1.0540591164816797,31.59288815994273,True,-5.699807710204368
baseline_15p,11,15,variance,True,-5860.21777892648,441.67,67,1282.9995239156437,1666900.5795372587,1308.2202236899595,1719791.9093397576,1.0196576064949296,1.0317303445999053,20.69296924625951,False,0.5502138643232684
baseline_15p,12,15,variance,True,-5866.9135991493395,213.7,63,1376.4979086486287,1847427.7555272924,1389.1891293739711,1883610.7666417887,1.009219934622205,1.019585616274434,11.520349445018041,False,3.598040886776289
baseline_15p,13,15,variance,True,-6385.197021339606,383.76,73,1652.8269099988775,2675731.3366354113,1691.7223864482996,2768478.0632440853,1.0235326979577364,1.034662196962307,39.04619794380346,False,1.1694662524669184
baseline_15p,14,15,variance,True,-6033.605806614316,211.52,66,1485.414514840466,2133824.748665097,1501.2650847027926,2179940.445157381,1.0106708058282499,1.0216117544428769,12.672279573413789,False,6.647886668101819
baseline_15p,15,15,variance,True,-6796.803681254044,194.73,79,1955.7342740775248,3687263.751450666,1987.4890226675438,3793910.926333354,1.016236739832663,1.0289231207940386,23.374364754016142,False,0.2827498761057541
baseline_15p,16,15,variance,True,-6327.564348932816,422.78,77,1590.0244434191654,2491921.1999499467,1659.4736035440062,2661613.5455815927,1.0436780455874617,1.0680969950554835,61.68076025533014,True,-7.7043623007321
baseline_15p,17,15,variance,True,-5833.501453766288,352.71,71,1340.0152257920672,1757670.4674826392,1370.5719148643932,1833973.173663632,1.0228032402051732,1.0434112694003868,24.379436521556727,False,1.157932417905613
baseline_15p,18,15,variance,True,-6141.804836917543,316.11,65,1473.1554631346933,2147183.1756928456,1518.3158459140489,2245838.783709045,1.0306555444482823,1.0459465261897676,38.66737595945506,True,-3.5389134370707325
baseline_15p,19,15,variance,True,-6145.360566575302,316.22,72,1557.139315845492,2343655.4494890785,1581.2588915359222,2406678.1757642007,1.0154896709915346,1.0268907813598886,22.764799667967054,False,0.22803247059800924
baseline_15p,20,15,variance,True,-6449.020039989853,318.94,72,1734.8266177020878,2909247.4284436884,1769.5954315469903,3009778.4229678423,1.0200416649653188,1.0345556701507281,32.32603170470952,True,-0.03275943433618522
baseline_15p,21,15,variance,True,-6219.370311802138,365.03,78,1586.060102770998,2431068.9870019965,1586.5035746583223,2440546.9825708317,1.0002796059787076,1.0038986946152126,9.196249594955589,False,8.146206473377788
baseline_15p,22,15,variance,True,-6615.268287293781,245.1,76,1839.076712179332,3257436.889418623,1884.8409187462867,3409306.54581926,1.0248843380289034,1.046622440144264,35.56546682591875,True,-3.3590882297553435
baseline_15p,23,15,variance,True,-6488.532697379655,137.82,70,1725.0275818714417,2875445.5740431747,1766.2874695783335,3002465.9108976778,1.0239183930393332,1.0441741405231675,33.494563037477064,True,-1.6546330081173437
baseline_15p,24,15,variance,True,-5717.297162663377,316.64,63,1188.3719945910857,1448605.0027397007,1211.5099574150022,1499360.258623707,1.01947030301053,1.0350373330121148,22.360523513202907,True,-0.7774393107147262
baseline_15p,25,15,variance,True,-5887.2516939500365,420.24,71,1390.142808219324,1878282.8479494187,1401.4004496598022,1914353.9695162822,1.0080981906131634,1.0192043075973587,11.912506667387106,False,4.197261591356437
baseline_15p,26,15,variance,True,-5974.341567699685,284.67,68,1391.9936238811233,1926882.442552461,1425.7585156107032,1987440.462550041,1.0242564988447558,1.0314279785109055,31.287079165576188,False,4.195026636518378
baseline_15p,27,15,variance,True,-6314.784834370634,422.48,72,1631.7245247961073,2580494.414592919,1648.3294191429395,2630222.042358525,1.0101762853315617,1.0192705814375695,16.928286043694925,False,0.4431179086905104
baseline_15p,28,15,variance,True,-5045.788436129496,100.37,63,806.4330587967575,800617.085476743,815.5558481796074,812880.9697641698,1.011312519102902,1.0153180396845065,10.055609260075698,False,1.2541908675175364
baseline_15p,29,15,variance,True,-6608.9102949738835,186.89,72,1829.4787580604861,3226753.759508032,1869.5164470833347,3358376.0415322357,1.0218847520619996,1.0407909285412196,30.664889986202752,True,-1.6937081548303468
baseline_15p,30,15,variance,True,-6872.936440755617,279.19,76,2016.986258224465,3917460.4692500876,2019.9501114158722,3942215.185469637,1.0014694463977243,1.0063190723719768,8.926104254456192,False,6.459772194541074
baseline_15p,31,15,variance,True,-6396.165949835821,379.56,74,1690.9776436904008,2774429.057462956,1698.3997401195725,2799067.706659634,1.0043892339185359,1.0088806196469153,12.461240574659342,False,4.453557568245287
