run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks
baseline_15p,1,15,700,3.3333333333333335,1.5,56.0,150.0,-5218.548887040432,-5222.285548759679,-3.736661719246513,0.24911078128310085,2.71,48.67,0.49875,670.32,0.49875,0.0,1.0,0.0,0.2836977703961025,0.49875,0.2836977703961025,0.21505222960389753,0.4311824152459098,16,12,1.1368683772161603e-12,dinkelbach,-0.0,True,0.24911078128310085,True,0.24911078128310085,2,25.65,0.9033884561784518,135.50826842676776,2.988742926941213,0.30226368686148997,2.085354470762761,ok
baseline_15p,2,15,700,3.3333333333333335,1.5,56.0,150.0,-5106.308051720365,-5109.7717360479855,-3.4636843276202853,0.230912288508019,4.08,56.93,0.49875,670.32,0.49875,0.0,1.0,0.0,0.11006507631973739,0.49875,0.11006507631973739,0.38868492368026264,0.7793181427173186,20,20,0.6741715400618205,dinkelbach,-1.3130829756846651e-11,True,0.23091228850145318,True,0.230912288508019,2,24.82,0.883818116392966,132.5727174589449,2.699908840403214,0.32735109540252977,1.8160907240102477,ok
baseline_15p,3,15,700,3.3333333333333335,1.5,56.0,150.0,-4747.395707866088,-4749.689231594226,-2.293523728138098,0.1529015818758732,5.8,39.01,0.49875,670.32,0.49875,0.0,1.0,0.0,0.10172335585776165,0.49875,0.10172335585776165,0.39702664414223837,0.7960433967764178,21,19,-1.1368683772161603e-13,dinkelbach,-0.0,True,0.1529015818758732,True,0.1529015818758732,2,30.93,1.3237609345576389,198.56414018364583,2.9828177452384175,0.4437954469966553,1.6590568106807786,ok
baseline_15p,4,15,700,3.3333333333333335,1.5,56.0,150.0,-5219.413601674734,-5222.973623689254,-3.5600220145197454,0.23733480096798304,2.46,46.14,0.49875,670.32,0.49875,0.0,1.0,0.0,0.16216463414634147,0.49875,0.16216463414634147,0.33658536585365856,0.6748578763983129,20,13,1.5995738067431375e-10,dinkelbach,7.531752999057062e-12,True,0.23733480097174892,True,0.23733480096798304,2,26.63,0.9222887771059666,138.34331656589498,3.121751973946844,0.29543947911400315,2.199463196840877,ok
baseline_15p,5,15,700,3.3333333333333335,1.5,56.0,150.0,-5140.385330091094,-5143.667436162243,-3.282106071148519,0.21880707140990124,2.7,45.84,0.49875,670.32,0.49875,0.0,1.0,0.06896301284481066,0.25614114993225484,0.49875,0.18717813708744419,0.24260885006774519,0.5644862625404312,20,15,4.547473508864641e-13,dinkelbach,-0.0,True,0.21880707140990124,True,0.21880707140990124,2,25.16,0.8760894644433193,131.4134196664979,2.987120453744797,0.2932889644088546,2.1110309893014776,ok
baseline_15p,6,15,700,3.3333333333333335,1.5,56.0,150.0,-5609.795531138184,-5613.689532812359,-3.8940016741753425,0.2596001116116895,3.84,162.66,0.49875,670.32,0.49875,0.0,1.0,0.0,0.16216463414634147,0.49875,0.16216463414634147,0.33658536585365856,0.6748578763983129,18,16,0.05998857511508504,dinkelbach,-0.0,True,0.2596001116116895,True,0.2596001116116895,2,36.72,0.7170006377475303,107.55009566212955,3.0324463615938586,0.2364429745001899,2.315445723846328,ok
baseline_15p,7,15,700,3.3333333333333335,1.5,56.0,150.0,-5381.882965000135,-5385.6830060854345,-3.800041085299199,0.25333607235327993,3.03,43.75,0.49875,670.32,0.49875,0.0,1.0,0.0,0.16216463414634147,0.49875,0.16216463414634147,0.33658536585365856,0.6748578763983129,20,17,1.1368683772161603e-13,dinkelbach,-0.0,True,0.25333607235327993,True,0.25333607235327993,2,21.45,0.5853258048462285,87.79887072693428,2.9900046786751844,0.1957608324230367,2.404678873828956,ok
baseline_15p,8,15,700,3.3333333333333335,1.5,56.0,150.0,-5576.5731476287765,-5579.924947690663,-3.3518000618869337,0.2234533374591289,3.46,57.34,0.49875,670.32,0.49875,0.0,1.0,0.0,0.20437860048129902,0.49875,0.20437860048129902,0.294371399518701,0.5902183448996511,20,19,7.412381819449365e-11,dinkelbach,-0.0,True,0.2234533374591289,True,0.2234533374591289,2,32.26,0.6895647006536552,103.43470509804827,2.949813342209451,0.23376553722452204,2.260248641555796,ok
baseline_15p,9,15,700,3.3333333333333335,1.5,56.0,150.0,-5692.154426450506,-5695.69324850017,-3.538822049663395,0.23592146997755967,4.71,43.47,0.49875,670.32,0.49875,0.0,1.0,0.0,0.25563326299503164,0.49875,0.25563326299503164,0.2431167370049684,0.4874521042706133,22,19,1.5120349416974932e-11,dinkelbach,-0.0,True,0.23592146997755967,True,0.23592146997755967,2,33.82,0.6361037080744607,95.4155562111691,2.565163980360608,0.24797779516030705,1.9290602722861472,ok
baseline_15p,10,15,700,3.3333333333333335,1.5,56.0,150.0,-4705.104081271789,-4709.219631086167,-4.115549814378028,0.27436998762520187,3.08,45.53,0.49875,670.32,0.49875,0.0,1.0,0.0,0.237676241754773,0.49875,0.237676241754773,0.26107375824522705,0.5234561568826607,19,14,1.1368683772161603e-12,dinkelbach,-0.0,True,0.27436998762520187,True,0.27436998762520187,2,24.54,1.7231669574878814,258.4750436231822,3.083009162461767,0.5589237224685838,1.3598422049738854,ok
