run,day,n_players,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
baseline_15p,1,15,True,False,6.821210263296962e-13,4.5474735088646414e-14,499.82,168
baseline_15p,2,15,False,True,-2.2737367544323206e-13,-1.5158245029548804e-14,922.33,153
baseline_15p,3,15,True,False,9.094947017729282e-13,6.063298011819522e-14,401.75,142
baseline_15p,4,15,False,True,0.0,0.0,924.29,275
baseline_15p,5,15,True,False,-6.821210263296962e-13,-4.5474735088646414e-14,559.2,187
baseline_15p,6,15,True,False,0.0,0.0,692.07,167
baseline_15p,7,15,True,False,6.821210263296962e-13,4.5474735088646414e-14,583.9,179
baseline_15p,8,15,True,False,-4.547473508864641e-13,-3.031649005909761e-14,765.68,214
baseline_15p,9,15,False,True,-5.684341886080801e-13,-3.789561257387201e-14,906.02,124
baseline_15p,10,15,True,False,5.684341886080802e-14,3.789561257387201e-15,619.66,176
baseline_15p,11,15,True,False,1.1368683772161603e-13,7.579122514774402e-15,504.48,183
baseline_15p,12,15,True,False,0.0,0.0,306.74,122
baseline_15p,13,15,False,True,-4.547473508864641e-13,-3.031649005909761e-14,922.41,129
baseline_15p,14,15,True,False,2.2737367544323206e-13,1.5158245029548804e-14,709.97,266
baseline_15p,15,15,True,False,-2.2737367544323206e-13,-1.5158245029548804e-14,473.53,157
baseline_15p,16,15,True,False,-5.684341886080801e-13,-3.789561257387201e-14,467.29,158
baseline_15p,17,15,True,False,4.547473508864641e-13,3.031649005909761e-14,764.61,248
baseline_15p,18,15,True,False,6.821210263296962e-13,4.5474735088646414e-14,497.76,153
baseline_15p,19,15,True,False,1.2505552149377763e-12,8.337034766251842e-14,516.11,201
baseline_15p,20,15,True,False,9.663381206337363e-13,6.442254137558242e-14,602.86,232
baseline_15p,21,15,False,True,6.821210263296962e-13,4.5474735088646414e-14,905.15,305
baseline_15p,22,15,False,True,-2.2737367544323206e-13,-1.5158245029548804e-14,902.19,118
baseline_15p,23,15,False,True,1.7053025658242404e-13,1.1368683772161604e-14,923.94,285
baseline_15p,24,15,True,False,-5.684341886080801e-13,-3.789561257387201e-14,749.64,242
baseline_15p,25,15,False,True,8.526512829121202e-13,5.684341886080802e-14,917.27,222
baseline_15p,26,15,True,False,-3.410605131648481e-13,-2.2737367544323207e-14,774.86,280
baseline_15p,27,15,True,False,2.2737367544323206e-13,1.5158245029548804e-14,506.58,191
baseline_15p,28,15,False,True,-1.1368683772161603e-13,-7.579122514774402e-15,913.17,177
baseline_15p,29,15,True,False,-3.410605131648481e-13,-2.2737367544323207e-14,735.44,263
baseline_15p,30,15,True,False,7.958078640513122e-13,5.3053857603420815e-14,503.08,125
baseline_15p,31,15,True,False,-5.684341886080801e-13,-3.789561257387201e-14,542.87,164
