run,day,n_players,num_households,base_h2_price_eur,import_factor,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
baseline_15p,1,15,700,3.333333333333333,1.5,-4884.986502130973,-4885.448191972087,-0.4616898411140937,0.0307793227409395,3.1,44.64,True,False,6.821210263296962e-13,4.5474735088646414e-14,499.82,168
baseline_15p,2,15,700,3.333333333333333,1.5,-4737.2976258597855,-4737.786171826579,-0.4885459667939358,0.0325697311195957,3.87,61.09,False,True,-2.273736754432321e-13,-1.5158245029548804e-14,922.33,153
baseline_15p,3,15,700,3.333333333333333,1.5,-4423.547746205008,-4424.036292171809,-0.4885459668012117,0.0325697311200807,2.14,45.75,True,False,9.094947017729282e-13,6.063298011819523e-14,401.75,142
baseline_15p,4,15,700,3.333333333333333,1.5,-4890.905849296713,-4891.394395263517,-0.4885459668039402,0.0325697311202626,3.06,43.14,False,True,0.0,0.0,924.29,275
baseline_15p,5,15,700,3.333333333333333,1.5,-4799.819992759438,-4800.281682600545,-0.4616898411068177,0.0307793227404545,2.44,45.32,True,False,-6.821210263296962e-13,-4.5474735088646414e-14,559.2,187
baseline_15p,6,15,700,3.333333333333333,1.5,-5244.963909282054,-5245.453808747697,-0.4898994656423383,0.0326599643761558,3.1,59.35,True,False,0.0,0.0,692.07,167
baseline_15p,7,15,700,3.333333333333333,1.5,-4989.190014360011,-4989.678560326811,-0.4885459667993928,0.0325697311199595,3.31,53.56,True,False,6.821210263296962e-13,4.5474735088646414e-14,583.9,179
baseline_15p,8,15,700,3.333333333333333,1.5,-5187.34413633231,-5187.805826173418,-0.4616898411077272,0.0307793227405151,3.11,47.75,True,False,-4.547473508864641e-13,-3.0316490059097614e-14,765.68,214
baseline_15p,9,15,700,3.333333333333333,1.5,-5311.519733619258,-5311.981423460364,-0.4616898411059082,0.0307793227403938,3.2,43.08,False,True,-5.684341886080801e-13,-3.7895612573872014e-14,906.02,124
baseline_15p,10,15,700,3.333333333333333,1.5,-4446.966998853266,-4452.013967748801,-5.046968895535429,0.3364645930356952,2.51,66.69,True,False,5.684341886080803e-14,3.789561257387201e-15,619.66,176
baseline_15p,11,15,700,3.333333333333333,1.5,-4300.378643789161,-4300.867189755957,-0.4885459667957548,0.0325697311197169,3.57,40.81,True,False,1.1368683772161605e-13,7.579122514774402e-15,504.48,183
baseline_15p,12,15,700,3.333333333333333,1.5,-4330.986017293116,-4331.47591675876,-0.4898994656441573,0.0326599643762771,3.17,41.85,True,False,0.0,0.0,306.74,122
baseline_15p,13,15,700,3.333333333333333,1.5,-4802.591085584499,-4803.079631551295,-0.4885459667966643,0.0325697311197776,3.28,50.67,False,True,-4.547473508864641e-13,-3.0316490059097614e-14,922.41,129
baseline_15p,14,15,700,3.333333333333333,1.5,-4479.747791758542,-4480.209481599652,-0.4616898411095462,0.0307793227406364,3.8,44.13,True,False,2.273736754432321e-13,1.5158245029548804e-14,709.97,266
baseline_15p,15,15,700,3.333333333333333,1.5,-5139.1024036885865,-5139.582098942585,-0.4796952539982158,0.031979683599881,3.56,39.86,True,False,-2.273736754432321e-13,-1.5158245029548804e-14,473.53,157
baseline_15p,16,15,700,3.333333333333333,1.5,-4717.415954117973,-4717.904500084775,-0.4885459668012117,0.0325697311200807,3.37,66.17,True,False,-5.684341886080801e-13,-3.7895612573872014e-14,467.29,158
baseline_15p,17,15,700,3.333333333333333,1.5,-4265.21005340474,-4268.462152378167,-3.252098973426655,0.2168065982284436,2.57,59.89,True,False,4.547473508864641e-13,3.0316490059097614e-14,764.61,248
baseline_15p,18,15,700,3.333333333333333,1.5,-4574.35199586594,-4574.84054183274,-0.4885459668003022,0.0325697311200201,2.57,64.13,True,False,6.821210263296962e-13,4.5474735088646414e-14,497.76,153
baseline_15p,19,15,700,3.333333333333333,1.5,-4588.232645396629,-4588.721191363417,-0.4885459667884788,0.0325697311192319,2.73,38.87,True,False,1.2505552149377765e-12,8.337034766251843e-14,516.11,201
baseline_15p,20,15,700,3.333333333333333,1.5,-4828.477740529972,-4828.96628649677,-0.4885459667984833,0.0325697311198988,3.64,43.87,True,False,9.663381206337365e-13,6.442254137558243e-14,602.86,232
baseline_15p,21,15,700,3.333333333333333,1.5,-4646.081068821298,-4646.569614788099,-0.4885459668012117,0.0325697311200807,3.66,69.7,False,True,6.821210263296962e-13,4.5474735088646414e-14,905.15,305
baseline_15p,22,15,700,3.333333333333333,1.5,-4997.924832504767,-4998.388247391821,-0.4634148870545687,0.0308943258036379,3.45,49.68,False,True,-2.273736754432321e-13,-1.5158245029548804e-14,902.19,118
baseline_15p,23,15,700,3.333333333333333,1.5,-4831.051247612749,-4834.179667443252,-3.128419830502935,0.208561322033529,3.84,87.11,False,True,1.7053025658242404e-13,1.1368683772161604e-14,923.94,285
baseline_15p,24,15,700,3.333333333333333,1.5,-4184.883617868862,-4185.372163835658,-0.4885459667966643,0.0325697311197776,2.43,54.88,True,False,-5.684341886080801e-13,-3.7895612573872014e-14,749.64,242
baseline_15p,25,15,700,3.333333333333333,1.5,-4364.557774398472,-4365.019464239577,-0.4616898411049988,0.0307793227403332,3.27,47.72,False,True,8.526512829121202e-13,5.684341886080803e-14,917.27,222
baseline_15p,26,15,700,3.333333333333333,1.5,-4386.654069128213,-4387.142615095008,-0.4885459667948453,0.0325697311196563,3.45,52.3,True,False,-3.410605131648481e-13,-2.2737367544323207e-14,774.86,280
baseline_15p,27,15,700,3.333333333333333,1.5,-4749.86687807776,-4750.3554240445565,-0.4885459667966643,0.0325697311197776,5.42,46.46,True,False,2.273736754432321e-13,1.5158245029548804e-14,506.58,191
baseline_15p,28,15,700,3.333333333333333,1.5,-3472.7525398361454,-3478.855869880423,-6.1033300442777545,0.4068886696185169,3.35,46.01,False,True,-1.1368683772161605e-13,-7.579122514774402e-15,913.17,177
baseline_15p,29,15,700,3.333333333333333,1.5,-4978.942158317155,-4979.403848158268,-0.4616898411131842,0.0307793227408789,3.12,36.74,True,False,-3.410605131648481e-13,-2.2737367544323207e-14,735.44,263
baseline_15p,30,15,700,3.333333333333333,1.5,-5238.232585401489,-5238.694275242601,-0.4616898411122747,0.0307793227408183,4.13,42.6,True,False,7.958078640513122e-13,5.3053857603420815e-14,503.08,125
baseline_15p,31,15,700,3.333333333333333,1.5,-4806.861426941481,-4807.349972908278,-0.4885459667966643,0.0325697311197776,2.53,63.82,True,False,-5.684341886080801e-13,-3.7895612573872014e-14,542.87,164
