run,day,n_players,mode,converged,c_N,time_s,n_coalitions,range_core,var_core,range_owen,var_owen,range_ratio,var_ratio,max_abs_diff,owen_in_core,owen_worst_excess
baseline_6p,1,6,variance,True,-2717.0004768573976,8.58,19,1436.0916100576032,1359653.5793510112,1824.1856668155988,2293902.4400184606,1.2702432449573524,1.6871227162976208,301.87370878881416,True,-5.539495312752479
baseline_6p,2,6,variance,True,-2563.247874699199,11.45,12,1344.7500996430476,1155630.3652432982,1652.3708422230939,1865719.3734839875,1.2287568096568289,1.6144603236443966,245.5461196684205,True,-29.598828221715685
baseline_6p,3,6,variance,True,-2373.870360971229,7.99,14,1202.0412272377039,901732.8055614011,1527.0638343490555,1548752.4433743486,1.2703922292734127,1.7175292213197522,245.89456910603053,True,-8.48750094244862
baseline_6p,4,6,variance,True,-2725.3550934120217,6.87,15,1504.5840452976163,1459603.1775131447,1812.018515399604,2267844.009158903,1.204331869039044,1.5537401151885881,260.2410697645894,True,-8.267260157294459
baseline_6p,5,6,variance,True,-2669.276032880513,6.22,15,1426.340178483453,1324619.1785916383,1773.944325366865,2160832.863779738,1.2437035372957101,1.6312861075114276,274.774435143705,True,-4.781394480214658
baseline_6p,6,6,variance,True,-2971.962638923439,6.88,15,1506.8248267722647,1555584.3458827047,2034.0570545229882,2913197.2614802555,1.3498961646922794,1.8727350073886115,412.5061656032601,True,-11.30447423747546
baseline_6p,7,6,variance,True,-2776.6106053663807,12.56,18,1457.6163254098465,1408515.6454436388,1874.28030421527,2429913.680077666,1.2858529858248313,1.7251591687590508,323.0201180574147,True,-20.903799876765788
baseline_6p,8,6,variance,True,-2897.206579397687,7.86,17,1501.0048957668428,1533262.7472699198,1942.2364621100285,2649200.346094213,1.2939574464997108,1.7278188952358602,342.2773291719334,True,-7.8193186323496775
baseline_6p,9,6,variance,True,-3034.899944914067,5.77,15,1476.023464489866,1536673.2191507441,2109.740750334973,3134864.7037893063,1.4293409292542165,2.040033407702528,479.9556070806161,True,-2.2940221353633206
baseline_6p,10,6,variance,True,-2389.516790668878,4.13,13,1200.8137852829745,896984.278997076,1495.5730683232703,1504979.143493161,1.2454662718340088,1.6778210931142385,236.49908590950554,True,-27.44564879616022
baseline_6p,11,6,variance,True,-2263.1880790030013,12.11,15,1159.7867115330764,821808.02949258,1344.1767349544411,1217488.4730446865,1.1589861494253775,1.4814755141738112,164.87567924978265,True,-34.895241037415474
baseline_6p,12,6,variance,True,-2320.899555952537,6.29,13,1179.9305862249284,856428.6980332547,1468.3023396204046,1425640.826903406,1.244397218583928,1.6646345809958474,221.41968122754338,True,-9.235141050544264
baseline_6p,13,6,variance,True,-2618.658350120734,11.48,13,1409.8715276485968,1275890.9343491113,1692.4764129730079,1968304.4250917947,1.2004472604647485,1.5426901877752697,230.6033483397921,True,-10.22553788986761
baseline_6p,14,6,variance,True,-2428.098101584771,5.54,13,1270.4731366854846,1017124.7923675078,1531.8591569344317,1585394.3973021861,1.205739116161773,1.5587019500448387,205.2934973659951,True,-28.9183147434291
baseline_6p,15,6,variance,True,-2910.6385231142676,4.59,15,1488.248552126066,1503045.4581022777,2022.9045031125554,2846356.051881453,1.3592517864188052,1.8937258594129407,413.0239129910674,True,-8.024381633197663
baseline_6p,16,6,variance,True,-2582.987848289639,13.3,15,1342.364489140356,1161630.0656720025,1684.5824401260238,1931959.2800066948,1.2549366835566564,1.6631450382519646,268.11360652620556,True,-6.576834785862275
baseline_6p,17,6,variance,True,-2276.586168973537,7.28,14,1147.386132280857,806859.5911996949,1407.312591904841,1316756.2380553256,1.226537912836094,1.6319521418806968,202.50437607089157,True,-19.839909934503154
baseline_6p,18,6,variance,True,-2461.0658868620717,10.17,13,1336.3167097199153,1113765.0407552854,1546.3314508157434,1625920.7052571934,1.1571594065749924,1.4598417491669484,180.98844793935064,True,-29.026293156478005
baseline_6p,19,6,variance,True,-2488.6045282717473,11.81,13,1317.1952706128673,1095205.9339038127,1601.2402743683074,1742997.0875567524,1.2156438077881035,1.5914788567150262,231.38229153708926,True,-28.87947829879566
baseline_6p,20,6,variance,True,-2677.820236326871,9.96,15,1418.6402083922587,1309858.2622478807,1799.0356196570217,2218441.548425256,1.2681408640573244,1.6936500783055202,299.59403374819544,True,-11.450397269714813
baseline_6p,21,6,variance,True,-2544.9064333510228,4.88,15,1416.573986713194,1267678.384021462,1619.5645297435544,1798204.4708059153,1.14329681678071,1.4185021165238008,179.06751886302368,True,-6.0645656496128595
baseline_6p,22,6,variance,True,-2808.4975808105155,5.57,17,1464.6935641710638,1429648.62893937,1912.1428435226899,2533246.9149134117,1.3054900289705702,1.7719367288120167,349.6692324656308,True,-6.952785582789147
baseline_6p,23,6,variance,True,-2662.851670894142,4.16,14,1383.2824499706524,1251629.546644187,1760.5709395919973,2128123.7795731192,1.2727486997535098,1.7002824719813856,293.79684426124845,True,-4.846730011860927
baseline_6p,24,6,variance,True,-2161.5672353108957,16.7,13,1020.759521940633,625527.2864927397,1256.1238220518503,1054125.6868232894,1.2305776189711664,1.6851793831947,181.35603280320697,True,-27.319045793669403
baseline_6p,25,6,variance,True,-2317.5314086795156,14.02,14,1134.2461847036552,797188.6844466885,1474.829399962235,1439526.4494258203,1.3002727448870053,1.8057537412550764,256.58247889877885,True,-8.242748739108862
baseline_6p,26,6,variance,True,-2357.1221509461525,9.06,15,1289.5265777936966,1030330.9993598257,1466.9937843825476,1444661.9969852283,1.1376219844126725,1.4021338753107868,156.312692963173,True,-25.783459258225655
baseline_6p,27,6,variance,True,-2605.362193627318,4.99,15,1468.4854718052375,1371734.0677248938,1683.5445480378326,1949933.4354003172,1.146449577038184,1.4215098110338567,188.86509216456147,True,-4.048548920242183
baseline_6p,28,6,variance,True,-1714.6336624772478,1.86,12,777.5389708978662,330853.0941091242,885.6659329965189,536920.9941648843,1.1390630774092168,1.6228380623449554,217.48651234636577,True,-6.492108316938051
baseline_6p,29,6,variance,True,-2797.281353626955,6.49,17,1481.9835434042539,1452035.0457612888,1906.0803170452562,2509804.819766084,1.286168342103727,1.7284739972995735,334.72861527294344,True,-6.466430051942098
baseline_6p,30,6,variance,True,-2977.725016134355,6.1,16,1491.2797687656025,1536303.0120001521,2053.4057552861254,2959673.3977227947,1.3769420053125372,1.9264906562081918,432.3779592087765,True,-3.081626407351905
baseline_6p,31,6,variance,True,-2628.6712901814712,9.74,14,1444.2361559384203,1337379.624126548,1701.7051356800157,1993766.1593265166,1.1782734621917148,1.4908004603619256,213.9130761706308,True,-11.744906972401395
