run,day,n_players,c_N,sum_kappa,v_N,time_s
baseline_6p,1,6,-2717.0004768573976,-1556.1850204066857,1160.815456450712,0.52
baseline_6p,2,6,-2563.247874699199,-1490.1708768015912,1073.076997897608,0.12
baseline_6p,3,6,-2373.870360971229,-1351.004015067389,1022.8663459038398,0.12
baseline_6p,4,6,-2725.3550934120217,-1558.6314049128657,1166.723688499156,0.12
baseline_6p,5,6,-2669.276032880513,-1518.2491514243716,1151.0268814561414,0.12
baseline_6p,6,6,-2971.962638923439,-1711.9024481362724,1260.0601907871667,0.12
baseline_6p,7,6,-2776.6106053663807,-1601.9480789222114,1174.6625264441693,0.12
baseline_6p,8,6,-2897.206579397687,-1690.4193403022473,1206.7872390954399,0.12
baseline_6p,9,6,-3034.899944914067,-1745.449938440972,1289.450006473095,0.18
baseline_6p,10,6,-2389.516790668878,-1378.6702390264832,1010.8465516423948,0.12
baseline_6p,11,6,-2263.1880790030013,-1299.9393564035606,963.2487225994407,0.12
baseline_6p,12,6,-2320.899555952537,-1310.0208795944486,1010.8786763580883,0.12
baseline_6p,13,6,-2618.658350120734,-1519.5984631678994,1099.0598869528349,0.12
baseline_6p,14,6,-2428.098101584771,-1376.6737183823464,1051.4243832024247,0.12
baseline_6p,15,6,-2910.6385231142676,-1668.3115617843316,1242.326961329936,0.12
baseline_6p,16,6,-2582.987848289639,-1481.0217282720014,1101.9661200176374,0.12
baseline_6p,17,6,-2276.586168973537,-1289.9611247527596,986.6250442207775,0.12
baseline_6p,18,6,-2461.0658868620717,-1417.2009735992478,1043.8649132628238,0.12
baseline_6p,19,6,-2488.6045282717473,-1423.6437804951534,1064.960747776594,0.12
baseline_6p,20,6,-2677.820236326871,-1530.670247162573,1147.149989164298,0.12
baseline_6p,21,6,-2544.9064333510228,-1450.3504910036334,1094.5559423473894,0.12
baseline_6p,22,6,-2808.4975808105155,-1605.8622085567533,1202.6353722537622,0.12
baseline_6p,23,6,-2662.851670894142,-1540.315052756549,1122.536618137593,0.12
baseline_6p,24,6,-2161.5672353108957,-1245.2701664156843,916.2970688952114,0.12
baseline_6p,25,6,-2317.5314086795156,-1325.6588653387494,991.8725433407662,0.12
baseline_6p,26,6,-2357.1221509461525,-1334.8481527901922,1022.2739981559603,0.12
baseline_6p,27,6,-2605.362193627318,-1496.5092930057253,1108.8529006215927,0.12
baseline_6p,28,6,-1714.6336624772478,-936.9956575062046,777.6380049710432,0.12
baseline_6p,29,6,-2797.281353626955,-1597.8865280254765,1199.3948256014785,0.12
baseline_6p,30,6,-2977.725016134355,-1712.701969393836,1265.023046740519,0.12
baseline_6p,31,6,-2628.6712901814712,-1517.0862122969943,1111.585077884477,0.12
