run,day,n_players,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
baseline_6p,1,6,True,False,-3.3928415632544784e-13,-5.654735938757464e-14,4.84,13
baseline_6p,2,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.07,13
baseline_6p,3,6,True,False,1.7763568394002505e-15,2.9605947323337506e-16,3.24,15
baseline_6p,4,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,2.46,14
baseline_6p,5,6,True,False,-3.3928415632544784e-13,-5.654735938757464e-14,1.72,13
baseline_6p,6,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.65,14
baseline_6p,7,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.72,14
baseline_6p,8,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.84,14
baseline_6p,9,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.78,14
baseline_6p,10,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,2.02,15
baseline_6p,11,6,True,False,2.291500322826323e-13,3.8191672047105385e-14,2.34,14
baseline_6p,12,6,True,False,2.291500322826323e-13,3.8191672047105385e-14,4.46,14
baseline_6p,13,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.91,14
baseline_6p,14,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,4.73,15
baseline_6p,15,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,2.02,14
baseline_6p,16,6,True,False,1.7763568394002505e-15,2.9605947323337506e-16,2.08,14
baseline_6p,17,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.35,14
baseline_6p,18,6,True,False,0.0,0.0,2.74,16
baseline_6p,19,6,True,False,-1.1191048088221578e-13,-1.865174681370263e-14,2.24,13
baseline_6p,20,6,True,False,-4.5297099404706387e-13,-7.549516567451064e-14,2.34,15
baseline_6p,21,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,3.03,13
baseline_6p,22,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,2.21,14
baseline_6p,23,6,True,False,-1.1191048088221578e-13,-1.865174681370263e-14,1.97,14
baseline_6p,24,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,1.76,13
baseline_6p,25,6,True,False,-6.217248937900877e-14,-1.0362081563168127e-14,3.11,16
baseline_6p,26,6,True,False,1.7763568394002505e-15,2.9605947323337506e-16,2.01,14
baseline_6p,27,6,True,False,2.291500322826323e-13,3.8191672047105385e-14,2.59,14
baseline_6p,28,6,True,False,5.684341886080802e-14,9.473903143468002e-15,1.88,14
baseline_6p,29,6,True,False,-3.3928415632544784e-13,-5.654735938757464e-14,2.6,13
baseline_6p,30,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.7,14
baseline_6p,31,6,True,False,-1.758593271006248e-13,-2.930988785010413e-14,3.02,19
