run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
baseline_6p,1,6,,3.333333333333333,1.5,,,-2100.539166276409,-2103.421448784712,-2.8822825083029784,0.4803804180504964,0.59,19.04,,,,,,,,,,,,,,,,,,,,,True,False,-3.392841563254479e-13,-5.6547359387574644e-14,4.84,13
baseline_6p,1,6,700.0,3.333333333333333,1.5,56.0,150.0,-2165.69329732795,-2168.2405545350634,-2.547257207113489,0.4245428678522482,0.51,18.08,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24.0,23.0,1.0598638088180792,0.5077808487345876,76.16712731018815,1.0104586925664627,0.5025250932770697,0.5026778438318751,ok,True,False,-3.392841563254479e-13,-5.6547359387574644e-14,4.84,13
baseline_6p,2,6,700.0,3.333333333333333,1.5,,,-2016.1376942281072,-2017.0078830339053,-0.8701888057980796,0.1450314676330132,0.53,20.41,,,,,,,,,,,,,,,,,,,,,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.07,13
baseline_6p,2,6,700.0,3.333333333333333,1.5,56.0,150.0,-2098.8386077259665,-2104.979392970484,-6.140785244516792,1.0234642074194653,0.18,16.37,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24.0,22.0,0.0,0.3110683205061466,46.660248075922,1.0104586925664627,0.307848626365977,0.6993903720603161,ok,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.07,13
baseline_6p,3,6,700.0,3.333333333333333,1.5,,,-1820.7164993743688,-1820.971495100891,-0.2549957265223384,0.042499287753723,0.13,30.57,,,,,,,,,,,,,,,,,,,,,True,False,1.7763568394002505e-15,2.96059473233375e-16,3.24,15
baseline_6p,3,6,700.0,3.333333333333333,1.5,56.0,150.0,-1880.0630565315507,-1882.2706711744977,-2.2076146429469645,0.3679357738244941,0.12,17.17,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24.0,23.0,9.663381206337365e-13,0.5404137856325881,81.06206784488822,1.046346137971895,0.5164770681717791,0.5059323523393069,ok,True,False,1.7763568394002505e-15,2.96059473233375e-16,3.24,15
baseline_6p,4,6,700.0,3.333333333333333,1.5,,,-2103.879222169619,-2104.6475980365003,-0.7683758668813425,0.1280626444802237,0.27,25.24,,,,,,,,,,,,,,,,,,,,,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,2.46,14
baseline_6p,5,6,700.0,3.333333333333333,1.5,,,-2060.432215320196,-2060.821136479613,-0.3889211594173503,0.064820193236225,0.12,30.25,,,,,,,,,,,,,,,,,,,,,True,False,-3.392841563254479e-13,-5.6547359387574644e-14,1.72,13
baseline_6p,6,6,700.0,3.333333333333333,1.5,,,-2313.974643635,-2314.652415646244,-0.6777720112445422,0.1129620018740903,0.17,27.21,,,,,,,,,,,,,,,,,,,,,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,1.65,14
baseline_6p,7,6,700.0,3.333333333333333,1.5,,,-2189.5990317497626,-2190.91023598568,-1.3112042359175575,0.2185340393195929,0.13,20.66,,,,,,,,,,,,,,,,,,,,,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,1.72,14
