run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks
channel_balance_6p,1,6,700,3.3333333333333335,1.5,0.0,0.0,-2103.191141251053,-2106.0734237593633,-2.8822825083102543,0.48038041805170906,0.13,16.29,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.48038041805170906,0,0.39,,,,,,ok
channel_balance_6p,2,6,700,3.3333333333333335,1.5,0.0,0.0,-2018.6301524577875,-2019.5003412635879,-0.8701888058003533,0.14503146763339222,0.11,13.69,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.14503146763339222,0,0.29,,,,,,ok
channel_balance_6p,3,6,700,3.3333333333333335,1.5,0.0,0.0,-1823.2072925994498,-1823.4622883259717,-0.2549957265218836,0.04249928775364727,0.1,14.93,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.04249928775364727,0,0.23,,,,,,ok
channel_balance_6p,4,6,700,3.3333333333333335,1.5,0.0,0.0,-2106.3751774401,-2107.1364412599128,-0.7612638198129389,0.1268773033021565,0.12,15.1,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.1268773033021565,0,0.29,,,,,,ok
channel_balance_6p,5,6,700,3.3333333333333335,1.5,0.0,0.0,-2063.0083127642647,-2063.397233923683,-0.3889211594182598,0.06482019323637662,0.1,16.76,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.06482019323637662,0,0.31,,,,,,ok
channel_balance_6p,6,6,700,3.3333333333333335,1.5,0.0,0.0,-2316.5384185016987,-2317.2161905129446,-0.6777720112459065,0.11296200187431775,0.11,16.26,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.11296200187431775,0,0.23,,,,,,ok
channel_balance_6p,7,6,700,3.3333333333333335,1.5,0.0,0.0,-2191.7054709990334,-2193.016675234952,-1.311204235918467,0.2185340393197445,0.12,15.18,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.2185340393197445,0,0.38,,,,,,ok
channel_balance_6p,8,6,700,3.3333333333333335,1.5,0.0,0.0,-2286.6653541965907,-2288.381361241977,-1.7160070453865046,0.2860011742310841,0.15,15.8,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.2860011742310841,0,0.67,,,,,,ok
channel_balance_6p,9,6,700,3.3333333333333335,1.5,0.0,0.0,-2349.6597747743017,-2350.232502142631,-0.5727273683291969,0.09545456138819948,0.11,18.15,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.09545456138819948,0,0.3,,,,,,ok
channel_balance_6p,10,6,700,3.3333333333333335,1.5,0.0,0.0,-1781.204818473676,-1782.1085582035498,-0.9037397298739052,0.15062328831231753,0.11,14.79,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.15062328831231753,0,0.4,,,,,,ok
channel_balance_6p,11,6,700,3.3333333333333335,1.5,0.0,0.0,-1696.533694554687,-1697.3906153182515,-0.8569207635646308,0.14282012726077178,0.11,15.83,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.14282012726077178,0,0.28,,,,,,ok
channel_balance_6p,12,6,700,3.3333333333333335,1.5,0.0,0.0,-1755.5700353549214,-1755.9029397591876,-0.3329044042661735,0.05548406737769559,0.1,14.47,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.05548406737769559,0,0.22,,,,,,ok
channel_balance_6p,13,6,700,3.3333333333333335,1.5,0.0,0.0,-2057.706664563462,-2058.6590383422918,-0.9523737788299513,0.1587289631383252,0.12,13.66,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.1587289631383252,0,0.33,,,,,,ok
channel_balance_6p,14,6,700,3.3333333333333335,1.5,0.0,0.0,-1830.0541908033988,-1830.2595740640052,-0.2053832606063679,0.034230543434394654,0.11,15.0,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.034230543434394654,0,0.22,,,,,,ok
channel_balance_6p,15,6,700,3.3333333333333335,1.5,0.0,0.0,-2260.680843344323,-2263.213326534037,-2.532483189714185,0.4220805316190308,0.14,15.72,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.4220805316190308,0,0.68,,,,,,ok
channel_balance_6p,16,6,700,3.3333333333333335,1.5,0.0,0.0,-2018.3534290573916,-2020.014373431651,-1.6609443742593157,0.2768240623765526,0.16,12.33,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.2768240623765526,0,0.39,,,,,,ok
channel_balance_6p,17,6,700,3.3333333333333335,1.5,0.0,0.0,-1692.037486068592,-1692.383172436606,-0.3456863680139577,0.05761439466899295,0.11,14.99,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.05761439466899295,0,0.23,,,,,,ok
channel_balance_6p,18,6,700,3.3333333333333335,1.5,0.0,0.0,-1906.6604138227153,-1907.0399499685925,-0.3795361458771822,0.0632560243128637,0.11,17.5,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.0632560243128637,0,0.23,,,,,,ok
channel_balance_6p,19,6,700,3.3333333333333335,1.5,0.0,0.0,-1951.6533042072197,-1952.335715599441,-0.682411392221411,0.11373523203690183,0.12,12.22,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.11373523203690183,0,0.41,,,,,,ok
channel_balance_6p,20,6,700,3.3333333333333335,1.5,0.0,0.0,-2095.1020173091174,-2097.2072829378776,-2.1052656287602076,0.35087760479336794,0.14,14.59,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.35087760479336794,0,0.35,,,,,,ok
channel_balance_6p,21,6,700,3.3333333333333335,1.5,0.0,0.0,-1935.3083708205463,-1938.2641515166183,-2.9557806960719972,0.4926301160119995,0.15,15.42,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.4926301160119995,0,0.69,,,,,,ok
channel_balance_6p,22,6,700,3.3333333333333335,1.5,0.0,0.0,-2177.6210472626167,-2181.29380655693,-3.672759294313437,0.6121265490522395,0.17,14.08,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.6121265490522395,0,0.88,,,,,,ok
channel_balance_6p,23,6,700,3.3333333333333335,1.5,0.0,0.0,-2032.195669275648,-2033.754230018732,-1.5585607430839445,0.2597601238473241,0.12,18.48,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.2597601238473241,0,0.35,,,,,,ok
channel_balance_6p,24,6,700,3.3333333333333335,1.5,0.0,0.0,-1640.4359255920558,-1641.5209685261643,-1.0850429341085146,0.18084048901808578,0.12,15.0,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.18084048901808578,0,0.33,,,,,,ok
channel_balance_6p,25,6,700,3.3333333333333335,1.5,0.0,0.0,-1750.4901903763362,-1750.5981582074044,-0.1079678310682084,0.017994638511368066,0.1,16.67,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.017994638511368066,0,0.24,,,,,,ok
channel_balance_6p,26,6,700,3.3333333333333335,1.5,0.0,0.0,-1776.351453090463,-1776.9879526570064,-0.6364995665433071,0.10608326109055118,0.13,14.97,,,,,,,,,,,,,,,dinkelbach,-0.0,True,-0.0,True,0.10608326109055118,0,0.26,,,,,,ok
