run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks
community_size_1000_6p,1,6,1000,3.3333333333333335,1.5,56.0,150.0,-2229.7942346392865,-2232.325316836411,-2.531082197124306,0.42184703285405095,0.13,15.74,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.06780329607797644,0.14250000000000002,0.06780329607797644,0.07469670392202357,0.524187395944025,23,23,1.1908696251339279e-11,dinkelbach,-0.0,True,0.42184703285405334,True,0.42184703285405095,1,0.52,0.6969578313909415,104.54367470864122,1.3834488194594203,0.5037828805718134,0.6864909880684789,ok
community_size_1000_6p,2,6,1000,3.3333333333333335,1.5,56.0,150.0,-2147.647210470916,-2154.8114523654817,-7.164241894565748,1.194040315760958,0.52,14.53,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,24,0.0,dinkelbach,-0.0,True,1.1940403157614554,True,1.194040315760958,1,0.92,0.48096993650951736,72.14549047642761,1.3598887245722986,0.35368330350763677,0.8789187880627812,ok
community_size_1000_6p,3,6,1000,3.3333333333333335,1.5,56.0,150.0,-1931.8696366435556,-1935.0292806707432,-3.1596440271875963,0.5266073378645993,0.12,14.36,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.10070427864343158,0.14250000000000002,0.10070427864343158,0.041795721356568435,0.2933033077653925,24,23,1.2221335055073723e-12,dinkelbach,-0.0,True,0.526607337864597,True,0.5266073378645993,1,0.34,0.7235012600454171,108.52518900681257,0.9330234742062591,0.7754373604168036,0.20952221416084194,ok
community_size_1000_6p,4,6,1000,3.3333333333333335,1.5,56.0,150.0,-2223.0797891275524,-2228.0182509058236,-4.938461778271176,0.823076963045196,0.78,14.92,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,24,2.8421709430404007e-13,dinkelbach,-0.0,True,0.8230769630454375,True,0.823076963045196,1,0.47,0.7015676051926837,105.23514077890255,1.2437447254319303,0.5640768486065674,0.5421771202392466,ok
community_size_1000_6p,5,6,1000,3.3333333333333335,1.5,56.0,150.0,-2180.867479474298,-2183.2593675183275,-2.391888044029656,0.39864800733827604,0.13,14.86,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.08157148753308008,0.14250000000000002,0.08157148753308008,0.06092851246691994,0.427568508539789,24,23,5.115907697472721e-13,dinkelbach,-0.0,True,0.39864800733827366,True,0.39864800733827604,1,0.43,0.6221899544815686,93.32849317223528,1.4076104192313923,0.44201857700180097,0.7854204647498237,ok
community_size_1000_6p,6,6,1000,3.3333333333333335,1.5,56.0,150.0,-2467.258140754388,-2471.986225909656,-4.728085155267763,0.7880141925446272,0.13,15.8,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,23,23,4.831690603168681e-13,dinkelbach,-0.0,True,-2.832123424667543e-12,True,0.7880141925446272,0,1.63,0.5157445009990977,77.36167514986467,1.3598887245722986,0.3792549284952014,0.8441442235732008,ok
community_size_1000_6p,7,6,1000,3.3333333333333335,1.5,56.0,150.0,-2334.7788279707784,-2342.206793321358,-7.427965350579598,1.2379942250965996,0.28,15.14,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,23,0.5694710068563893,dinkelbach,-0.0,True,1.2379942250965996,True,1.2379942250965996,1,0.48,0.39515899164144885,59.273848746217325,0.9960539839325869,0.396724472785396,0.6008949922911381,ok
community_size_1000_6p,8,6,1000,3.3333333333333335,1.5,56.0,150.0,-2453.6528151561365,-2462.474768257452,-8.821953101315557,1.4703255168859262,1.67,16.09,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.1424999999999999,0.0,0.1424999999999999,1.0,24,23,0.8194217277487041,dinkelbach,-0.0,True,1.4703255168859286,True,1.4703255168859262,1,0.92,0.39962771456798346,59.94415718519752,1.3598887245722986,0.2938679520956181,0.9602610100043152,ok
community_size_1000_6p,9,6,1000,3.3333333333333335,1.5,56.0,150.0,-2517.2694375583815,-2521.6305905909603,-4.361153032578841,0.7268588387631402,0.61,17.12,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,24,24,3.694822225952521e-13,dinkelbach,-0.0,True,0.7268588387631425,True,0.7268588387631402,1,0.49,0.44462517813439933,66.6937767201599,1.0232974074566834,0.43450239871072915,0.5786722293222841,ok
community_size_1000_6p,10,6,1000,3.3333333333333335,1.5,56.0,150.0,-1878.9127768073147,-1883.9068220675933,-4.994045260278654,0.832340876713109,0.29,15.31,0.14250000000000002,191.52,0.14250000000000002,0.0,1.0,0.0,0.0,0.14250000000000002,0.0,0.14250000000000002,1.0,23,23,0.0,dinkelbach,-0.0,True,0.8323408767131113,True,0.832340876713109,1,0.46,1.2053675393830152,180.80513090745228,1.4111565037229161,0.8541699919201109,0.2057889643399009,ok
