run,day,n_players,num_households,base_h2_price_eur,import_factor,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s
community_size_350_6p,1,6,350,3.3333333333333335,1.5,-1909.4984825165227,-1912.1718495336431,-2.6733670171204267,0.44556116952007113,0.46,19.82
community_size_350_6p,2,6,350,3.3333333333333335,1.5,-1875.9176779004174,-1876.7234117859011,-0.8057338854837326,0.13428898091395544,0.14,20.03
community_size_350_6p,3,6,350,3.3333333333333335,1.5,-1656.1796407331442,-1656.7383214588729,-0.5586807257286637,0.09311345428811062,0.14,21.57
community_size_350_6p,4,6,350,3.3333333333333335,1.5,-1925.033837385052,-1926.0744802163904,-1.0406428313383458,0.1734404718897243,0.17,32.41
community_size_350_6p,5,6,350,3.3333333333333335,1.5,-1872.1441093526232,-1875.9574560985511,-3.813346745927902,0.6355577909879836,0.4,20.98
community_size_350_6p,6,6,350,3.3333333333333335,1.5,-2117.8982790069686,-2118.4516491826425,-0.5533701756739902,0.0922283626123317,0.14,30.72
community_size_350_6p,7,6,350,3.3333333333333335,1.5,-2019.858748567024,-2020.4654004431711,-0.6066518761472253,0.10110864602453755,0.18,21.26
community_size_350_6p,8,6,350,3.3333333333333335,1.5,-2101.247516571378,-2101.480495755262,-0.23297918388379912,0.038829863980633185,0.13,29.64
community_size_350_6p,9,6,350,3.3333333333333335,1.5,-2155.090350996487,-2155.657095736548,-0.5667447400610399,0.09445745667683998,0.36,31.08
community_size_350_6p,10,6,350,3.3333333333333335,1.5,-1592.2493285666633,-1592.6358326272205,-0.3865040605571721,0.06441734342619536,0.13,22.24
community_size_350_6p,11,6,350,3.3333333333333335,1.5,-1544.0276432187934,-1545.4737894395278,-1.446146220734363,0.24102437012239383,0.27,18.77
community_size_350_6p,12,6,350,3.3333333333333335,1.5,-1597.3905059175504,-1597.4984737486188,-0.10796783106843577,0.017994638511405963,0.12,26.02
community_size_350_6p,13,6,350,3.3333333333333335,1.5,-1907.0817946498019,-1908.1904449113715,-1.1086502615696645,0.1847750435949441,0.13,21.01
community_size_350_6p,14,6,350,3.3333333333333335,1.5,-1658.8921400040854,-1661.8779872530251,-2.9858472489397627,0.4976412081566271,0.35,19.92
community_size_350_6p,15,6,350,3.3333333333333335,1.5,-2078.55982704265,-2079.616999447041,-1.0571724043911672,0.1761954007318612,0.14,21.08
community_size_350_6p,16,6,350,3.3333333333333335,1.5,-1874.62427312479,-1876.2583196985345,-1.6340465737443992,0.27234109562406655,0.15,19.7
community_size_350_6p,17,6,350,3.3333333333333335,1.5,-1522.8547155460085,-1522.9770178386987,-0.1223022926901649,0.020383715448360817,0.12,21.0
community_size_350_6p,18,6,350,3.3333333333333335,1.5,-1760.8626014199938,-1762.311298106177,-1.4486966861832116,0.24144944769720192,0.13,17.34
community_size_350_6p,19,6,350,3.3333333333333335,1.5,-1797.8513830602844,-1798.078887230142,-0.22750416985763877,0.037917361642939795,0.43,26.22
community_size_350_6p,20,6,350,3.3333333333333335,1.5,-1899.9725517996767,-1901.4287194384085,-1.456167638731813,0.24269460645530216,0.13,21.27
community_size_350_6p,21,6,350,3.3333333333333335,1.5,-1770.3679085992255,-1772.180676829869,-1.8127682306435418,0.3021280384405903,0.13,20.16
community_size_350_6p,22,6,350,3.3333333333333335,1.5,-1992.3645525685606,-1994.0216234266434,-1.6570708580827613,0.2761784763471269,0.16,19.44
community_size_350_6p,23,6,350,3.3333333333333335,1.5,-1835.9438361294135,-1836.707500374713,-0.7636642452994238,0.12727737421657062,0.33,24.14
community_size_350_6p,24,6,350,3.3333333333333335,1.5,-1489.1870108592227,-1490.7598987376664,-1.5728878784436802,0.2621479797406134,0.13,16.28
community_size_350_6p,25,6,350,3.3333333333333335,1.5,-1582.2959099915654,-1582.5295459113493,-0.23363591978386467,0.038939319963977446,0.12,20.4
community_size_350_6p,26,6,350,3.3333333333333335,1.5,-1630.3988054170343,-1631.1491544418263,-0.7503490247920581,0.12505817079867634,0.14,24.73
community_size_350_6p,27,6,350,3.3333333333333335,1.5,-1855.5717348457151,-1857.0505668446547,-1.4788319989395404,0.24647199982325674,0.28,22.43
community_size_350_6p,28,6,350,3.3333333333333335,1.5,-987.4492590988175,-987.7860570984428,-0.3367979996253325,0.05613299993755542,0.22,22.55
community_size_350_6p,29,6,350,3.3333333333333335,1.5,-1960.5314740322501,-1962.3246418675294,-1.7931678352792915,0.2988613058798819,0.13,20.78
community_size_350_6p,30,6,350,3.3333333333333335,1.5,-2117.6432118358,-2118.2552292797327,-0.6120174439329276,0.1020029073221546,0.4,28.81
community_size_350_6p,31,6,350,3.3333333333333335,1.5,-1892.2793597013563,-1893.3290939732321,-1.0497342718758773,0.1749557119793129,0.15,22.09
