run,day,n_players,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
community_size_350_6p,1,6,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,2.59,14
community_size_350_6p,2,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,1.82,14
community_size_350_6p,3,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,5.95,15
community_size_350_6p,4,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,1.7,14
community_size_350_6p,5,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,2.43,14
community_size_350_6p,6,6,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.74,14
community_size_350_6p,7,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,1.81,14
community_size_350_6p,8,6,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.52,14
community_size_350_6p,9,6,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.93,14
community_size_350_6p,10,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,1.86,14
community_size_350_6p,11,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,2.49,15
community_size_350_6p,12,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,7.2,15
community_size_350_6p,13,6,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,1.96,14
community_size_350_6p,14,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,5.1,15
community_size_350_6p,15,6,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.62,14
community_size_350_6p,16,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,1.96,14
community_size_350_6p,17,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,1.68,13
community_size_350_6p,18,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,1.67,14
community_size_350_6p,19,6,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,2.46,14
community_size_350_6p,20,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,2.22,15
community_size_350_6p,21,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,4.26,14
community_size_350_6p,22,6,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,1.92,14
community_size_350_6p,23,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,3.41,14
community_size_350_6p,24,6,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,2.23,15
community_size_350_6p,25,6,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,1.81,14
community_size_350_6p,26,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,3.48,15
community_size_350_6p,27,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,2.67,14
community_size_350_6p,28,6,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.82,13
community_size_350_6p,29,6,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,1.76,14
community_size_350_6p,30,6,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.52,14
community_size_350_6p,31,6,True,False,-1.4210854715202004e-13,-2.3684757858670007e-14,1.92,14
