run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
community_size_350_6p,1,6,350,3.333333333333333,1.5,56.0,150.0,-2022.8327916759583,-2029.0064932114692,-6.1737015355111,1.0289502559185166,0.42,18.93,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0630560497614638,0.1425,0.0630560497614638,0.0794439502385361,0.5575014051827097,24,24,0.0,dinkelbach,-0.0,True,1.0289502559185166,True,1.0289502559185166,1,0.58,0.3195734493777424,47.93601740666136,0.6194929150236703,0.5158629608629693,0.2999194656459279,ok,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,2.59,14
community_size_350_6p,2,6,350,3.333333333333333,1.5,56.0,150.0,-2000.9213450513723,-2004.5825592852284,-3.661214233856072,0.6102023723093453,0.2,16.94,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,23,23,1.1368683772161605e-13,dinkelbach,-0.0,True,-0.0,True,0.6102023723093453,0,1.28,0.0585970013755468,8.78955020633202,0.4662653720490221,0.1256730713628591,0.4076683706734753,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,1.82,14
community_size_350_6p,3,6,350,3.333333333333333,1.5,56.0,150.0,-1764.368211585741,-1766.5040627245817,-2.135851138840735,0.3559751898067891,0.36,16.81,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0312259036534409,0.1425,0.0312259036534409,0.111274096346559,0.7808708515548001,23,23,5.684341886080803e-14,dinkelbach,-0.0,True,0.3559751898067915,True,0.3559751898067891,1,0.37,0.3588978267593448,53.83467401390172,0.6207340445957037,0.5781829269459547,0.2618362178363589,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,5.95,15
community_size_350_6p,4,6,350,3.333333333333333,1.5,56.0,150.0,-2038.401076919557,-2041.3929087847064,-2.9918318651496065,0.4986386441916011,0.16,18.73,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,3.410605131648481e-13,dinkelbach,-0.0,True,-0.0,True,0.4986386441916011,0,1.36,0.3373987184878057,50.60980777317086,0.6194929150236703,0.544636928535194,0.2820941965358646,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,1.7,14
community_size_350_6p,5,6,350,3.333333333333333,1.5,56.0,150.0,-1989.3707061169184,-1995.748387785863,-6.377681668944888,1.062946944824148,0.18,20.34,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0505875,0.1425,0.0505875,0.0919124999999999,0.6449999999999998,24,23,4.376943252282217e-12,dinkelbach,-0.0,True,0.8278936956313174,True,1.062946944824148,1,0.67,0.2463176296387061,36.94764444580592,0.6194929150236703,0.3976116976725949,0.3731752853849641,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,2.43,14
community_size_350_6p,6,6,350,3.333333333333333,1.5,56.0,150.0,-2246.7976889139773,-2248.8388832355663,-2.041194321589046,0.3401990535981743,0.13,21.67,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,3.751665644813329e-12,dinkelbach,-0.0,True,-0.0,True,0.3401990535981743,0,1.56,0.0,0.0,0.6027903218929875,0.0,0.6027903218929875,ok,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.74,14
community_size_350_6p,7,6,350,3.333333333333333,1.5,56.0,150.0,-2153.29959968407,-2154.3933509828767,-1.0937512988066374,0.1822918831344395,0.13,20.33,0.1425,191.52,0.1425,0.0,1.0,0.0308883535169567,0.0308883535169567,0.1425,0.0,0.1116116464830432,1.0,24,23,7.958078640513122e-13,dinkelbach,-0.0,True,-0.0,True,0.1822918831344395,0,1.01,0.0,0.0,0.6027903218929875,0.0,0.6027903218929875,peak_dual_balance_ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,1.81,14
community_size_350_6p,8,6,350,3.333333333333333,1.5,56.0,150.0,-2233.9298074787,-2235.08884768412,-1.1590402054202968,0.1931733675700494,0.14,21.05,0.1425,191.52,0.1425,0.0,1.0,0.0248945067206536,0.0248945067206536,0.1424999999999999,0.0,0.1176054932793462,1.0,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,-0.0,True,0.1931733675700494,0,1.63,0.0,0.0,0.4076683706734753,0.0,0.4076683706734753,peak_dual_balance_ok,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.52,14
community_size_350_6p,9,6,350,3.333333333333333,1.5,56.0,150.0,-2286.079853585168,-2287.9249709715336,-1.845117386365928,0.3075195643943213,0.13,23.37,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0505875,0.1425,0.0505875,0.0919124999999999,0.6449999999999998,24,24,2.557953848736361e-13,dinkelbach,-0.0,True,-0.0,True,0.3075195643943213,0,2.61,0.0,0.0,0.4076683706734753,0.0,0.4076683706734753,peak_dual_balance_ok,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.93,14
community_size_350_6p,10,6,350,3.333333333333333,1.5,56.0,150.0,-1693.5955062486214,-1696.829886636995,-3.234380388373665,0.5390633980622775,0.12,20.99,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,5.400124791776761e-13,dinkelbach,-0.0,True,-0.0,True,0.5390633980622775,0,0.34,0.5984186422726101,89.76279634089151,0.6032106710502757,0.9920557957482384,0.0047920287776656,ok,True,False,-5.684341886080803e-14,-9.473903143468002e-15,1.86,14
community_size_350_6p,11,6,350,3.333333333333333,1.5,56.0,150.0,-1644.5563407672878,-1650.4268558118742,-5.870515044586455,0.9784191740977424,0.13,19.18,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,2.529532139305957e-12,True,0.9784191740977424,0,1.88,0.5487382738720685,82.31074108081027,0.6474267748199753,0.8475680883365562,0.0986885009479068,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,2.49,15
community_size_350_6p,12,6,350,3.333333333333333,1.5,56.0,150.0,-1703.0657551264512,-1705.150255774345,-2.08450064789372,0.3474167746489532,0.13,16.05,0.1425,191.52,0.1425,0.0,1.0,0.0,0.080886128589943,0.1425,0.080886128589943,0.0616138714100569,0.4323780449828556,24,22,0.0,dinkelbach,-0.0,True,0.3474167746489556,True,0.3474167746489532,1,0.35,0.3943673545379988,59.15510318069983,0.6194929150236703,0.6365970376318676,0.2251255604856715,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,7.2,15
community_size_350_6p,13,6,350,3.333333333333333,1.5,56.0,150.0,-2025.670866172076,-2028.794245577728,-3.123379405651804,0.5205632342753006,0.18,18.3,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,0.0,dinkelbach,-0.0,True,-0.0,True,0.5205632342753006,0,0.53,0.1701662985693194,25.524944785397917,0.6027903218929875,0.2822976620376609,0.4326240233236681,ok,True,False,-8.526512829121202e-14,-1.4210854715202004e-14,1.96,14
community_size_350_6p,14,6,350,3.333333333333333,1.5,56.0,150.0,-1761.0528764161018,-1765.3417038394623,-4.288827423360544,0.7148045705600907,0.6,16.55,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,0.977620772343016,dinkelbach,-0.0,True,0.7148045705600907,True,0.7148045705600907,1,0.41,0.5717298630684495,85.75947946026743,0.6194929150236703,0.922899760760951,0.0477630519552207,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,5.1,15
community_size_350_6p,15,6,350,3.333333333333333,1.5,56.0,150.0,-2210.9846497089748,-2212.9715202677776,-1.9868705588028208,0.3311450931338034,0.15,19.94,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0805413041206778,0.1425,0.0805413041206778,0.0619586958793221,0.4347978658198045,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,-0.0,True,0.3311450931338034,0,0.96,0.0,0.0,0.6027903218929875,0.0,0.6027903218929875,ok,True,False,8.526512829121202e-14,1.4210854715202004e-14,1.62,14
community_size_350_6p,16,6,350,3.333333333333333,1.5,56.0,150.0,-1996.253839579642,-1999.870568385812,-3.616728806169931,0.6027881343616551,0.19,17.61,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,9.01329456108139e-07,True,0.6027881343616551,6,0.99,0.1354564638783224,20.31846958174836,0.6027903218929875,0.2247157244544642,0.4673338580146651,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,1.96,14
community_size_350_6p,17,6,350,3.333333333333333,1.5,56.0,150.0,-1623.5486546500074,-1625.619017551459,-2.070362901451517,0.3450604835752529,0.13,19.13,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0465483565049184,0.1424999999999999,0.0465483565049184,0.0959516434950814,0.6733448666321509,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,0.3450604835752529,True,0.3450604835752529,1,0.41,0.5984186422726101,89.76279634089151,0.6027903218929875,0.9927475948740372,0.0043716796203774,ok,True,False,-1.4210854715202006e-13,-2.3684757858670007e-14,1.68,13
