els_cap,day,kappa_peak,kappa_mean,kappa_cap,mu,surplus_top4_share,els_on_hours,v_mip,v_star,converged,vstar_is_lower_bound,core_empty,n_coalitions,time_rowgen_s
1.0,1,1.759458,7.27066,0.960853,0.806497,0.526194,57,-6490.3687,0.0,False,True,False,305,1201.9
1.0,15,1.326955,4.663537,0.807984,0.806497,0.515264,61,-6796.8037,-0.0,True,False,False,248,817.6
1.0,30,1.411681,4.266629,0.838632,0.806497,0.453151,62,-6872.9364,-0.0,True,False,False,192,864.3
1.14,1,1.782608,5.47658,1.025275,0.806497,0.447993,57,-6969.2595,0.0,True,False,False,318,1041.6
1.14,15,1.347538,3.85377,0.857124,0.806497,0.436275,61,-7315.1042,-0.0,True,False,False,240,639.6
1.14,30,1.435,3.578667,0.891693,0.806497,0.378007,63,-7399.4839,0.0,True,False,False,253,1055.7
2.27,1,1.801207,2.917125,1.31908,0.806497,0.253625,60,-10746.8575,-0.0,True,False,False,149,433.3
2.27,15,1.426202,2.38269,1.093616,0.806497,0.263953,64,-11442.7893,-0.0,True,False,False,176,423.6
2.27,30,1.524545,2.274582,1.150526,0.806497,0.234611,66,-11633.7198,-0.0,True,False,False,145,437.1
3.41,1,1.780516,2.51993,1.435303,0.806497,0.223322,61,-14542.9394,0.0,True,False,False,73,260.0
3.41,15,1.454845,2.110921,1.205827,0.806497,0.232079,66,-15588.487,0.0,True,False,False,101,248.8
3.41,30,1.557321,2.025627,1.275386,0.806497,0.207236,66,-15883.9436,-0.0,True,False,False,161,501.6
4.55,1,1.770369,2.359639,1.5,0.806497,0.215658,61,-18325.6274,-0.0,True,False,False,147,663.5
4.55,15,1.46957,1.997268,1.270883,0.806497,0.218749,66,-19684.1459,0.0,True,False,False,106,387.9
4.55,30,1.574205,1.920744,1.348392,0.806497,0.195703,66,-20130.4524,0.0,True,False,False,118,394.4
