scen,ratio_f,els_cap,day,kappa_peak,kappa_mean,kappa_cap,mu,surplus_top4_share,els_on_hours,v_mip,v_star,converged,vstar_is_lower_bound,core_empty,n_coalitions,time_rowgen_s,budget_s
A_nosto,0.65,1.0,1,4.899626,inf,1.478236,0.806497,0.835054,60,-4442.2416,0.0,True,False,False,166,297.5,1200
A_nosto,0.65,1.0,15,3.12082,inf,1.243053,0.806497,0.804314,60,-4640.8675,-0.0,True,False,False,153,345.8,1200
A_nosto,0.65,1.0,30,3.436082,inf,1.290203,0.806497,0.796321,60,-4700.0102,0.0,True,False,False,291,795.5,1200
B_noexp,0.65,1.0,1,4.899626,inf,1.478236,0.806497,0.835054,46,-5284.3531,-0.0,True,False,False,90,440.9,3600
B_noexp,0.65,1.0,15,3.12082,inf,1.243053,0.806497,0.804314,46,-5453.4755,0.0,True,False,False,164,574.5,3600
B_noexp,0.65,1.0,30,3.436082,inf,1.290203,0.806497,0.796321,47,-5517.7706,-0.0,True,False,False,158,518.2,3600
C_both,0.65,1.0,1,4.899626,inf,1.478236,0.806497,0.835054,42,-4407.4815,0.0,True,False,False,136,354.9,3600
C_both,0.65,1.0,15,3.12082,inf,1.243053,0.806497,0.804314,43,-4579.5733,0.0,True,False,False,103,242.7,3600
C_both,0.65,1.0,30,3.436082,inf,1.290203,0.806497,0.796321,43,-4636.6748,0.0,True,False,False,130,206.9,3600
C_both,1.0,1.0,1,1.759458,7.27066,0.960853,0.806497,0.526194,43,-5380.3661,0.0,True,False,False,142,409.3,3600
C_both,1.0,1.0,15,1.326955,4.663537,0.807984,0.806497,0.515264,43,-5645.2686,0.0,True,False,False,133,275.8,3600
C_both,1.0,1.0,30,1.411681,4.266629,0.838632,0.806497,0.453151,43,-5722.0409,0.0,True,False,False,116,224.3,3600
