ratio_f,els_cap,day,kappa_peak,kappa_mean,kappa_cap,mu,surplus_top4_share,els_on_hours,v_mip,v_star,converged,vstar_is_lower_bound,core_empty,n_coalitions,time_rowgen_s
0.9,1.0,1,2.153861,13.834338,1.067615,0.806497,0.608684,57,-6104.3115,-0.0,True,False,False,220,1108.1
0.9,1.0,15,1.587703,7.067872,0.89776,0.806497,0.594921,61,-6387.8471,-0.0,True,False,False,261,895.2
0.9,1.0,30,1.697408,6.272028,0.931813,0.806497,0.523358,61,-6460.5316,0.0,True,False,False,189,856.6
0.8,1.0,1,2.77617,142.273503,1.201067,0.806497,0.687718,61,-5726.293,-0.0,True,False,False,271,1132.7
0.8,1.0,15,1.975989,14.589794,1.00998,0.806497,0.680493,61,-5976.7452,0.0,False,True,False,301,1201.9
0.8,1.0,30,2.12815,11.834449,1.04829,0.806497,0.642666,61,-6046.306,0.0,True,False,False,180,774.7
0.72,1.0,1,3.610771,inf,1.334519,0.806497,0.757965,61,-5425.4741,0.0,True,False,False,295,997.7
0.72,1.0,15,2.456617,98.177078,1.1222,0.806497,0.745853,61,-5647.713,0.0,True,False,False,246,973.4
0.72,1.0,30,2.670239,40.736698,1.164767,0.806497,0.723834,61,-5713.089,0.0,False,True,False,268,1200.2
0.65,1.0,1,4.899626,inf,1.478236,0.806497,0.835054,61,-5161.744,-0.0,True,False,False,255,848.6
0.65,1.0,15,3.12082,inf,1.243053,0.806497,0.804314,61,-5359.8098,0.0,True,False,False,208,852.3
0.65,1.0,30,3.436082,inf,1.290203,0.806497,0.796321,61,-5418.9095,-0.0,True,False,False,249,1078.1
0.6,1.0,1,6.576345,inf,1.601422,0.806497,0.892313,61,-4973.0824,-0.0,True,False,False,319,1087.0
0.6,1.0,15,3.867781,inf,1.34664,0.806497,0.842926,61,-5154.1647,0.0,False,True,False,268,1201.3
0.6,1.0,30,4.321368,inf,1.39772,0.806497,0.856011,61,-5208.5943,-0.0,False,True,False,259,1201.6
0.55,1.0,1,9.997693,inf,1.747006,0.806497,0.949132,60,-4784.5532,0.0,True,False,False,212,657.4
0.55,1.0,15,5.084821,inf,1.469062,0.806497,0.906001,61,-4948.5195,-0.0,True,False,False,238,1057.6
0.55,1.0,30,5.821152,inf,1.524786,0.806497,0.939188,60,-4998.3692,-0.0,True,False,False,175,747.7
0.5,1.0,1,20.83941,inf,1.921707,0.806497,1.0,60,-4596.1344,0.0,True,False,False,187,534.9
0.5,1.0,15,7.419423,inf,1.615969,0.806497,1.0,60,-4743.1021,0.0,True,False,False,235,1013.6
0.5,1.0,30,8.915325,inf,1.677264,0.806497,1.0,60,-4788.2545,-0.0,False,True,False,256,1204.5
