run,day,n_players,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
export_cap_020_6p,1,6,True,False,1.7053025658242404e-13,2.842170943040401e-14,3.37,18
export_cap_020_6p,2,6,True,False,1.7053025658242404e-13,2.842170943040401e-14,2.9,19
export_cap_020_6p,3,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.62,18
export_cap_020_6p,4,6,True,False,2.2737367544323206e-13,3.789561257387201e-14,3.0,18
export_cap_020_6p,5,6,True,False,1.7053025658242404e-13,2.842170943040401e-14,3.16,18
export_cap_020_6p,6,6,True,False,-2.8421709430404007e-13,-4.7369515717340014e-14,2.53,18
export_cap_020_6p,7,6,True,False,-2.8421709430404007e-13,-4.7369515717340014e-14,2.85,18
export_cap_020_6p,8,6,True,False,-2.8421709430404007e-13,-4.7369515717340014e-14,2.9,19
export_cap_020_6p,9,6,True,False,2.1316282072803006e-14,3.552713678800501e-15,2.21,17
export_cap_020_6p,10,6,True,False,2.2737367544323206e-13,3.789561257387201e-14,2.51,18
export_cap_020_6p,11,6,True,False,0.0,0.0,2.78,18
export_cap_020_6p,12,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,1.96,15
export_cap_020_6p,13,6,True,False,1.6342482922482304e-13,2.7237471537470508e-14,2.98,18
export_cap_020_6p,14,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,2.86,18
export_cap_020_6p,15,6,True,False,-2.8421709430404007e-13,-4.7369515717340014e-14,2.99,18
export_cap_020_6p,16,6,True,False,1.7053025658242404e-13,2.842170943040401e-14,3.36,18
export_cap_020_6p,17,6,True,False,1.7053025658242404e-13,2.842170943040401e-14,2.76,18
export_cap_020_6p,18,6,True,False,1.6342482922482304e-13,2.7237471537470508e-14,2.83,18
export_cap_020_6p,19,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,1.96,15
export_cap_020_6p,20,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,2.29,15
export_cap_020_6p,21,6,True,False,1.1368683772161603e-13,1.8947806286936004e-14,3.63,20
export_cap_020_6p,22,6,True,False,-2.8421709430404007e-13,-4.7369515717340014e-14,2.67,18
export_cap_020_6p,23,6,True,False,0.0,0.0,2.71,17
export_cap_020_6p,24,6,True,False,-1.9895196601282805e-13,-3.315866100213801e-14,1.84,15
export_cap_020_6p,25,6,True,False,0.0,0.0,4.07,16
export_cap_020_6p,26,6,True,False,2.2737367544323206e-13,3.789561257387201e-14,2.57,18
export_cap_020_6p,27,6,True,False,1.7053025658242404e-13,2.842170943040401e-14,2.53,18
export_cap_020_6p,28,6,True,False,2.2737367544323206e-13,3.789561257387201e-14,1.67,13
export_cap_020_6p,29,6,True,False,1.7053025658242404e-13,2.842170943040401e-14,2.8,18
export_cap_020_6p,30,6,True,False,2.1316282072803006e-14,3.552713678800501e-15,2.67,17
export_cap_020_6p,31,6,True,False,2.842170943040401e-14,4.736951571734001e-15,1.9,15
