run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
export_cap_020_6p,1,6,700,3.333333333333333,1.5,56.0,150.0,-2138.5148189526803,-2143.822347915143,-5.307528962462584,0.8845881604104306,1.12,25.25,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0793620608580515,0.1425,0.0793620608580515,0.0631379391419484,0.4430732571364801,23,15,0.5244529282148278,dinkelbach,-0.0,True,0.8845881604104306,True,0.8845881604104306,1,1.11,0.4972933429082354,74.59400143623532,1.01645205932112,0.4892442672017149,0.5191587164128847,ok,True,False,1.7053025658242404e-13,2.8421709430404014e-14,3.37,18
export_cap_020_6p,2,6,700,3.333333333333333,1.5,56.0,150.0,-2042.1007182654128,-2048.542585195971,-6.441866930558035,1.0736444884263392,0.51,28.79,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,0.0,dinkelbach,-0.0,True,-0.0,True,1.0736444884263392,0,1.19,0.3032026911363878,45.48040367045818,0.6142710116425398,0.4935975902975368,0.3110683205061519,ok,True,False,1.7053025658242404e-13,2.8421709430404014e-14,2.9,19
export_cap_020_6p,3,6,700,3.333333333333333,1.5,56.0,150.0,-1860.4724456552187,-1862.680114571275,-2.207668916056264,0.3679448193427106,0.15,21.84,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0793620608580516,0.1425,0.0793620608580516,0.0631379391419484,0.44307325713648,24,22,2.8421709430404014e-14,dinkelbach,-0.0,True,0.3679448193427106,True,0.3679448193427106,1,0.35,0.5325481562628245,79.88222343942367,0.5861756850016678,0.9085128740222468,0.0536275287388433,ok,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.62,18
export_cap_020_6p,4,6,700,3.333333333333333,1.5,56.0,150.0,-2106.378568067065,-2109.576200566245,-3.1976324991806,0.5329387498634333,0.24,27.09,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,1.5973000699887052e-11,dinkelbach,-0.0,True,-0.0,True,0.5329387498634333,0,0.47,0.5381168682172822,80.71753023259234,0.993849703955944,0.5414469271111603,0.4557328357386617,ok,True,False,2.273736754432321e-13,3.7895612573872014e-14,3.0,18
export_cap_020_6p,5,6,700,3.333333333333333,1.5,56.0,150.0,-2100.1512944739225,-2103.2967716738326,-3.1454771999101467,0.5242461999850244,0.37,28.93,0.1425,191.52,0.1425,0.0,1.0,0.0,0.044290732644807,0.1425,0.044290732644807,0.0982092673551929,0.689187841089073,24,23,0.0421152602234542,dinkelbach,-0.0,True,0.5242461999850244,True,0.5242461999850244,1,0.79,0.461389037084163,69.20835556262445,0.913693860684626,0.5049711472707572,0.4523048236004631,ok,True,False,1.7053025658242404e-13,2.8421709430404014e-14,3.16,18
export_cap_020_6p,6,6,700,3.333333333333333,1.5,56.0,150.0,-2297.574218135009,-2303.547188356352,-5.972970221342621,0.9954950368904368,0.17,31.64,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0340977959474474,0.1425,0.0340977959474474,0.1084022040525525,0.7607172214214215,24,22,1.1368683772161605e-13,dinkelbach,-0.0,True,2.2837842728051787e-12,True,0.9954950368904368,0,1.28,0.3395099492678541,50.926492390178126,0.9790710947180656,0.3467674115796666,0.6395611454502114,ok,True,False,-2.842170943040401e-13,-4.7369515717340014e-14,2.53,18
export_cap_020_6p,7,6,700,3.333333333333333,1.5,56.0,150.0,-2243.422860472964,-2248.406820106081,-4.983959633117138,0.8306599388528563,0.64,26.19,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1424999999999999,0.0,0.1424999999999999,1.0,23,23,6.536993168992923e-13,dinkelbach,-0.0,True,-0.0,True,0.8306599388528563,0,0.83,0.2094035564571008,31.41053346856512,0.6188071129142017,0.3383987547766517,0.4094035564571008,ok,True,False,-2.842170943040401e-13,-4.7369515717340014e-14,2.85,18
export_cap_020_6p,8,6,700,3.333333333333333,1.5,56.0,150.0,-2334.361239589679,-2340.0811963426554,-5.719956752976486,0.9533261254960812,0.4,26.25,0.1425,191.52,0.1425,0.0,1.0,0.0036625027742613,0.0758222332419251,0.1425,0.0721597304676638,0.0666777667580748,0.480257625572594,24,24,4.831690603168681e-13,dinkelbach,-0.0,True,-0.0,True,0.9533261254960812,0,0.61,0.1771840822384123,26.577612335761845,0.5543681644768246,0.319614461277059,0.3771840822384122,ok,True,False,-2.842170943040401e-13,-4.7369515717340014e-14,2.9,19
export_cap_020_6p,9,6,700,3.333333333333333,1.5,56.0,150.0,-2380.230292981673,-2380.691769291036,-0.4614763093632064,0.076912718227201,0.19,41.42,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0340977959474474,0.1425,0.0340977959474474,0.1084022040525525,0.7607172214214215,24,23,1.1652900866465645e-12,dinkelbach,-0.0,True,3.833600104030666e-13,True,0.076912718227201,0,0.78,0.2371326408752167,35.56989613128251,0.6742652817504335,0.3516904211048892,0.4371326408752167,ok,True,False,2.131628207280301e-14,3.552713678800501e-15,2.21,17
export_cap_020_6p,10,6,700,3.333333333333333,1.5,56.0,150.0,-1785.4988703027366,-1787.4025823251743,-1.9037120224379576,0.3172853370729929,0.53,26.08,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0340977959474474,0.1425,0.0340977959474474,0.1084022040525525,0.7607172214214213,22,23,0.0,dinkelbach,-0.0,True,-0.0,True,0.3172853370729929,0,0.31,0.993849703955944,149.0774555933916,1.0510837794737675,0.9455475608742832,0.0572340755178237,ok,True,False,2.273736754432321e-13,3.7895612573872014e-14,2.51,18
