run,day,n_players,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
full_storage_6p,1,6,True,False,-3.3928415632544784e-13,-5.654735938757464e-14,4.39,13
full_storage_6p,2,6,True,False,2.291500322826323e-13,3.8191672047105385e-14,2.41,15
full_storage_6p,3,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.99,15
full_storage_6p,4,6,True,False,-3.3928415632544784e-13,-5.654735938757464e-14,4.13,13
full_storage_6p,5,6,True,False,-3.3928415632544784e-13,-5.654735938757464e-14,2.09,13
full_storage_6p,6,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.82,14
full_storage_6p,7,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.88,14
full_storage_6p,8,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,2.0,14
full_storage_6p,9,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.91,14
full_storage_6p,10,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.05,14
full_storage_6p,11,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,3.67,13
full_storage_6p,12,6,True,False,1.7763568394002505e-15,2.9605947323337506e-16,2.87,14
full_storage_6p,13,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,2.03,14
full_storage_6p,14,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,4.3,14
full_storage_6p,15,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,2.38,14
full_storage_6p,16,6,True,False,0.0,0.0,3.41,16
full_storage_6p,17,6,True,False,-1.1191048088221578e-13,-1.865174681370263e-14,2.45,13
full_storage_6p,18,6,True,False,0.0,0.0,4.39,16
full_storage_6p,19,6,True,False,-1.1191048088221578e-13,-1.865174681370263e-14,2.49,13
full_storage_6p,20,6,True,False,-3.3928415632544784e-13,-5.654735938757464e-14,2.25,15
full_storage_6p,21,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,4.83,13
full_storage_6p,22,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,2.64,14
full_storage_6p,23,6,True,False,-1.1191048088221578e-13,-1.865174681370263e-14,2.18,14
full_storage_6p,24,6,True,False,-1.1191048088221578e-13,-1.865174681370263e-14,2.96,13
full_storage_6p,25,6,True,False,0.0,0.0,2.46,16
full_storage_6p,26,6,True,False,-1.1191048088221578e-13,-1.865174681370263e-14,3.79,15
full_storage_6p,27,6,True,False,1.1546319456101628e-13,1.924386576016938e-14,3.0,13
full_storage_6p,28,6,True,False,5.684341886080802e-14,9.473903143468002e-15,3.44,14
full_storage_6p,29,6,True,False,-3.3928415632544784e-13,-5.654735938757464e-14,3.76,13
full_storage_6p,30,6,True,False,-2.255973186038318e-13,-3.759955310063864e-14,1.73,14
full_storage_6p,31,6,True,False,-3.3928415632544784e-13,-5.654735938757464e-14,1.9,13
