run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
full_storage_6p,1,6,700,3.333333333333333,1.5,56.0,150.0,-2179.102517081095,-2182.673742029516,-3.571224948421332,0.595204158070222,0.59,32.12,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,0.0,dinkelbach,-0.0,True,0.5952041580702243,True,0.595204158070222,1,1.43,0.4590917676743449,68.86376515115174,0.5915590552273651,0.7760708987843885,0.1324672875530201,ok,True,False,-3.392841563254479e-13,-5.6547359387574644e-14,4.39,13
full_storage_6p,2,6,700,3.333333333333333,1.5,56.0,150.0,-2116.71518122377,-2120.616310348312,-3.901129124541512,0.6501881874235854,1.01,27.16,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,0.0,dinkelbach,-0.0,True,-0.0,True,0.6501881874235854,0,1.84,0.3110683205061512,46.66024807592269,0.8172585922318147,0.3806241053479398,0.5061902717256634,ok,True,False,2.291500322826323e-13,3.8191672047105385e-14,2.41,15
full_storage_6p,3,6,700,3.333333333333333,1.5,56.0,150.0,-1892.5095221956155,-1894.551788416721,-2.042266221105365,0.3403777035175608,0.56,39.8,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0016296796403752,0.1425,0.0016296796403752,0.1408703203596248,0.9885636516464896,24,23,0.0,dinkelbach,-0.0,True,0.3403777035175608,True,0.3403777035175608,1,1.02,0.5608481239736431,84.12721859604648,0.873874062588315,0.6417951372906928,0.3130259386146719,ok,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.99,15
full_storage_6p,4,6,700,3.333333333333333,1.5,56.0,150.0,-2177.723087758093,-2181.263021607232,-3.5399338491383787,0.5899889748563965,0.72,20.14,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,2.842170943040401e-13,dinkelbach,-0.0,True,-0.0,True,0.5899889748563965,0,2.82,0.5425630343652375,81.38445515478561,1.0438638788278285,0.5197641621381615,0.5013008444625908,ok,True,False,-3.392841563254479e-13,-5.6547359387574644e-14,4.13,13
full_storage_6p,5,6,700,3.333333333333333,1.5,56.0,150.0,-2138.385961985655,-2139.947968088013,-1.562006102358282,0.260334350393047,0.3,60.25,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0101929366973596,0.1425,0.0101929366973596,0.1323070633026403,0.9284706196676517,24,23,0.0,dinkelbach,-0.0,True,0.260334350393047,True,0.260334350393047,1,2.01,0.4682104508846505,70.23156763269758,1.026950758987448,0.4559229805198218,0.5587403081027975,ok,True,False,-3.392841563254479e-13,-5.6547359387574644e-14,2.09,13
full_storage_6p,6,6,700,3.333333333333333,1.5,56.0,150.0,-2406.6447290289693,-2412.142453867208,-5.497724838238355,0.9162874730397258,0.6,25.24,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1424999999999998,0.0,0.1424999999999998,1.0,24,22,2.8421709430404014e-14,dinkelbach,-0.0,True,-1.6697754290362354e-12,True,0.9162874730397258,0,0.93,0.2576288865930606,38.64433298895909,0.5581538689659996,0.4615732344027777,0.300524982372939,ok,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,1.82,14
full_storage_6p,7,6,700,3.333333333333333,1.5,56.0,150.0,-2303.936183824715,-2307.8075789844784,-3.871395159763324,0.6452325266272206,0.61,23.46,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,2.8421709430404014e-14,dinkelbach,-0.0,True,-9.592326932761353e-13,True,0.6452325266272206,0,0.9,0.2084348250769585,31.26522376154378,1.0104586925664627,0.2062774328236567,0.8020238674895042,ok,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,1.88,14
full_storage_6p,8,6,700,3.333333333333333,1.5,56.0,150.0,-2398.676747917116,-2403.641447263306,-4.964699346189718,0.8274498910316197,1.24,31.59,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,0.0,dinkelbach,-0.0,True,-0.0,True,0.8274498910316197,0,1.45,0.0536676589554338,8.050148843315078,0.5687049385708987,0.0943681957295738,0.5150372796154647,ok,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,2.0,14
full_storage_6p,9,6,700,3.333333333333333,1.5,56.0,150.0,-2453.0980331087494,-2457.211480384799,-4.113447276049556,0.6855745460082593,0.63,23.07,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,0.0,dinkelbach,-0.0,True,-2.0037305148434825e-12,True,0.6855745460082593,0,1.64,0.1396397593056534,20.945963895848013,0.6651472399990441,0.2099381173194887,0.5255074806933907,ok,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,1.91,14
full_storage_6p,10,6,700,3.333333333333333,1.5,56.0,150.0,-1834.237823650062,-1835.663033388588,-1.4252097385258369,0.2375349564209727,0.15,20.96,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,1.6200374375330284e-12,dinkelbach,-0.0,True,-0.0,True,0.2375349564209727,0,0.52,1.0017153333257078,150.25729999885618,1.0599314649474936,0.9450755699335054,0.0582161316217857,ok,True,False,1.1546319456101628e-13,1.924386576016938e-14,2.05,14
full_storage_6p,11,6,700,3.333333333333333,1.5,56.0,150.0,-1756.9046004333172,-1761.0292403177425,-4.124639884425278,0.6874399807375463,0.48,17.33,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,6.821210263296962e-13,dinkelbach,-0.0,True,-0.0,True,0.6874399807375463,0,1.9,0.7527294167767717,112.90941251651576,1.0997315984204383,0.6844664806012017,0.3470021816436668,ok,True,False,1.1546319456101628e-13,1.924386576016938e-14,3.67,13
full_storage_6p,12,6,700,3.333333333333333,1.5,56.0,150.0,-1821.5055255034777,-1823.8508458420065,-2.3453203385283814,0.3908867230880635,0.84,46.24,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0753260272480494,0.1425,0.0753260272480494,0.0671739727519505,0.4713963000136879,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,0.3908867230880635,True,0.3908867230880635,1,2.19,0.6158603103950523,92.37904655925784,0.873874062588315,0.7047472133123445,0.2580137521932627,ok,True,False,1.7763568394002505e-15,2.96059473233375e-16,2.87,14
full_storage_6p,13,6,700,3.333333333333333,1.5,56.0,150.0,-2141.7168453870627,-2145.415661453,-3.6988160659375353,0.6164693443229226,0.51,24.03,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,22,0.0,dinkelbach,-0.0,True,-0.0,True,0.6164693443229226,0,1.25,0.4147270895163616,62.209063427454254,1.0104586925664627,0.4104344814561364,0.595731603050101,ok,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,2.03,14
full_storage_6p,14,6,700,3.333333333333333,1.5,56.0,150.0,-1889.257453829448,-1890.6774843432029,-1.4200305137551368,0.2366717522925228,0.52,41.95,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0445478013284066,0.1425,0.0445478013284066,0.0979521986715934,0.6873838503269712,23,24,5.6843418860808015e-12,dinkelbach,-0.0,True,0.2366717522925228,True,0.2366717522925228,1,2.96,0.7932651487719536,118.98977231579303,1.026950758987448,0.7724471128042171,0.2336856102154944,ok,True,False,1.1546319456101628e-13,1.924386576016938e-14,4.3,14
full_storage_6p,15,6,700,3.333333333333333,1.5,56.0,150.0,-2372.70512848534,-2376.7272155875694,-4.022087102229307,0.6703478503715511,0.19,21.73,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,24,1.1084466677857565e-12,dinkelbach,-0.0,True,-0.0,True,0.6703478503715511,0,0.6,0.1468929417288892,22.03394125933338,1.0104586925664627,0.1453725350769124,0.8635657508375735,ok,True,False,-2.255973186038318e-13,-3.7599553100638643e-14,2.38,14
full_storage_6p,16,6,700,3.333333333333333,1.5,56.0,150.0,-2109.9289326764933,-2113.320775062582,-3.3918423860886837,0.5653070643481138,0.9,20.91,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,23,24,1.6484591469634324e-12,dinkelbach,-0.0,True,2.2122859100193178e-12,True,0.5653070643481138,0,1.24,0.3611587751670254,54.17381627505382,1.0104586925664627,0.3574206227566994,0.6492999173994373,ok,True,False,0.0,0.0,3.41,16
full_storage_6p,17,6,700,3.333333333333333,1.5,56.0,150.0,-1747.480622468421,-1749.0716355993793,-1.5910131309583448,0.2651688551597241,0.16,48.08,0.1425,191.52,0.1425,0.0,1.0,0.0,0.1073192194434391,0.1424999999999994,0.1073192194434391,0.0351807805565603,0.2468826705723542,24,24,2.8421709430404014e-14,dinkelbach,-0.0,True,0.2651688551597218,True,0.2651688551597241,1,2.88,0.8695083643189825,130.42625464784737,1.026950758987448,0.84668944125062,0.1574423946684655,ok,True,False,-1.1191048088221579e-13,-1.8651746813702633e-14,2.45,13
full_storage_6p,18,6,700,3.333333333333333,1.5,56.0,150.0,-1976.786838750447,-1980.028358915078,-3.2415201646310834,0.5402533607718473,0.46,17.02,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,21,22,2.557953848736361e-13,dinkelbach,-0.0,True,-0.0,True,0.5402533607718473,0,0.89,0.6298871188807392,94.48306783211088,1.0438638788278285,0.6034188285047757,0.413976759947089,ok,True,False,0.0,0.0,4.39,16
