run,day,n_players,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
low_h2_margin_6p,1,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.75,19
low_h2_margin_6p,2,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,2.57,17
low_h2_margin_6p,3,6,True,False,0.0,0.0,3.71,19
low_h2_margin_6p,4,6,True,False,1.4210854715202004e-13,2.3684757858670007e-14,4.27,17
low_h2_margin_6p,5,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,2.32,17
low_h2_margin_6p,6,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.72,19
low_h2_margin_6p,7,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.88,19
low_h2_margin_6p,8,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.77,19
low_h2_margin_6p,9,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.71,19
low_h2_margin_6p,10,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,4.03,19
low_h2_margin_6p,11,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,3.72,19
low_h2_margin_6p,12,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.76,19
low_h2_margin_6p,13,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,3.35,19
low_h2_margin_6p,14,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.6,17
low_h2_margin_6p,15,6,True,False,1.4210854715202004e-13,2.3684757858670007e-14,2.31,17
low_h2_margin_6p,16,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,2.37,17
low_h2_margin_6p,17,6,True,False,-3.410605131648481e-13,-5.684341886080802e-14,3.04,18
low_h2_margin_6p,18,6,True,False,0.0,0.0,3.83,19
low_h2_margin_6p,19,6,True,False,1.4210854715202004e-13,2.3684757858670007e-14,3.19,17
low_h2_margin_6p,20,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.82,19
low_h2_margin_6p,21,6,True,False,0.0,0.0,5.22,19
low_h2_margin_6p,22,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.68,19
low_h2_margin_6p,23,6,True,False,0.0,0.0,3.42,19
low_h2_margin_6p,24,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,2.85,20
low_h2_margin_6p,25,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,5.2,19
low_h2_margin_6p,26,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,5.17,19
low_h2_margin_6p,27,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,3.41,17
low_h2_margin_6p,28,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,2.88,19
low_h2_margin_6p,29,6,True,False,1.4210854715202004e-13,2.3684757858670007e-14,2.54,17
low_h2_margin_6p,30,6,True,False,-2.2737367544323206e-13,-3.789561257387201e-14,2.82,19
low_h2_margin_6p,31,6,True,False,-5.684341886080802e-14,-9.473903143468002e-15,2.57,17
