run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks,converged,vstar_is_lower_bound,cost_of_stability_vstar,weak_eps,time_rowgen_s,n_coalitions
low_h2_margin_6p,1,6,700,2.0,3.0,56.0,150.0,-2878.617731316115,-2884.2173049004723,-5.599573584357131,0.9332622640595218,0.23,18.81,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,0.0,dinkelbach,-0.0,True,0.9332622640595218,True,0.9332622640595218,1,0.52,0.4495083912969781,67.42625869454672,0.9538125753918206,0.4712753877378086,0.5043041840948426,ok,True,False,-2.273736754432321e-13,-3.7895612573872014e-14,2.75,19
low_h2_margin_6p,2,6,700,2.0,3.0,56.0,150.0,-2685.942930501027,-2701.946688641579,-16.00375814055178,2.6672930234252967,0.14,15.7,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,5.684341886080803e-14,dinkelbach,-0.0,True,2.6672930234252945,True,2.6672930234252967,1,0.53,0.2884563994566226,43.26845991849339,0.9157744555652804,0.3149862913336745,0.6273180561086578,ok,True,False,-5.684341886080803e-14,-9.473903143468002e-15,2.57,17
low_h2_margin_6p,3,6,700,2.0,3.0,56.0,150.0,-2449.2608079451848,-2466.100675267553,-16.83986732236781,2.8066445537279683,0.18,18.15,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0528046537600078,0.1424999999999999,0.0528046537600078,0.089695346239992,0.629441026245559,24,23,2.8421709430404014e-14,dinkelbach,-0.0,True,2.8066445537279705,True,2.8066445537279683,1,0.52,0.4837676684579464,72.56515026869197,0.9920868708865904,0.4876263184751368,0.5083192024286438,ok,True,False,0.0,0.0,3.71,19
low_h2_margin_6p,4,6,700,2.0,3.0,56.0,150.0,-2809.6901980892167,-2830.3685188359127,-20.678320746696045,3.4463867911160078,1.25,16.25,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,2.842170943040401e-13,dinkelbach,-0.0,True,3.446386791116005,True,3.4463867911160078,1,0.89,0.491961597434013,73.79423961510196,0.9538125753918206,0.5157843481272179,0.4618509779578076,ok,True,False,1.4210854715202006e-13,2.3684757858670007e-14,4.27,17
low_h2_margin_6p,5,6,700,2.0,3.0,56.0,150.0,-2827.352890358606,-2835.346828730133,-7.9939383715272925,1.3323230619212154,0.17,19.46,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0315643353668313,0.1425,0.0315643353668313,0.1109356646331686,0.7784958921625869,24,24,4.547473508864641e-13,dinkelbach,-0.0,True,1.3323230619212154,True,1.3323230619212154,1,0.43,0.412608549279285,61.89128239189275,0.9538125753918206,0.4325887075978085,0.5412040261125356,ok,True,False,-5.684341886080803e-14,-9.473903143468002e-15,2.32,17
low_h2_margin_6p,6,6,700,2.0,3.0,56.0,150.0,-3090.7630348396133,-3099.698901976589,-8.935867136975958,1.489311189495993,0.13,15.85,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,0.0,dinkelbach,-0.0,True,1.489311189495993,True,1.489311189495993,1,0.64,0.3072604301791416,46.08906452687124,0.9538125753918206,0.3221392106860415,0.646552145212679,ok,True,False,-2.273736754432321e-13,-3.7895612573872014e-14,2.72,19
low_h2_margin_6p,7,6,700,2.0,3.0,56.0,150.0,-2993.9078347391937,-3002.0623675237125,-8.154532784518778,1.3590887974197965,0.64,16.72,0.1425,191.52,0.1425,0.0,1.0,0.0,0.003145590132341,0.1425,0.003145590132341,0.1393544098676589,0.9779256832818172,21,17,0.0,dinkelbach,-0.0,True,1.359088797419794,True,1.3590887974197965,1,0.56,0.1866749208214928,28.001238123223928,0.9538125753918206,0.1957144680597316,0.7671376545703278,ok,True,False,-2.273736754432321e-13,-3.7895612573872014e-14,2.88,19
low_h2_margin_6p,8,6,700,2.0,3.0,56.0,150.0,-3118.008966756815,-3123.286776548771,-5.27780979195586,0.8796349653259767,0.19,19.46,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1424999999999999,0.0,0.1424999999999999,1.0,24,23,2.501110429875553e-12,dinkelbach,-0.0,True,0.8796349653259767,True,0.8796349653259767,1,0.42,0.1374390644599333,20.615859668990005,0.9538125753918206,0.1440944143596284,0.8163735109318873,ok,True,False,-2.273736754432321e-13,-3.7895612573872014e-14,2.77,19
low_h2_margin_6p,9,6,700,2.0,3.0,56.0,150.0,-3154.8496541959407,-3162.507368137124,-7.657713941183374,1.2762856568638956,0.17,18.36,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,2.8421709430404014e-14,dinkelbach,-0.0,True,1.276285656863898,True,1.2762856568638956,1,0.56,0.2361411073144437,35.42116609716656,0.9538125753918206,0.2475760053985851,0.7176714680773768,ok,True,False,-2.273736754432321e-13,-3.7895612573872014e-14,2.71,19
low_h2_margin_6p,10,6,700,2.0,3.0,56.0,150.0,-2257.964180157332,-2277.937555620735,-19.9733754634035,3.3288959105672498,1.31,18.75,0.1425,191.52,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,0.0,dinkelbach,-0.0,True,3.328895910567301,True,3.3288959105672498,2,0.44,0.9481104402303404,142.21656603455105,1.0461503270403625,0.9062850870702452,0.098039886810022,ok,True,False,-2.273736754432321e-13,-3.7895612573872014e-14,4.03,19
