run,day,n_players,num_households,base_h2_price_eur,import_factor,pi_res,pi_peak,v_mip,v_chp,gap,eps_bound,time_mip_s,time_cg_s,r_sym,reserve_revenue,pool_standalone_sum,pool_gain_abs,pool_gain_ratio,mech_no_pooling,mech_time_only,mech_full,mech_gain_time,mech_gain_direction,mech_share_direction,n_binding_up,n_binding_dn,settlement_imbalance,stab_method,stab_excess_sigma,stab_holds_sigma,stab_excess_owen,stab_holds_owen,stab_eps_lr,stab_worst_S_size,stab_time_s,peak_value,peak_cost,sum_individual_peaks,coincidence_factor,peak_netting_saving,schema_checks
low_h2_reserve11_6p,1,6,700,2.0,3.0,11.0,150.0,-2724.717731316124,-2730.3173049004745,-5.59957358435031,0.933262264058385,0.28,19.94,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,7.815970093361102e-13,dinkelbach,-0.0,True,0.933262264058385,True,0.933262264058385,1,0.39,0.4495083912970046,67.42625869455068,0.9538125753918206,0.4712753877378364,0.504304184094816,ok
low_h2_reserve11_6p,2,6,700,2.0,3.0,11.0,150.0,-2532.042930501027,-2548.0466886415797,-16.003758140552236,2.6672930234253727,0.14,15.57,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,3.694822225952521e-13,dinkelbach,-0.0,True,2.6672930234253727,True,2.6672930234253727,1,0.63,0.2884563994566226,43.26845991849339,0.9378638835753336,0.3075674460956598,0.6494074841187111,ok
low_h2_reserve11_6p,3,6,700,2.0,3.0,11.0,150.0,-2295.3608079451847,-2312.200675267555,-16.839867322370537,2.806644553728423,0.17,17.92,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0528046537600087,0.1425,0.0528046537600087,0.0896953462399912,0.6294410262455528,24,23,7.808864666003501e-12,dinkelbach,-0.0,True,2.8066445537284253,True,2.806644553728423,1,0.55,0.4837676684579464,72.56515026869197,0.9920868708865904,0.4876263184751368,0.5083192024286438,ok
low_h2_reserve11_6p,4,6,700,2.0,3.0,11.0,150.0,-2655.790198089214,-2676.468518835911,-20.678320746696954,3.446386791116159,1.01,14.88,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,3.5527136788005016e-14,dinkelbach,-0.0,True,3.4463867911161614,True,3.446386791116159,1,1.11,0.4919615974340131,73.79423961510197,0.5581538689659996,0.881408559158409,0.0661922715319864,ok
low_h2_reserve11_6p,5,6,700,2.0,3.0,11.0,150.0,-2673.452890358606,-2681.446828730133,-7.993938371526838,1.3323230619211397,0.19,19.91,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0315643353668313,0.1425,0.0315643353668313,0.1109356646331686,0.7784958921625869,24,24,7.105427357601002e-15,dinkelbach,-0.0,True,1.3323230619211373,True,1.3323230619211397,1,0.51,0.412608549279285,61.89128239189275,0.9538125753918206,0.4325887075978085,0.5412040261125356,ok
low_h2_reserve11_6p,6,6,700,2.0,3.0,11.0,150.0,-2936.863034839613,-2945.7989019765846,-8.93586713697141,1.489311189495235,0.14,15.62,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,6.679101716144943e-13,dinkelbach,-0.0,True,1.489311189495233,True,1.489311189495235,1,0.53,0.3072604301791416,46.08906452687124,0.9538125753918206,0.3221392106860415,0.646552145212679,ok
low_h2_reserve11_6p,7,6,700,2.0,3.0,11.0,150.0,-2840.0078347391923,-2848.162367523703,-8.154532784510593,1.3590887974184322,0.46,15.56,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.003145590132341,0.1425,0.003145590132341,0.1393544098676589,0.9779256832818172,24,23,0.0,dinkelbach,-0.0,True,1.3590887974184298,True,1.3590887974184322,1,0.69,0.1866749208214929,28.00123812322393,0.1866749208214929,1.0,0.0,ok
low_h2_reserve11_6p,8,6,700,2.0,3.0,11.0,150.0,-2964.108966756816,-2969.386776548772,-5.277809791956315,0.8796349653260526,0.16,17.73,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1424999999999998,0.0,0.1424999999999998,1.0,24,23,7.815970093361102e-14,dinkelbach,-0.0,True,0.8796349653260549,True,0.8796349653260526,1,0.44,0.1374390644599334,20.615859668990023,0.9538125753918206,0.1440944143596285,0.8163735109318871,ok
low_h2_reserve11_6p,9,6,700,2.0,3.0,11.0,150.0,-3000.9496541959406,-3008.6073681370794,-7.657713941138809,1.2762856568564682,0.18,17.9,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,2.0605739337042905e-13,dinkelbach,-0.0,True,1.2762856568564658,True,1.2762856568564682,1,0.56,0.2361411073144437,35.42116609716656,0.9538125753918206,0.2475760053985851,0.7176714680773768,ok
low_h2_reserve11_6p,10,6,700,2.0,3.0,11.0,150.0,-2104.064180157332,-2124.0375556207355,-19.9733754634035,3.3288959105672498,2.24,16.69,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,22,0.0,dinkelbach,-0.0,True,3.328895910567301,True,3.3288959105672498,2,0.44,0.9481104402303404,142.21656603455105,1.0047565574049826,0.9436220477914132,0.0566461171746421,ok
low_h2_reserve11_6p,11,6,700,2.0,3.0,11.0,150.0,-1943.4178246402505,-1968.8819114564265,-25.464086816175723,4.244014469362621,1.88,17.5,0.1393544098676589,36.78956420506197,0.1425,-0.003145590132341,0.9779256832818172,0.0,0.0,0.1393544098676588,0.0,0.1393544098676588,1.0,19,22,1.0658141036401505e-13,dinkelbach,-0.0,True,4.244014469362671,True,4.244014469362621,2,0.91,0.2606237625142981,39.09356437714472,0.5581538689659996,0.4669389159607783,0.2975301064517014,ok
low_h2_reserve11_6p,12,6,700,2.0,3.0,11.0,150.0,-2176.1772826433053,-2199.8534928515924,-23.676210208287102,3.946035034714517,1.76,17.85,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0069870535469751,0.1424999999999999,0.0069870535469751,0.1355129464530247,0.9509680452843848,21,23,0.1282183464839903,dinkelbach,-0.0,True,3.94603503471452,True,3.946035034714517,1,0.49,0.5317355172502803,79.76032758754205,1.0104586925664627,0.5262318204217987,0.4787231753161823,ok
low_h2_reserve11_6p,13,6,700,2.0,3.0,11.0,150.0,-2594.2107828922985,-2613.142353892664,-18.931571000365693,3.1552618333942823,0.16,17.57,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1424999999999996,0.0,0.1424999999999996,1.0,24,22,1.0302869668521453e-12,dinkelbach,-0.0,True,3.155261833394285,True,3.1552618333942823,1,0.47,0.3966737015137842,59.50105522706763,0.9538125753918206,0.4158822306896436,0.5571388738780364,ok
low_h2_reserve11_6p,14,6,700,2.0,3.0,11.0,150.0,-2319.75190023409,-2339.104767410995,-19.352867176904965,3.225477862817494,1.09,18.5,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0528046537600079,0.1425,0.0528046537600079,0.089695346239992,0.6294410262455584,23,22,2.1103119252074976e-12,dinkelbach,-0.0,True,3.225477862817492,True,3.225477862817494,1,0.83,0.692356856950751,103.85352854261264,0.9538125753918206,0.7258835486272918,0.2614557184410696,ok
low_h2_reserve11_6p,15,6,700,2.0,3.0,11.0,150.0,-2933.960302810945,-2935.4484406050838,-1.4881377941383107,0.2480229656897184,0.12,18.94,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,1.6342482922482304e-13,dinkelbach,-0.0,True,0.2480229656897208,True,0.2480229656897184,1,0.34,0.1619835666441412,24.297534996621188,0.8153367413469506,0.1986707558113247,0.6533531747028093,ok
low_h2_reserve11_6p,16,6,700,2.0,3.0,11.0,150.0,-2570.5995805575453,-2594.343708768928,-23.74412821138276,3.9573547018971262,0.61,17.39,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,2.629008122312371e-13,dinkelbach,-0.0,True,3.957354701897124,True,3.9573547018971262,1,0.52,0.3454034085037669,51.81051127556504,0.5405253597232791,0.6390142521353587,0.1951219512195122,ok
low_h2_reserve11_6p,17,6,700,2.0,3.0,11.0,150.0,-2075.743124042201,-2103.8955905407965,-28.152466498595004,4.692077749765834,1.04,18.89,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0528046537600079,0.1424999999999998,0.0528046537600079,0.0896953462399919,0.629441026245558,24,23,0.0,dinkelbach,-0.0,True,4.692077749765834,True,4.692077749765834,1,0.6,0.8579894327312123,128.69841490968184,0.9139888202035864,0.9387307741248953,0.055999387472374,ok
low_h2_reserve11_6p,18,6,700,2.0,3.0,11.0,150.0,-2353.941780300875,-2381.935669424863,-27.993889123988083,4.665648187331347,1.34,18.78,0.1425,37.620000000000005,0.1425,0.0,1.0,0.0,0.0,0.1425,0.0,0.1425,1.0,24,23,2.2026824808563106e-13,dinkelbach,-0.0,True,4.665648187331347,True,4.665648187331347,1,0.63,0.5071474524359726,76.07211786539588,0.9681956352771904,0.5238067947814888,0.4610481828412179,ok
