quantity,n=6,n=15,n=30
days,31,31,31
eps,1.3719486499005535,0.7381364358798951,0.26502593746898306
excess,,0.2710513258783118,0.1186290441426511
excess_days,31,31,31
in_core,31,3,1
omega,8.231691899403323,11.07204653819843,7.950778124069493
omega_max,22.443805155412974,20.123771363964806,15.140081269824805
omega_min,0.5310450174251855,2.1280164262370818,3.655731586271031
rg_budget,,,3603.97
rg_certified,31,31,0
rg_cuts,15.036952481254177,234.22199636455574,
rg_cuts_cutoff,,,146.0
rg_days,31,31,1
rg_time,6.438424246193357,981.987245872861,
share_max,0.0,0.8593820454834271,0.9289562271719956
share_median,0.0,0.43187526023844863,0.47565824418173
t_cg,29.101315077042585,79.22268258166173,117.61479086427615
t_mip,1.049669727921134,5.579656226046576,32.53802926254673
v_mip,2555.772747317119,6274.998217737241,8658.442238132717
