scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,profit_ip_u7,profit_ip_u8,profit_ip_u9,profit_ip_u10,profit_ip_u11,profit_ip_u12,profit_ip_u13,profit_ip_u14,profit_ip_u15,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp_smooth,solve_time_chp_smooth_total,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,profit_chp_smooth_u7,profit_chp_smooth_u8,profit_chp_smooth_u9,profit_chp_smooth_u10,profit_chp_smooth_u11,profit_chp_smooth_u12,profit_chp_smooth_u13,profit_chp_smooth_u14,profit_chp_smooth_u15,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth
15player_baseline,0,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,1,0.956878901,1464.364744,66.51999441,430.8266302,78.40796815,90.89307567,209.7919958,359.9641996,72.4891994,441.1800911,805.6438698,38.69214857,98.00543924,100.8499176,334.8370754,300.6626753,3.37E-12,,TRUE,22.44408917,23.40096807,1464.364744,67.42510139,430.8266302,78.40796815,89.59472922,209.7919958,359.9641996,73.59029657,441.1800911,805.9915575,38.69214857,98.00543924,99.79437227,334.8370754,300.6626753,-9.33E-13,,TRUE
15player_baseline,1,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,2,1.760843039,1361.405515,65.56487623,431.5407766,80.2991868,90.89307567,209.7919958,358.6849867,73.12594486,441.8942374,754.4205185,39.13328191,99.3814002,100.8499176,335.0513193,302.5538939,2.03E-13,,TRUE,25.01092815,26.77177119,1361.405515,67.42510139,431.5407766,80.2991868,89.52675449,209.7919958,358.6849867,73.61378859,441.8942374,754.6139634,39.13328191,99.3814002,99.67472497,335.0513193,302.5538939,2.92E-12,,TRUE
15player_baseline,2,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,3,1.212174654,1157.980339,66.20162168,430.5963863,77.89625727,90.89307567,209.7919958,360.0937996,73.38220828,440.9498472,651.8149216,38.82174857,97.49372837,100.8499176,334.7680023,300.1509644,0,,TRUE,19.7121439,20.92431855,1157.980339,67.42510139,430.5963863,77.89625727,89.52675449,209.7919958,360.0937996,73.69231728,440.9498472,652.8228467,38.82174857,97.49372837,99.67472497,334.7680023,300.1509644,0,,TRUE
15player_baseline,3,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,4,0.863745213,1468.75617,66.45788511,430.5963863,78.33140033,90.89307567,209.7919958,360.0327284,73.46149766,440.9498472,806.8672843,38.82174857,97.91055006,100.8499176,334.7680023,300.5861074,0,,TRUE,26.64826727,27.51201248,1468.75617,67.42510139,430.5963863,78.33140033,89.52675449,209.7919958,360.0327284,73.83267732,440.9498472,808.0704022,38.82174857,97.91055006,99.67472497,334.7680023,300.5861074,0,,TRUE
15player_baseline,4,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,5,1.228613615,1407.491786,66.20162168,430.8266302,78.40796815,90.89307567,209.7919958,359.9641996,73.44431758,441.1800911,776.5706451,38.69214857,98.00543924,100.8499176,334.8370754,300.6626753,-6.24E-12,,TRUE,24.51321673,25.74183035,1407.491786,67.42510139,430.8266302,78.40796815,89.59472922,209.7919958,359.9641996,73.59029657,441.1800911,777.5550782,38.69214857,98.00543924,99.79437227,334.8370754,300.6626753,-5.50E-13,,TRUE
15player_baseline,5,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,6,1.268503189,1698.630899,65.56487623,431.8295571,80.93771547,90.89307567,209.7919958,358.3633568,73.38220828,442.1830179,922.7769469,38.81094857,100.0192937,100.8499176,335.1379535,303.1924226,7.55E-10,,TRUE,29.73626351,31.0047667,1698.630899,67.42510139,431.8295571,80.93771547,89.52756088,209.7919958,358.3633568,73.61230545,442.1830179,923.2222196,38.81094857,100.0192937,99.6798374,335.1379535,303.1924226,-1.41E-13,,TRUE
15player_baseline,6,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,7,1.376070261,1528.947755,66.20162168,431.5407766,80.2991868,90.89307567,209.7919958,358.6849867,72.8247522,441.8942374,837.8560857,39.13328191,99.3814002,100.8499176,335.0513193,302.5538939,2.68E-14,,TRUE,26.39898753,27.77505779,1528.947755,67.42510139,431.5407766,80.2991868,89.52675449,209.7919958,358.6849867,73.74541857,441.8942374,838.2534534,39.13328191,99.3814002,99.67472497,335.0513193,302.5538939,4.93E-13,,TRUE
15player_baseline,7,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,8,0.977541924,1659.905298,58.2457346,431.8061424,80.896389,101.5716206,209.7919958,358.3633568,64.74327152,442.1596033,897.7680206,38.81094857,99.97796724,111.5284625,335.1309291,303.1510961,2.301643426,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9', 'u11', 'u14', 'u15']",TRUE,22.11271691,23.09025884,1658.602814,67.20227355,432.0207766,81.39296679,89.83753033,209.7919958,358.2351246,73.46126075,442.3742374,903.0346494,38.69214857,100.5197043,99.79437227,335.1953193,303.6956629,0.232994301,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u11', 'u12', 'u13', 'u14', 'u15']",TRUE
15player_baseline,8,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,9,0.984101772,1741.557204,61.17082013,432.0207766,81.44095574,97.76391228,209.7919958,358.2351246,67.57776494,442.3742374,940.7211713,38.69214857,100.5197043,107.7207542,335.1953193,303.6956629,0.120687803,"['u1', 'u2', 'u3', 'u5', 'u6', 'u7', 'u8', 'u9', 'u11', 'u12', 'u14', 'u15']",TRUE,24.69041467,25.67451644,1741.557204,67.42510139,432.0207766,81.44095574,89.83753033,209.7919958,358.2351246,73.80591186,442.3742374,944.091507,38.69214857,100.5197043,99.79437227,335.1953193,303.6956629,0.037863802,"['u1', 'u2', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u11', 'u12', 'u13', 'u14', 'u15']",TRUE
15player_baseline,9,TRUE,FALSE,1.5,1,0.8,1,700,3.28,50,10,3.333333333,1,1,1,1,6,0,1,1,0.25,0.25,0.25,3,3,3,0.2,0.2,0.2,10,1.473754168,1193.866096,16.49182449,430.6119961,77.93060759,90.89307567,209.7919958,425.631548,22.82433144,440.9654569,620.0439371,57.39109948,132.6516312,100.8499176,334.7726852,300.1853147,16.0550252,"['u2', 'u3', 'u5', 'u6', 'u9', 'u10', 'u14', 'u15']",TRUE,26.58712602,28.06088018,1193.866096,26.59441309,430.6119961,77.93060759,87.68089954,209.7919958,413.1038405,31.30172814,440.9654569,630.0695826,54.01187861,126.1493684,97.86565409,334.7726852,300.1853147,2.010218741,"['u1', 'u3', 'u4', 'u5', 'u6', 'u7', 'u8', 'u9', 'u10', 'u12', 'u13', 'u14', 'u15']",TRUE
