scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,violation_ip,blocking_coalition_ip,isimp_ip,solve_time_chp,profit_chp_u1,profit_chp_u2,profit_chp_u3,profit_chp_u4,profit_chp_u5,profit_chp_u6,violation_chp,blocking_coalition_chp,isimp_chp,chp_price_electricity_0,chp_price_electricity_1,chp_price_electricity_2,chp_price_electricity_3,chp_price_electricity_4,chp_price_electricity_5,chp_price_electricity_6,chp_price_electricity_7,chp_price_electricity_8,chp_price_electricity_9,chp_price_electricity_10,chp_price_electricity_11,chp_price_electricity_12,chp_price_electricity_13,chp_price_electricity_14,chp_price_electricity_15,chp_price_electricity_16,chp_price_electricity_17,chp_price_electricity_18,chp_price_electricity_19,chp_price_electricity_20,chp_price_electricity_21,chp_price_electricity_22,chp_price_electricity_23,chp_price_heat_0,chp_price_heat_1,chp_price_heat_2,chp_price_heat_3,chp_price_heat_4,chp_price_heat_5,chp_price_heat_6,chp_price_heat_7,chp_price_heat_8,chp_price_heat_9,chp_price_heat_10,chp_price_heat_11,chp_price_heat_12,chp_price_heat_13,chp_price_heat_14,chp_price_heat_15,chp_price_heat_16,chp_price_heat_17,chp_price_heat_18,chp_price_heat_19,chp_price_heat_20,chp_price_heat_21,chp_price_heat_22,chp_price_heat_23,chp_price_hydrogen_0,chp_price_hydrogen_1,chp_price_hydrogen_2,chp_price_hydrogen_3,chp_price_hydrogen_4,chp_price_hydrogen_5,chp_price_hydrogen_6,chp_price_hydrogen_7,chp_price_hydrogen_8,chp_price_hydrogen_9,chp_price_hydrogen_10,chp_price_hydrogen_11,chp_price_hydrogen_12,chp_price_hydrogen_13,chp_price_hydrogen_14,chp_price_hydrogen_15,chp_price_hydrogen_16,chp_price_hydrogen_17,chp_price_hydrogen_18,chp_price_hydrogen_19,chp_price_hydrogen_20,chp_price_hydrogen_21,chp_price_hydrogen_22,chp_price_hydrogen_23,solve_time_chp_smooth,profit_chp_smooth_u1,profit_chp_smooth_u2,profit_chp_smooth_u3,profit_chp_smooth_u4,profit_chp_smooth_u5,profit_chp_smooth_u6,violation_chp_smooth,blocking_coalition_chp_smooth,isimp_chp_smooth,speedup_chp_smooth,obj_diff_chp_smooth
baseline,0,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,1,0.5620779991149902,1120.6422986451596,77.48482511173158,492.43633728222994,167.80692939258574,118.07072090546973,134.72189892093957,2.133230832145834,"['u1', 'u2', 'u4', 'u5']",True,15.27952790260315,1156.340718327693,78.65519773965795,480.4640281039517,145.33552657614837,115.64564058972536,134.72189892094025,-0.0,,True,71.20000000000007,71.19999999999993,66.10128711857382,61.80716056624898,61.807160566244775,64.9421587625334,53.15999999999993,64.94215876253593,64.94215876253641,76.00000000000007,71.19999999999911,71.2000000000003,3.6001566886685233e-13,6.850000000000348,71.19999999999999,71.19999999999963,71.20000000000009,71.19999999999992,71.20000000000029,64.66666666666673,64.67999999999994,65.08666666666666,65.08666666666666,64.72000000000004,45.99771428571457,45.99771428571434,45.99771428571441,45.99771428571428,45.99771428571446,45.99771428571435,68.9965714285716,68.99657142857143,68.99657142857143,68.99657142857141,45.997714285714395,45.99771428571442,45.99771428571423,45.9977142857145,45.99771428571419,45.997714285714295,45.99771428571432,68.99657142856977,68.99657142857144,68.99657142857146,68.99657142857143,68.99657142857151,68.99657142857141,45.997714285714046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.892393571266543,4.3830641778801605,4.594737640375694,3.333333333333333,3.3333333333333295,3.8323017784938,3.83230177849357,3.832301778493603,3.8323017784935893,3.8323017784938305,3.3333333333335267,3.3333333333333655,0.0,0.0,0.0,11.368565797805786,1156.3407183277077,78.65519773964328,480.46402810394625,145.3355265761412,115.6456405897361,134.72189892094195,-0.0,,True,1.3440154346955715,4.547473508864641e-13
baseline,1,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,2,0.09282994270324707,1205.0121141948705,81.00431139846825,446.9410622519963,69.70794801622037,81.27020243411232,134.72189892093957,-0.0,,True,12.143108129501343,1203.1196854791872,85.97985908965137,447.05453439576775,69.72326633286582,78.05829299819692,134.72189892093832,-0.0,,True,61.80716056624387,61.80716056624288,61.807160566244235,61.8071605662444,61.80716056624291,57.19280791470984,53.15999999999995,57.19280791470978,61.80716056624358,61.80716056624431,71.20000000000005,71.19999999999993,0.04999999999970055,6.850000000000108,71.20000000000044,71.32999999999998,84.91999999999983,96.77999999999997,96.7799999999998,97.00000000000016,97.01999999999984,97.63000000000001,97.62999999999987,97.08000000000004,45.99771428571414,45.99771428571452,45.99771428571451,45.9977142857147,45.997714285714125,45.99771428571406,68.99657142857171,68.9965714285715,68.99657142857156,68.99657142857151,45.997714285714316,45.99771428571467,45.99771428571447,45.99771428571463,45.99771428571435,45.9977142857141,45.997714285714416,68.99657142857167,68.99657142857167,68.99657142857124,68.99657142857183,68.99657142857134,68.9965714285713,45.99771428571485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333512,4.383064177880192,4.594737640375684,3.333333333333336,3.33333333333333,3.8323017784934756,3.8392076665722152,4.56113858187733,5.000000000000001,5.000000000000001,4.954107584379562,4.955118740582555,0.0,0.0,0.0,9.549165725708008,1203.1196854791863,85.97985908964893,447.05453439576627,69.72326633286627,78.05829299819959,134.7218989209398,-0.0,,True,1.271640735777576,0.0
baseline,2,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,3,0.09023714065551758,961.1711385376541,74.50484243254478,456.980556328282,89.23953001824464,116.29748161781202,134.72189892093957,-0.0,,True,10.18086290359497,957.0820940764551,78.29121133734094,457.84115833667124,91.23445902117362,113.74462616289628,134.72189892094002,-0.0,,True,81.99000000000017,78.61,78.60999999999993,78.60999999999993,78.61000000000017,78.61000000000017,79.74000000000001,79.74000000000011,77.32000000000001,75.99999999999986,71.20000000000022,71.19999999999975,0.04999999998552817,6.850000000000159,71.20000000000002,71.33000000000017,64.5894000000132,64.58940000006197,79.74000000003196,64.94215876253575,79.74000000000372,65.08666666666733,65.08666666667345,64.71999999999889,45.99771428571415,45.99771428571443,45.99771428571424,45.99771428571416,45.997714285714224,45.997714285714096,68.99657142857134,68.99657142857141,68.99657142857144,68.9965714285714,45.99771428571421,45.997714285714025,45.99771428571428,45.997714285714345,45.99771428571449,45.99771428571408,45.99771428571415,68.99657142857139,68.99657142857144,68.99657142857124,68.99657142857151,68.99657142857146,68.99657142857134,45.997714285714245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.892393571266532,4.383064177880172,4.5947376403756035,3.3333333333333295,3.333333333333341,3.832301778493432,3.8392076665720807,3.481132057470114,3.481132057472859,4.285965503050479,3.3333333333332855,4.081479781221058,0.0,0.0,0.0,9.869992017745972,957.0820940763425,78.29121133733912,457.84115833669523,91.2344590212208,113.74462616294068,134.72189892093866,-0.0,,True,1.031496569124885,1.8189894035458565e-12
baseline,3,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,4,0.09949803352355957,1250.9283171133145,81.79090659576636,463.48539261340545,105.68903969659493,79.76401123240038,134.72189892093957,-0.0,,True,16.05032229423523,1253.1314014284842,86.251759777297,462.7772327443755,104.19411525045507,75.30315805086997,134.72189892093957,-0.0,,True,57.19280791470954,57.1928079147095,61.80716056624348,61.80716056624345,61.80716056624325,61.80716056624352,53.16000000000003,61.80716056624342,64.94215876253547,75.99999999999989,71.20000000000013,71.19999999999992,0.04999999999983823,6.849999999999985,71.2,71.32999999999998,84.91999999999997,96.7799999999999,96.77999999999994,96.77999999999997,96.78000000000016,65.08666666666666,65.08666666666672,64.71999999999991,45.997714285714416,45.99771428571442,45.99771428571439,45.997714285714586,45.99771428571456,45.99771428571409,68.99657142857137,68.99657142857147,68.9965714285714,68.99657142857146,45.99771428571406,45.997714285713954,45.997714285714245,45.99771428571444,45.99771428571424,45.99771428571432,45.99771428571437,68.9965714285712,68.99657142857156,68.99657142857144,68.99657142857147,68.99657142857143,68.9965714285714,45.9977142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8923935712664584,4.383064177880174,4.594737640375619,3.333333333333333,3.333333333333334,3.83230177849345,3.8392076665721695,4.5611385818772865,5.000000000000001,4.999999999999992,4.942984866146974,4.942984866146972,0.0,0.0,0.0,11.771004915237427,1253.131401428481,86.25175977729614,462.77723274437494,104.19411525045689,75.30315805087116,134.72189892094104,-0.0,,True,1.3635473275062757,1.5916157281026244e-11
baseline,4,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,5,0.11249804496765137,1145.6450044374756,76.16441313389772,472.51061370499417,129.84506103833348,109.24518574869302,134.72189892093957,-0.0,,True,17.560715913772583,1169.068753088352,78.74153361921216,465.8921428868691,116.85818591868212,102.84966255027899,134.7218989209391,-0.0,,True,78.6100000000004,63.80253750311847,78.61000000000018,78.6100000000005,78.60999999999973,57.192807914704616,53.15999999999987,64.94215876253276,64.94215876253458,75.99999999999994,71.20000000000044,71.20000000000017,0.049999999999208754,6.849999999998931,71.19999999999997,71.32999999999998,78.6100000000005,78.6100000000007,78.61000000000054,78.61000000000038,64.68000000000006,65.08666666666673,65.08666666666691,64.72000000000021,45.99771428571428,45.99771428571436,45.99771428571398,45.99771428571453,45.99771428571395,45.99771428571434,68.99657142857146,68.9965714285715,68.99657142857151,68.99657142857134,45.997714285714274,45.997714285714665,45.99771428571422,45.99771428571455,45.99771428571387,45.99771428571441,45.99771428571451,68.99657142857176,68.9965714285713,68.99657142857139,68.99657142857136,68.99657142857141,68.9965714285715,45.99771428571471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.892393571266487,4.383064177880076,4.594737640375717,3.333333333333319,3.3333333333333557,3.832301778493583,3.8392076665721766,4.22593739897963,4.225937398979648,4.225937398979915,4.011095282808426,3.333333333333302,0.0,0.0,0.0,12.211887836456299,1169.0687530883536,78.74153361921671,465.89214288686264,116.85818591868065,102.8496625502749,134.7218989209448,-0.0,,True,1.4380017364185382,1.1823431123048067e-11
baseline,5,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,6,0.1060190200805664,1310.1048428884194,92.92035980078381,493.06173150552524,168.41790761040545,117.33906253444621,134.72189892093957,-0.0,,True,20.925122022628784,1312.5196034008247,95.28203308300223,492.2748421563149,166.79003644721058,114.97738925222859,134.72189892093877,-0.0,,True,61.80716056624285,57.19280791470857,57.19280791471004,57.192807914709185,57.19280791470958,57.19280791470946,53.16000000000004,57.192807914709164,61.807160566243404,61.80716056624357,71.20000000000003,71.20000000000009,0.04999999999975008,6.850000000000123,71.20000000000017,71.33000000000007,71.3299999999999,71.32999999999993,71.32999999999997,71.3299999999999,71.32999999999994,65.0866666666667,65.08666666666666,64.72000000000003,45.997714285714274,45.99771428571431,45.997714285714274,45.99771428571429,45.9977142857142,45.99771428571414,68.99657142857151,68.99657142857158,68.99657142857158,68.99657142857133,45.99771428571449,45.997714285714366,45.99771428571442,45.9977142857142,45.99771428571445,45.997714285714366,45.99771428571417,68.99657142857177,68.99657142857163,68.99657142857137,68.99657142857154,68.99657142857154,68.99657142857139,45.9977142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333126,4.383064177880147,4.594737640375625,3.333333333333332,3.333333333333328,3.8323017784934548,3.839207666572198,3.839207666572213,3.8392076665721615,3.8392076665720944,3.656288597874193,3.6562885978741795,0.0,0.0,0.0,12.077197790145874,1312.5196034008277,95.28203308300331,492.274842156314,166.7900364472091,114.97738925222677,134.72189892093888,-0.0,,True,1.7326140041941005,9.094947017729282e-13
baseline,6,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,7,0.10342907905578613,1383.524356818413,78.87443902451227,445.73411913211214,67.60305212777405,81.27498973410258,134.72189892093957,-0.0,,True,15.896790027618408,1382.513102182402,84.1156942321102,445.51917726345926,66.79957772842829,78.06340543051374,134.7218989209398,-0.0,,True,61.80716056624303,61.80716056624488,61.807160566242686,61.80716056624372,61.80716056624314,61.807160566244896,53.160000000000025,61.80716056624441,61.80716056624406,61.8071605662417,71.19999999999919,71.19999999999935,0.049999999999846466,6.8499999999998185,71.20000000000242,71.33000000000108,84.92000000000101,96.77999999999967,96.77999999999996,97.00000000000061,97.00000000000085,97.00000000000145,97.00000000000085,97.00000000000026,45.9977142857145,45.99771428571433,45.99771428571432,45.99771428571434,45.99771428571433,45.997714285714316,68.99657142857126,68.99657142857127,68.99657142857154,68.9965714285714,45.99771428571421,45.997714285714395,45.99771428571438,45.99771428571427,45.997714285714494,45.99771428571444,45.9977142857145,68.99657142857062,68.99657142857136,68.99657142857147,68.99657142857126,68.9965714285716,68.99657142857141,45.9977142857141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333095,4.383064177880073,4.5947376403756195,3.333333333333333,3.3333333333333406,3.8323017784935485,3.8392076665721184,4.56113858187721,5.000000000000001,5.000000000000001,4.9541075843795825,4.9541075843795666,0.0,0.0,0.0,10.596040964126587,1382.5131021823308,84.11569423211708,445.5191772634739,66.79957772845933,78.06340543053079,134.72189892094104,-0.0,,True,1.500257509520562,1.3642420526593924e-12
baseline,7,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,8,0.12829899787902832,1321.13837255536,76.23695735611624,483.7346382060821,152.34044908536214,118.52042283155026,134.72189892093957,-0.0,,True,16.742859840393066,1304.5957138262127,82.28654278045141,487.42226961122003,159.14589098503563,118.5204228315518,134.72189892093934,-0.0,,True,71.19999999999982,67.32697623520772,67.32697623520798,61.80716056624244,61.082395956963566,57.19280791470849,53.160000000000004,57.19280791470844,61.807160566244164,61.8071605662428,71.20000000000005,71.19999999999983,0.05000000000097183,6.84999999999785,71.19999999999776,71.20000000000076,71.20000000000051,71.20000000000068,71.20000000000013,65.20431752507162,64.6799999999998,65.08666666666659,65.08666666666652,64.72000000000011,45.99771428571469,45.997714285714686,45.997714285714494,45.997714285714565,45.9977142857145,45.99771428571457,68.9965714285713,68.99657142857137,68.99657142857131,68.99657142857134,45.99771428571456,45.99771428571467,45.997714285714316,45.99771428571479,45.997714285714444,45.997714285714686,45.997714285714615,68.99657142856948,68.9965714285715,68.99657142857139,68.99657142857146,68.99657142857143,68.99657142857137,45.99771428571447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333314,4.383064177880231,4.594737640375663,3.333333333333221,3.3333333333333415,3.8323017784934517,3.8323017784933833,3.8323017784933624,3.8323017784934708,3.832301778493424,3.3333333333333655,3.333333333333326,0.0,0.0,0.0,11.2552969455719,1304.5957138262117,82.28654278045215,487.4222696112196,159.14589098503586,118.52042283155129,134.7218989209398,-0.0,,True,1.4875538087851252,1.0459189070388675e-11
baseline,8,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,9,0.10157227516174316,1352.8164220131152,85.84362188161666,491.25911103248404,166.52568285341545,118.52042283155026,134.72189892093957,-0.0,,True,20.52094793319702,1351.794858849386,87.28746783894323,491.1855813868732,166.17692970543112,118.52042283154816,134.72189892093945,-0.0,,True,61.80716056624614,61.80716056624495,61.8071605662417,61.80716056624521,61.807160566241336,57.672000000000004,53.159999999999975,57.67199999999989,61.8071605662439,61.807160566242025,71.20000000000007,71.20000000000023,0.050000000000007996,6.849999999999061,71.19999999999993,71.20000000000013,71.20000000000014,71.19999999999979,71.20000000000002,64.66666666666666,64.67999999999995,65.08666666666672,65.08666666666657,64.72000000000004,45.99771428571445,45.99771428571434,45.99771428571437,45.9977142857143,45.99771428571415,45.99771428571424,68.99657142857133,68.99657142857137,68.99657142857149,68.99657142857156,45.99771428571426,45.99771428571438,45.997714285714096,45.997714285714395,45.99771428571423,45.99771428571429,45.997714285714196,68.99657142857147,68.99657142857133,68.99657142857149,68.99657142857144,68.99657142857151,68.99657142857146,45.99771428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333279,4.383064177880309,4.594737640375751,3.333333333333324,3.3333333333333472,3.8323017784935285,3.8323017784934597,3.8323017784933433,3.8323017784934703,3.8323017784933633,3.3333333333332713,3.3333333333333774,0.0,0.0,0.0,11.976876020431519,1351.794858849387,87.28746783894158,491.1855813868708,166.17692970543078,118.52042283154935,134.7218989209415,-0.0,,True,1.7133806760786412,2.0463630789890885e-11
baseline,9,True,False,1.5,1,0.8,1,700,3.28,50,10,3.3333333333333335,1.0,1.0,1.0,1,6,0.0,1.0,1.0,0.25,0.25,0.25,3.0,0.0,0.0,0.2,0.2,0.2,10,0.096771240234375,993.2302088759307,77.2133733513561,458.4591554578087,93.59151265251626,84.09244394859695,134.72189892093957,-0.0,,True,13.760220050811768,991.7533938291383,82.20505789239846,458.7080505010915,93.99463321716769,79.9255588464145,134.72189892093775,-0.0,,True,61.80716056624471,61.80716056624474,61.80716056624481,61.80716056624317,64.94215876253651,64.94215876253462,61.80716056624474,79.74000000000007,77.31999999999991,75.99999999999979,71.20000000000014,71.19999999999986,6.8823566715405174e-15,6.85000000000033,71.20000000000005,71.33000000000004,84.92000000000003,93.18135374708059,93.18135374707879,87.90123456790137,87.90123456790162,65.08666666666672,65.08666666666666,64.72,45.99771428571492,45.99771428571389,45.99771428571461,45.99771428571533,45.99771428571496,45.99771428571335,68.99657142857193,68.99657142857144,68.9965714285715,68.9965714285714,45.99771428571444,45.99771428571391,45.99771428571453,45.997714285714856,45.997714285715425,45.997714285715766,45.997714285714984,68.99657142857147,68.99657142857144,68.99657142857147,68.99657142857136,68.99657142857154,68.99657142857143,45.997714285713414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8923935712665694,4.383064177880195,4.594737640375496,3.3333333333333472,3.333333333333343,3.8323017784936053,3.839207666572092,4.56113858187754,5.000000000000002,5.000000000000001,4.494093929080164,4.494093929080199,0.0,0.0,0.0,8.38202714920044,991.7533938291325,82.20505789239348,458.70805050109095,93.9946332171703,79.92555884642155,134.72189892093934,-0.0,,True,1.641633915743682,4.320099833421409e-12
