scenario,run_id,use_korean_price,use_tou_elec,import_factor,month,hp_cap,els_cap,num_households,nu_cop,c_su_G,c_su_H,base_h2_price_eur,e_E_cap_ratio,e_H_cap_ratio,e_G_cap_ratio,eff_type,segments,peak_penalty_ratio,wind_el_ratio,solar_el_ratio,storage_power_ratio_E,storage_power_ratio_G,storage_power_ratio_H,storage_capacity_ratio_E,storage_capacity_ratio_G,storage_capacity_ratio_H,initial_soc_ratio_E,initial_soc_ratio_G,initial_soc_ratio_H,day,solve_time_ip,profit_ip_u1,profit_ip_u2,profit_ip_u3,profit_ip_u4,profit_ip_u5,profit_ip_u6,violation_ip,blocking_coalition_ip,solve_time_chp,profit_chp_u1,profit_chp_u2,profit_chp_u3,profit_chp_u4,profit_chp_u5,profit_chp_u6,violation_chp,blocking_coalition_chp,chp_price_electricity_0,chp_price_electricity_1,chp_price_electricity_2,chp_price_electricity_3,chp_price_electricity_4,chp_price_electricity_5,chp_price_electricity_6,chp_price_electricity_7,chp_price_electricity_8,chp_price_electricity_9,chp_price_electricity_10,chp_price_electricity_11,chp_price_electricity_12,chp_price_electricity_13,chp_price_electricity_14,chp_price_electricity_15,chp_price_electricity_16,chp_price_electricity_17,chp_price_electricity_18,chp_price_electricity_19,chp_price_electricity_20,chp_price_electricity_21,chp_price_electricity_22,chp_price_electricity_23,chp_price_heat_0,chp_price_heat_1,chp_price_heat_2,chp_price_heat_3,chp_price_heat_4,chp_price_heat_5,chp_price_heat_6,chp_price_heat_7,chp_price_heat_8,chp_price_heat_9,chp_price_heat_10,chp_price_heat_11,chp_price_heat_12,chp_price_heat_13,chp_price_heat_14,chp_price_heat_15,chp_price_heat_16,chp_price_heat_17,chp_price_heat_18,chp_price_heat_19,chp_price_heat_20,chp_price_heat_21,chp_price_heat_22,chp_price_heat_23,chp_price_hydrogen_0,chp_price_hydrogen_1,chp_price_hydrogen_2,chp_price_hydrogen_3,chp_price_hydrogen_4,chp_price_hydrogen_5,chp_price_hydrogen_6,chp_price_hydrogen_7,chp_price_hydrogen_8,chp_price_hydrogen_9,chp_price_hydrogen_10,chp_price_hydrogen_11,chp_price_hydrogen_12,chp_price_hydrogen_13,chp_price_hydrogen_14,chp_price_hydrogen_15,chp_price_hydrogen_16,chp_price_hydrogen_17,chp_price_hydrogen_18,chp_price_hydrogen_19,chp_price_hydrogen_20,chp_price_hydrogen_21,chp_price_hydrogen_22,chp_price_hydrogen_23,isimp_ip,isimp_chp
export_cap_050,0,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,1,0.232290745,1288.453692,193.4653302,627.1582362,0,0,0,2.114356085,"['u1', 'u2']",92.77265906,1301.680709,192.2106226,615.185927,0.0,0.0,0.0,3.95e-10,,71.2,71.2,66.10128712,61.80716057,61.80716057,64.94215876,53.16,64.94215876,64.94215876,76.0,71.2,71.2,0.05,6.85,71.2,71.2,71.2,71.2,71.2,64.66666667,64.68,65.08666667,65.08666667,64.72,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.518828862,3.522209008,3.333333333,3.333333333,3.333333333,3.333333333,5.0,3.333333333,3.333333333,3.892393571,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.832301778,3.832301778,3.832301778,3.832301778,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,True,True
export_cap_050,1,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,2,0.146812201,1274.724526,160.1842981,581.6629612,0,0,0,-1.7e-12,,94.5588367,1272.847415,161.9479363,581.7764333,0.0,0.0,0.0,-5.83e-13,,61.80716057,61.80716057,61.80716057,61.80716057,61.80716057,57.19280791,53.16,57.19280791,61.80716057,61.80716057,71.2,71.2,0.05,6.85,71.2,71.33,84.92,96.78,96.78,97.0,97.02,97.63,97.63,97.08,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,5.0,3.333333333,3.333333333,3.333333333,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.839207667,4.561138582,5.0,5.0,4.954107584,4.955118741,4.930070219,5.0,5.0,True,True
export_cap_050,2,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,3,0.151850224,1050.415132,188.7121083,591.7024552,0,0,0,2.61e-12,,94.43920827,1048.321017,189.9456217,592.5630573,0.0,0.0,0.0,4.73e-12,,81.99,78.61,78.61,78.61,78.61,78.61,79.74,79.74,77.32,76.0,71.2,71.2,0.05,6.85,71.2,71.33,64.5894,64.5894,79.74,64.94215876,79.74,65.08666667,65.08666667,64.72,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,4.566270584,5.0,3.333333333,3.333333333,3.892393571,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.839207667,3.481132057,3.481132057,4.285965503,3.333333333,4.081479781,3.340639337,3.333333333,3.333333333,True,True
export_cap_050,3,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,4,0.154584408,1356.62182,159.4647021,598.2072915,0,0,0,4.4e-12,,98.3056972,1357.32998,159.4647021,597.4991317,0.0,0.0,0.0,1.44e-12,,57.19280791,57.19280791,61.80716057,61.80716057,61.80716057,61.80716057,53.16,61.80716057,64.94215876,76.0,71.2,71.2,0.05,6.85,71.2,71.33,84.92,96.78,96.78,96.78,96.78,65.08666667,65.08666667,64.72,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,5.0,3.333333333,3.333333333,3.892393571,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.839207667,4.561138582,5.0,5.0,4.942984866,4.942984866,3.333333333,3.333333333,3.333333333,True,True
export_cap_050,4,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,5,0.153314829,1275.494529,183.3193831,607.2325126,0,0,0,-1.81e-11,,100.6987543,1285.931403,179.5009804,600.6140418,0.0,0.0,0.0,-9.66e-13,,78.61,63.8025375,78.61,78.61,78.61,57.19280791,53.16,64.94215876,64.94215876,76.0,71.2,71.2,0.05,6.85,71.2,71.33,78.61,78.61,78.61,78.61,64.68,65.08666667,65.08666667,64.72,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.892393571,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.839207667,4.225937399,4.225937399,4.225937399,4.011095283,3.333333333,3.333333333,3.333333333,3.333333333,True,True
export_cap_050,5,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,6,0.150112152,1470.600129,213.6617227,630.1442985,0,0,0,0.0,,92.24226665,1471.387019,213.6617227,629.3574091,0.0,0.0,0.0,-3.98e-13,,61.80716057,57.19280791,53.16,53.16,53.16,57.19280791,53.16,57.19280791,61.80716057,61.80716057,71.2,71.2,0.05,6.85,71.2,71.33,71.33,71.33,71.33,71.33,71.33,65.08666667,65.08666667,64.72,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.333333333,3.333333333,3.101817289,3.101817289,3.101817289,3.333333333,5.0,3.333333333,3.333333333,3.333333333,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.839207667,3.839207667,3.839207667,3.839207667,3.656288598,3.656288598,3.333333333,3.333333333,3.333333333,True,True
export_cap_050,6,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,7,0.150646687,1451.131873,158.059213,580.4560181,0,0,0,-1.8e-11,,114.0812058,1449.317144,160.0888839,580.2410762,0.0,0.0,0.0,-6.82e-13,,61.80716057,61.80716057,61.80716057,61.80716057,61.80716057,61.80716057,53.16,61.80716057,61.80716057,61.80716057,71.2,71.2,0.05,6.85,71.2,71.33,84.92,96.78,96.78,97.0,97.0,97.0,97.0,97.0,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,5.0,3.333333333,3.333333333,3.333333333,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.839207667,4.561138582,5.0,5.0,4.954107584,4.954107584,4.954107584,3.333333333,5.0,True,True
export_cap_050,7,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,8,0.489323854,1473.483285,192.6671644,618.4565371,0,0,0,-4.97e-12,,73.67266822,1463.746068,198.7167498,622.1441685,0.0,0.0,0.0,1.11e-14,,71.2,67.32697624,67.32697624,61.80716057,61.08239596,57.19280791,53.16,57.19280791,61.80716057,61.80716057,71.2,71.2,0.05,6.85,71.2,71.2,71.2,71.2,71.2,65.20431753,64.68,65.08666667,65.08666667,64.72,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,5.0,3.333333333,3.333333333,3.333333333,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.832301778,3.832301778,3.832301778,3.832301778,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,True,True
export_cap_050,8,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,9,0.155472994,1519.346569,202.2738289,625.98101,0,0,0,-3.13e-13,,92.96525574,1517.976252,203.7176749,625.9074803,0.0,0.0,0.0,-7.46e-13,,61.80716057,61.80716057,61.80716057,61.80716057,61.80716057,57.672,53.16,57.672,61.80716057,61.80716057,71.2,71.2,0.05,6.85,71.2,71.2,71.2,71.2,71.2,64.66666667,64.68,65.08666667,65.08666667,64.72,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,5.0,3.333333333,3.333333333,3.333333333,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.832301778,3.832301778,3.832301778,3.832301778,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,True,True
export_cap_050,9,True,False,1.5,1,0.8,1,700,3.28,50,10,3.333333333,0.5,0.5,0.5,1,6,0,1,1,0.25,0.25,0.25,3,0,0,0.2,0.2,0.2,10,0.155986309,1092.84511,159.2156015,593.1810544,0,0,0,-1.28e-13,,89.65529585,1091.771416,160.040401,593.4299494,0.0,0.0,0.0,1.73e-12,,61.80716057,61.80716057,61.80716057,61.80716057,64.94215876,64.94215876,61.80716057,79.74,77.32,76.0,71.2,71.2,0.05,6.85,71.2,71.33,84.92,93.18135375,93.18135375,87.90123457,87.90123457,65.08666667,65.08666667,64.72,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,45.99771429,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,68.99657143,45.99771429,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,3.333333333,5.0,3.333333333,3.333333333,3.892393571,4.383064178,4.59473764,3.333333333,0.505545828,3.832301778,3.839207667,4.561138582,5.0,5.0,4.494093929,4.494093929,3.333333333,3.333333333,3.333333333,True,True
