time,electricity,heat,hydro
0,54.66,22.99885714285714,0.0
1,52.406666666666666,22.99885714285714,0.0
2,52.406666666666666,22.99885714285714,0.0
3,52.406666666666666,22.99885714285714,0.0
4,52.406666666666666,22.99885714285714,0.0
5,52.406666666666666,22.99885714285714,0.0
6,53.16,68.99657142857143,0.0
7,159.48,68.99657142857143,0.0
8,154.64,68.99657142857143,0.0
9,152.0,68.99657142857143,6.0
10,142.4,46.10463414634147,6.0
11,142.4,46.10463414634147,6.0
12,0.0,22.99885714285714,2.0
13,13.7,22.99885714285714,2.0
14,125.67984582673664,41.00702616668801,6.0
15,101.80067511965667,33.726791195017285,6.0
16,125.67984582673664,41.00702616668801,6.0
17,125.67984582673664,68.99657142857143,6.0
18,125.67984582673664,68.99657142857143,6.0
19,125.67984582673664,68.99657142857143,6.0
20,125.67984582673664,68.99657142857143,6.0
21,65.08666666666667,68.99657142857143,0.0
22,65.08666666666667,68.99657142857143,0.0
23,64.72,22.99885714285714,0.0
