sensitivity_analysis,violation_lp,solve_time,profit_lp
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 0.5, 'e_H_cap': 0.5}",-3.0430647200319072e-05,0.01611638069152832,"{'u1': np.float64(837.7340735812112), 'u2': np.float64(30.197276654668677), 'u3': np.float64(412.68754753003213), 'u4': np.float64(-9.977444199986024), 'u5': np.float64(-159.2128694102394), 'u6': np.float64(-22.025118353893898), 'u7': np.float64(231.5796941920095)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 0.5, 'e_H_cap': 1.0}",-3.034616316632821e-05,0.014348983764648438,"{'u1': np.float64(851.9342199001435), 'u2': np.float64(21.47103256448773), 'u3': np.float64(812.2787887471022), 'u4': np.float64(-10.494740145515127), 'u5': np.float64(-159.2292234594415), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(231.57969419200947)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 0.5, 'e_H_cap': 1.5}",-3.0346162910532826e-05,0.013533830642700195,"{'u1': np.float64(851.9342199001435), 'u2': np.float64(21.471032564487757), 'u3': np.float64(812.2787887471022), 'u4': np.float64(-10.494740145515127), 'u5': np.float64(-159.22922345944153), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(231.57969419200947)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 0.5, 'e_H_cap': 2.0}",-3.0346162910532826e-05,0.016716718673706055,"{'u1': np.float64(851.9342199001435), 'u2': np.float64(21.471032564487757), 'u3': np.float64(812.2787887471022), 'u4': np.float64(-10.494740145515127), 'u5': np.float64(-159.22922345944153), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(231.57969419200947)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 1.0, 'e_H_cap': 0.5}",-2.4410719442258255e-05,0.015128135681152344,"{'u1': np.float64(1055.2316355760036), 'u2': np.float64(5.869521969488044), 'u3': np.float64(374.53445104173755), 'u4': np.float64(-16.996929050905138), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-36.07510051667179), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 1.0, 'e_H_cap': 1.0}",-1.3157894693804906e-05,0.015839815139770508,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(5.855428915128137), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 1.0, 'e_H_cap': 1.5}",-1.3157894745319254e-05,0.015707969665527344,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(5.855428915128137), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 1.0, 'e_H_cap': 2.0}",-1.3157894745319254e-05,0.01381683349609375,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(5.855428915128137), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 1.5, 'e_H_cap': 0.5}",-1.3157894706239404e-05,0.014199972152709961,"{'u1': np.float64(1055.41431839807), 'u2': np.float64(5.855428915128137), 'u3': np.float64(374.46328564414637), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-36.112339984944434), 'u7': np.float64(250.9775786090909)}"
"{'use_korean_price': True, 'use_tou': True, 'month': 1, 'storage_capacity_E': 0.5, 'storage_capacity_G': 50, 'storage_capacity_heat': 0.4, 'hp_cap': 0.6, 'els_cap': 0.5, 'res_cap': 1, 'num_households': 50, 'nu_cop': 3.0, 'c_su_G': 50, 'c_su_H': 40, 'base_h2_price_eur': 1.5750000000000002, 'e_E_cap': 1.5, 'e_H_cap': 1.0}",-1.3157894656501412e-05,0.013827085494995117,"{'u1': np.float64(1055.4143183980698), 'u2': np.float64(5.855428915128137), 'u3': np.float64(732.462976053695), 'u4': np.float64(-17.00910657202273), 'u5': np.float64(-159.2371867007979), 'u6': np.float64(-126.20757436552115), 'u7': np.float64(250.9775786090909)}"
