sensitivity_analysis,violation_ip,solve_time,profit_ip,violation_lp,solve_time_lp,profit_lp,violation_chp,solve_time_chp,profit_chp
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 5}",-0.0,0.15621185302734375,"{'u1': np.float64(988.6841379138766), 'u2': np.float64(275.704033732727), 'u3': np.float64(558.1763515911731), 'u4': np.float64(5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.07279086112976074,"{'u1': np.float64(988.6841379138766), 'u2': np.float64(275.704033732727), 'u3': np.float64(558.1763515911731), 'u4': np.float64(5.684341886080802e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,20.724284172058105,"{'u1': np.float64(988.6841379138771), 'u2': np.float64(275.7040337327253), 'u3': np.float64(558.1763515911732), 'u4': np.float64(-1.1368683772161603e-13), 'u5': np.float64(163.05095082599513), 'u6': np.float64(134.72189892093957)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 6}",-0.0,0.12485027313232422,"{'u1': np.float64(1189.4111604788782), 'u2': np.float64(275.7040337327267), 'u3': np.float64(558.176351591173), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093968)}",-0.0,0.0695955753326416,"{'u1': np.float64(1189.4111604788782), 'u2': np.float64(275.7040337327267), 'u3': np.float64(558.176351591173), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093968)}",-0.0,18.811458349227905,"{'u1': np.float64(1189.411160478878), 'u2': np.float64(275.70403373273103), 'u3': np.float64(558.1763515911712), 'u4': np.float64(1.1368683772161603e-13), 'u5': np.float64(163.05095082598967), 'u6': np.float64(134.7218989209416)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 7}",-0.0,0.11527109146118164,"{'u1': np.float64(1078.931497722772), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.06990671157836914,"{'u1': np.float64(1078.931497722772), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,19.206449270248413,"{'u1': np.float64(1078.931497722772), 'u2': np.float64(275.7040337327398), 'u3': np.float64(558.1763515911729), 'u4': np.float64(1.1368683772161603e-13), 'u5': np.float64(163.05095082598092), 'u6': np.float64(134.7218989209398)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 8}",-0.0,0.12038588523864746,"{'u1': np.float64(1166.936607358101), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-8.526512829121202e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.0715644359588623,"{'u1': np.float64(1166.936607358101), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-8.526512829121202e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,18.855112075805664,"{'u1': np.float64(1166.9366073581002), 'u2': np.float64(275.70403373273473), 'u3': np.float64(558.1763515911721), 'u4': np.float64(3.410605131648481e-13), 'u5': np.float64(163.05095082598626), 'u6': np.float64(134.7218989209407)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 9}",-0.0,0.1290593147277832,"{'u1': np.float64(1220.688431873032), 'u2': np.float64(275.7040337327268), 'u3': np.float64(558.1763515911732), 'u4': np.float64(-2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.06927633285522461,"{'u1': np.float64(1220.688431873032), 'u2': np.float64(275.7040337327268), 'u3': np.float64(558.1763515911732), 'u4': np.float64(-2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,19.887267589569092,"{'u1': np.float64(1220.6884318730313), 'u2': np.float64(275.70403373274917), 'u3': np.float64(558.1763515911719), 'u4': np.float64(1.7053025658242404e-13), 'u5': np.float64(163.0509508259717), 'u6': np.float64(134.72189892094116)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 10}",-0.0,0.11665034294128418,"{'u1': np.float64(807.6357821053411), 'u2': np.float64(275.70403373272694), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.1384601593017578,"{'u1': np.float64(807.6357821053411), 'u2': np.float64(275.70403373272694), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,12.302420139312744,"{'u1': np.float64(807.6357821053408), 'u2': np.float64(275.704033732723), 'u3': np.float64(558.1763515911706), 'u4': np.float64(3.410605131648481e-13), 'u5': np.float64(163.0509508259977), 'u6': np.float64(134.72189892094207)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 11}",-0.0,0.12518906593322754,"{'u1': np.float64(754.1069434499799), 'u2': np.float64(275.70403373272705), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-1.4210854715202004e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.07004809379577637,"{'u1': np.float64(754.1069434499799), 'u2': np.float64(275.70403373272705), 'u3': np.float64(558.1763515911731), 'u4': np.float64(-1.4210854715202004e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,10.836007595062256,"{'u1': np.float64(754.1069434499799), 'u2': np.float64(275.7040337327242), 'u3': np.float64(558.1763515911722), 'u4': np.float64(-5.684341886080802e-14), 'u5': np.float64(163.0509508259966), 'u6': np.float64(134.72189892094048)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 12}",-0.0,0.12751197814941406,"{'u1': np.float64(776.8473332380008), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.06954193115234375,"{'u1': np.float64(776.8473332380008), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,19.787561893463135,"{'u1': np.float64(776.8473332379998), 'u2': np.float64(275.7040337326937), 'u3': np.float64(558.1763515911767), 'u4': np.float64(5.684341886080801e-13), 'u5': np.float64(163.05095082602742), 'u6': np.float64(134.72189892093593)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 13}",-0.0,0.12652254104614258,"{'u1': np.float64(992.2000001853195), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.06914377212524414,"{'u1': np.float64(992.2000001853195), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911731), 'u4': np.float64(2.842170943040401e-14), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,22.22569704055786,"{'u1': np.float64(992.2000001853195), 'u2': np.float64(275.70403373275315), 'u3': np.float64(558.1763515911726), 'u4': np.float64(5.684341886080802e-14), 'u5': np.float64(163.0509508259674), 'u6': np.float64(134.72189892094002)}"
"{'use_korean_price': True, 'use_tou_elec': True, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_capacity_E': 1.0, 'storage_capacity_G': 0.0, 'storage_capacity_H': 0.0, 'day': 14}",-0.0,0.12688565254211426,"{'u1': np.float64(838.287287454812), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911732), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,0.07576322555541992,"{'u1': np.float64(838.287287454812), 'u2': np.float64(275.7040337327269), 'u3': np.float64(558.1763515911732), 'u4': np.float64(0.0), 'u5': np.float64(163.05095082599377), 'u6': np.float64(134.72189892093957)}",-0.0,33.632943630218506,"{'u1': np.float64(838.287287454812), 'u2': np.float64(275.70403373262275), 'u3': np.float64(558.1763515911708), 'u4': np.float64(-5.684341886080802e-14), 'u5': np.float64(163.0509508260979), 'u6': np.float64(134.72189892094195)}"
